waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,0,6,30,10,1000,1,
1,1,6,30,10,1000,1,
1,2,6,30,10,1000,1,
1,3,6,30,10,1000,1,
1,4,7,30,10,1000,1,
1,5,7,30,10,1000,1,
1,6,7,30,10,1000,1,
1,7,7,30,10,1000,1,
1,8,6,30,10,1000,1,
1,9,6,30,10,1000,1,
1,10,6,30,10,1000,1,
1,11,6,30,10,1000,1,
1,12,7,30,10,1000,1,
1,13,7,30,10,1000,1,
1,14,7,30,10,1000,1,
1,15,7,30,10,1000,1,
1,0,31,170,5,1000,1,
1,1,31,170,5,1000,1,
1,2,31,170,5,1000,1,
1,3,31,170,5,1000,1,
1,4,32,170,5,1000,1,
1,5,32,170,5,1000,1,
1,6,32,170,5,1000,1,
1,7,32,170,5,1000,1,
1,8,33,170,5,1000,1,
1,9,33,170,5,1000,1,
1,10,33,170,5,1000,1,
1,11,33,170,5,1000,1,
1,12,30,170,5,1000 1001,3 1,
1,13,30,170,5,1000 1001,3 1,
1,14,30,170,5,1000 1001,3 1,
1,15,30,170,5,1000 1001,3 1,
1,16,111,170,5,1001,1,
1,17,111,170,5,1001,1,
1,18,111,170,5,1001,1,
1,19,111,170,5,1001,1,
1,20,112,170,5,1001,1,
1,21,112,170,5,1001,1,
1,22,112,170,5,1001,1,
1,23,112,170,5,1001,1,
1,24,110,170,5,1001,1,
1,25,110,170,5,1001,1,
1,26,110,170,5,1001,1,
1,27,110,170,5,1001,1,
1,9999,5,0,0,9999,0,0
2,0,6,30,10,1000,1,
2,1,6,30,10,1000,1,
2,2,6,30,10,1000,1,
2,3,6,30,10,1000,1,
2,4,5,30,10,1000,1,
2,5,5,30,10,1000,1,
2,6,5,30,10,1000,1,
2,7,5,30,10,1000,1,
2,8,7,30,10,1000,1,
2,9,7,30,10,1000,1,
2,10,7,30,10,1000,1,
2,11,7,30,10,1000,1,
2,12,8,30,10,1000,1,
2,13,8,30,10,1000,1,
2,14,8,30,10,1000,1,
2,15,8,30,10,1000,1,
2,16,5,30,10,1000,1,
2,17,5,30,10,1000,1,
2,18,5,30,10,1000,1,
2,19,5,30,10,1000,1,
2,0,31,60,5,1000,1,
2,1,31,60,5,1000,1,
2,2,31,60,5,1000,1,
2,3,31,60,5,1000,1,
2,4,32,170,5,1000,1,
2,5,32,170,5,1000,1,
2,6,32,170,5,1000,1,
2,7,32,170,5,1000,1,
2,8,33,170,5,1000 1001,3 1,
2,9,33,170,5,1000 1001,3 1,
