PatternID,Ratio,skill¢ç,(L),¢ç,(L),¢ç,(L),¢ç,(L)
1,5,255,258,255,258,,,,
2,5,255,258,273,276,,,,
3,5,255,258,267,270,,,,
4,5,255,258,267,270,,,,
5,5,267,282,273,276,,,,
6,5,267,276,273,276,,,,
7,5,273,282,273,270,,,,
8,5,273,276,267,270,,,,
9,5,279,276,255,282,,,,
10,5,279,276,273,276,,,,
11,5,254,257,254,264,,,,
12,5,254,257,272,275,,,,
13,5,254,257,266,269,,,,
14,5,254,257,266,269,,,,
15,5,266,281,278,269,,,,
16,5,266,275,272,269,,,,
17,5,266,269,272,275,,,,
18,5,266,257,254,281,,,,
19,5,272,281,266,269,,,,
20,5,272,275,266,281,,,,
21,5,272,257,266,269,,,,
22,5,272,269,266,281,,,,
23,5,278,281,278,281,,,,
24,5,278,281,266,269,,,,
25,5,278,275,272,269,,,,
26,5,278,257,272,281,,,,
27,5,265,268,253,256,,,,
28,5,265,274,271,268,,,,
29,5,265,268,271,274,,,,
30,5,265,274,277,268,,,,
31,5,271,274,271,274,,,,
32,5,271,268,271,274,,,,
33,5,271,280,253,256,,,,
34,5,271,256,253,280,,,,
35,5,277,274,277,256,,,,
36,5,277,256,253,280,,,,
37,5,277,268,265,268,,,,
38,2,255,258,255,258,267,270,273,276
39,2,255,258,273,276,267,270,267,270
40,2,255,258,267,270,267,270,255,258
41,2,255,258,267,270,279,276,274,282
42,2,267,282,273,276,279,270,267,270
43,2,267,276,273,276,273,282,267,270
44,2,273,282,273,270,267,282,273,276
45,2,273,276,267,270,267,270,267,270
46,2,279,276,255,282,255,258,267,270
47,2,279,276,273,276,255,258,255,258
48,2,254,257,254,264,266,269,272,275
49,2,254,257,272,275,266,269,266,269
50,2,254,257,266,269,266,269,254,257
51,2,254,257,266,269,278,275,273,281
52,2,266,281,278,269,272,281,266,269
53,2,266,275,272,269,266,269,278,281
54,2,266,269,272,275,272,275,266,269
55,2,266,257,254,281,272,275,278,269
56,2,272,281,266,269,266,281,278,269
57,2,272,275,266,281,266,269,272,275
58,2,272,257,266,269,272,275,278,281
59,2,272,269,266,281,272,269,266,269
60,2,278,281,278,281,278,281,278,281
61,2,278,281,266,269,266,269,266,269
62,2,278,275,272,269,266,281,254,281
63,2,278,257,272,281,266,275,266,269
64,5,253,256,253,256,,,,
65,5,253,256,271,274,,,,
66,5,253,256,265,268,,,,
67,5,253,256,265,268,,,,
68,5,265,280,271,274,,,,
69,5,265,274,271,274,,,,
70,5,271,280,271,268,,,,
71,5,271,274,265,268,,,,
72,5,277,274,253,280,,,,
73,5,277,274,271,274,,,,
74,5,252,255,252,262,,,,
75,5,252,255,270,273,,,,
76,5,252,255,264,267,,,,
77,5,252,255,264,267,,,,
78,5,264,279,276,267,,,,
79,5,264,273,270,267,,,,
80,5,264,267,270,273,,,,
81,5,264,255,252,279,,,,
82,5,270,279,264,267,,,,
83,5,270,273,264,279,,,,
84,5,270,255,264,267,,,,
85,5,270,267,264,279,,,,
86,5,276,279,276,279,,,,
87,5,276,279,264,267,,,,
88,5,276,273,270,267,,,,
89,5,276,255,270,279,,,,
90,5,263,266,251,254,,,,
91,5,263,272,269,266,,,,
92,5,263,266,269,272,,,,
93,5,263,272,275,266,,,,
94,5,269,272,269,272,,,,
95,5,269,266,269,272,,,,
96,5,269,278,251,254,,,,
97,5,269,254,251,278,,,,
98,5,275,272,275,254,,,,
99,5,275,254,251,278,,,,
100,5,275,266,263,266,,,,
