gametype,2,0:¶ó¿îµåÁ¦ 1:¼¶¸ê,,,,,,,,,
roundTime,180,,,,,,,,,,
wall,0,,,,,,,,,,
wall,0,,,,,,,,,,
RewardRound,20,,,,,,,,,,
round,waveTypes,limit time,damageAdd,attackRangeAdd,healthAdd,armorAdd,speedAdd,IntervalAdd,moneyAdd,BGM,PlayerSpawn
1,99 100,600,0,0,0,0,0,0,4,5,1
2,1 2 101,600,2,0,30,30,3,0,8,5,1
3,1 2 3 102,600,4,0,80,80,6,-0.5,12,5,1
4,4 103,600,6,0,100,100,9,-0.5,16,5,1
5,5 104,600,5,0,90,80,12,-0.5,20,5,1
6,1 6 104,600,8,0,150,140,15,-0.5,24,5,1
7,7 104,600,10,0,180,160,18,-0.5,28,5,1
8,8 104,600,12,0,210,180,21,-0.5,32,5,1
9,9 104,600,14,0,250,210,24,-0.5,36,5,1
10,10 105 108,1200,0,0,1000,1000,27,-0.5,40,6,1
11,11 104,600,18,0,250,200,30,-1,100,5,1
12,12 104,600,19,0,290,230,33,-1,50,5,1
13,13 104,600,20,0,320,250,36,-1,55,5,1
14,14 104,600,21,0,360,280,36,-1,60,5,1
15,15 104,600,22,0,400,310,36,-1.5,100,5,1
16,13 104,600,23,0,430,330,36,-1.5,110,5,1
17,14 104,600,24,0,470,350,36,-1.5,120,5,1
18,18 104,600,25,0,510,380,36,-2,130,5,1
19,18 104,600,26,0,550,400,36,-2,160,5,1
20,106 107,2400,20,0,0,0,10,-2,200,6,1
21,1 104,570,40,0,800,475,36,-2,160,5,1
22,1 2 104,570,42,0,827,502,36,-2,160,5,1
23,1 2 3 104,570,44,0,872,547,36,-2,160,5,1
24,4 104,570,46,0,890,565,36,-2,160,5,1
25,5 104,570,55,0,872,547,36,-2,160,5,1
26,1 6 104,570,58,0,926,601,36,-2,160,5,1
27,7 104,570,60,0,944,619,36,-2,160,5,1
28,8 104,570,62,0,962,637,36,-2,160,5,1
29,9 104,570,64,0,989,664,36,-2,160,5,1
30,10 105 108,1200,40,0,1700,1375,36,-2,160,6,1
31,11 104,540,67,0,980,655,36,-2,160,5,1
32,12 104,540,68,0,1007,682,36,-2,160,5,1
33,13 104,540,69,0,1025,700,36,-2,160,5,1
34,14 104,540,70,0,1052,727,36,-2,160,5,1
35,15 104,540,71,0,1079,754,36,-2,160,5,1
36,13 104,540,72,0,1097,772,36,-2,160,5,1
37,14 104,540,73,0,1115,790,36,-2,160,5,1
38,18 104,540,74,0,1142,817,36,-2,160,5,1
39,18 104,540,75,0,1160,835,36,-2,160,5,1
40,106 107,2400,79,0,800,475,10,-2,200,6,1
41,1 104,510,88,0,1410,910,36,-2,160,5,1
42,1 2 104,510,90,0,1437,937,36,-2,160,5,1
