gametype,2,0:라운드제 1:추적,,,,,,,,,
roundTime,180,,,,,,,,,,
wall,0,,,,,,,,,,
wall,0,,,,,,,,,,
RewardRound,0,,,,,,,,,,
round,waveTypes,limit time,damageAdd,attackRangeAdd,healthAdd,armorAdd,speedAdd,IntervalAdd,moneyAdd,BGM,PlayerSpawn
1,1 101,300,0,0,0,0,1,0,0,5,1
2,2 102,300,5,0,0,0,5,0,10,5,1
3,3 103,300,10,0,0,0,10,0,20,5,1
4,4 104,240,15,0,0,0,15,0,30,5,1
5,5 105 ,240,20,0,0,0,20,0,40,5,1
6,6 106,240,25,0,0,0,25,0,50,5,1
7,7 106,180,30,0,0,0,30,0,60,5,1
8,8 106,180,35,0,0,0,35,0,70,5,1
9,9 106,180,40,0,0,0,40,0,80,5,1
10,10 107,1800,45,0,0,0,45,0,100,6,1
