id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,specialty,searchInterval,attackSpread,bombDamage,bombCoolTime,flinchAvoidRatio
1,bot_light,100,5000,1.4,40,0,200,200,0,0,255 255 255,0,1,0,0.35,10,L,0.05,3.4,200,15,25
2,bot_heavy,200,5000,1.1,1400,500,140,1000,1,0,255 255 255,0,2,0,1.5,10,H,0.05,2.4,0,30,5
3,bot_sniper,250,6000,3.4,40,0,170,300,0,0,255 255 255,0,3,0,0.29,10,S,0.05,0.74,0,0,10
4,bot_rocket,300,6000,6.4,40,0,170,400,0,0,255 255 255,0,4,0,0.29,10,R,0.05,2.4,0,0,10
5,bot_light,100,6000,1.3,40,0,200,200,0,0,255 255 255,0,1,0,0.35,10,L,0.05,3.3,200,15,25
6,bot_heavy,200,6000,1,1400,500,140,1000,1,0,255 255 255,0,2,0,1.5,10,H,0.05,2.3,0,30,5
7,bot_sniper,250,7000,3.3,40,0,170,300,0,0,255 255 255,0,3,0,0.29,10,S,0.05,0.73,0,0,10
8,bot_rocket,300,7000,6.3,40,0,170,400,0,0,255 255 255,0,4,0,0.29,10,R,0.05,2.3,0,0,10
9,bot_light,100,7000,1.2,40,0,210,200,0,0,255 255 255,0,1,0,0.35,10,L,0.05,3.2,200,15,25
10,bot_heavy,200,7000,0.9,1400,500,140,1000,1,0,255 255 255,0,2,0,1.5,10,H,0.05,2.2,0,30,5
11,bot_sniper,250,8000,3.2,40,0,170,300,0,0,255 255 255,0,3,0,0.29,10,S,0.05,0.72,0,0,10
12,bot_rocket,300,8000,6.2,40,0,170,400,0,0,255 255 255,0,4,0,0.29,10,R,0.05,2.2,0,0,10
13,bot_light,75,6000,1.2,40,0,200,200,0,0,255 255 255,0,1,0,0,10,L,0.05,3.4,200,15,25
14,bot_heavy_boss,300,8000,0.6,10000,1000,140,6000,1,0,255 255 255,0,2,0,10,11,H,0.03,1.8,0,30,5
15,bot_sniper,100,6000,3.3,40,0,170,400,0,0,255 255 255,0,3,0,0,10,S,0.05,0.74,0,0,10
16,bot_rocket,150,6000,6.3,40,0,170,600,0,0,255 255 255,0,4,0,0,10,R,0.05,2.4,0,0,10
99,bot_rocket,300,4000,8,25,0,150,200,0,0,255 255 255,0,4,0,0.5,10,R,0.05,3,0,0,10
100,bot_heavy,200,2000,2,2000,2000,130,500,1,0,255 255 255,0,2,0,1,10,H,0.05,4,0,50,5
101,bot_sniper,250,4000,5,25,0,180,150,0,0,255 255 255,0,3,0,0.5,10,S,0.05,0.75,0,0,10
102,bot_light,150,2000,2.5,25,0,220,100,0,0,255 255 255,0,1,0,0.5,10,L,0.05,4,20,25,25
103,bot_heavy,200,2000,2,500,500,150,500,1,0,255 255 255,0,2,0,0.5,10,H,0.05,4,0,15,5
104,bot_sniper,250,4000,5,25,0,170,150,0,0,255 255 255,0,3,0,0.5,10,S,0.05,0.75,0,0,10
105,bot_rocket,300,4000,8,25,0,170,200,0,0,255 255 255,0,4,0,0.5,10,R,0.05,3,0,0,10
30000,comanche,0,0,0,700000,600000,0,0,2,0,255 255 255,1,5,0,100,12,,0.05,1,0,0,0
30400,goliath,0,0,0,550000,450000,0,0,2,0,255 255 255,1,5,0,100,12,,0.05,1,0,0,0
