waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,0,0,0,9999,1,572
1,9999,3,0,0,9999,1,573
1,9999,6,0,0,9999,1,574
1,9999,9,0,0,9999,1,575
1,9999,12,0,0,9999,1,576
1,9999,16,0,0,9999,1,577
1,701,15,60,3,1,1,
1,802,16,61,3,101,1,
1,703,17,62,3,100,1,
1,804,18,63,3,1,1,
1,705,19,64,3,9,1,
1,806,20,65,3,17,1,
1,707,21,66,3,1,1,
1,808,22,67,3,101,1,
1,709,23,68,3,100,1,
1,801,15,60,3,1,1,
1,702,16,61,3,101,1,
1,803,17,62,3,100,1,
1,704,18,63,3,1,1,
1,805,19,64,3,9,1,
1,706,20,65,3,17,1,
1,807,21,66,3,1,1,
1,708,22,67,3,101,1,
1,809,23,68,3,100,1,
1,701,60,90,3,1,1,
1,702,61,91,3,101,1,
1,703,62,92,3,100,1,
1,704,63,93,3,1,1,
1,705,64,94,3,9,1,
1,706,65,95,3,17,1,
1,707,66,96,3,1,1,
1,708,67,97,3,101,1,
1,709,68,98,3,100,1,
1,801,60,90,3,1,1,
1,802,61,91,3,101,1,
1,803,62,92,3,100,1,
1,804,63,93,3,1,1,
1,805,64,94,3,9,1,
1,806,65,95,3,17,1,
1,807,66,96,3,1,1,
1,808,67,97,3,101,1,
1,809,68,98,3,100,1,
1,9999,90,0,0,9999,1,578
1,9999,93,0,0,9999,1,579
1,9999,96,0,0,9999,1,580
1,9999,99,0,0,9999,1,581
1,9999,105,0,0,9999,1,582
1,9999,108,0,0,9999,1,583
1,801,90,120,3,1,1,
1,802,91,121,3,101,1,
1,803,92,122,3,100,1,
1,804,93,123,3,1,1,
1,805,94,124,3,9,1,
1,806,95,125,3,17,1,
1,807,96,126,3,1,1,
1,808,97,127,3,101,1,
1,809,98,128,3,100,1,
1,701,90,120,3,1,1,
1,702,91,121,3,101,1,
1,703,92,122,3,100,1,
1,704,93,123,3,1,1,
1,705,94,124,3,9,1,
1,706,95,125,3,17,1,
1,707,96,126,3,1,1,
1,708,97,127,3,101,1,
1,709,98,128,3,100,1,
1,701,120,150,20,502,1,
1,802,121,151,3,101,1,
1,703,122,152,3,100,1,
1,804,123,153,3,1,1,
1,705,124,154,3,9,1,
1,806,125,155,3,17,1,
1,707,126,156,3,1,1,
1,808,127,157,3,101,1,
1,709,128,158,3,100,1,
1,801,120,150,3,1,1,
1,702,121,151,3,101,1,
1,803,122,152,3,100,1,
1,704,123,153,3,1,1,
1,805,124,154,3,9,1,
1,706,125,155,3,17,1,
1,807,126,156,3,1,1,
1,708,127,157,3,101,1,
1,809,128,158,20,502,1,
1,701,150,180,15,502,1,
1,702,151,181,3,101,1,
1,703,152,182,3,100,1,
1,704,153,183,3,1,1,
1,705,154,184,3,9,1,
1,706,155,185,3,17,1,
1,707,156,186,3,1,1,
1,708,157,187,3,101,1,
1,709,158,188,3,100,1,
1,801,150,180,3,1,1,
1,802,151,181,3,101,1,
1,803,152,182,3,100,1,
1,804,153,183,3,1,1,
1,805,154,184,3,9,1,
1,806,155,185,3,17,1,
1,807,156,186,3,1,1,
1,808,157,187,3,101,1,
1,809,158,188,20,502,1,
1,9999,190,0,0,9999,1,584
1,9999,193,0,0,9999,1,585
1,9999,196,0,0,9999,1,586
1,9999,199,0,0,9999,1,587
1,9999,202,0,0,9999,1,588
1,705,190,0,0,31000,1,
1,601,210,230,1,1,1,
1,602,211,231,1,101,1,
1,603,212,232,1,100,1,
1,604,213,233,1,1,1,
1,605,214,234,1,9,1,
1,606,215,235,1,17,1,
1,607,216,236,1,1,1,
1,608,217,237,1,101,1,
1,609,218,238,1,100,1,
1,501,230,250,1,1,1,
1,502,231,251,1,101,1,
1,503,232,252,1,100,1,
1,504,233,253,1,1,1,
1,505,234,254,1,9,1,
1,506,235,255,1,17,1,
1,507,236,256,1,1,1,
1,508,237,257,1,101,1,
1,509,238,258,1,100,1,
1,401,250,270,1,1,1,
1,402,251,271,1,101,1,
1,403,252,272,1,100,1,
1,404,253,273,1,1,1,
1,405,254,274,1,9,1,
1,406,255,275,1,17,1,
1,407,256,276,1,1,1,
1,408,257,277,1,101,1,
1,409,258,278,1,100,1,
1,9999,270,0,0,9999,1,598
1,921,270,21600,120,503,1,
1,301,270,290,1,1,1,
1,302,271,291,1,101,1,
1,303,272,292,1,100,1,
1,304,273,293,1,1,1,
1,305,274,294,1,9,1,
1,306,275,295,1,17,1,
1,307,276,296,1,1,1,
1,308,277,297,1,101,1,
1,309,278,298,1,100,1,
1,201,290,310,1,1,1,
1,202,291,311,1,101,1,
1,203,292,312,1,100,1,
1,204,293,313,1,1,1,
1,205,294,314,1,9,1,
1,206,295,315,1,17,1,
1,207,296,316,1,1,1,
1,208,297,317,1,101,1,
1,209,298,318,1,100,1,
1,101,310,330,1,1,1,
1,102,311,331,1,101,1,
1,103,312,332,1,100,1,
1,104,313,333,1,1,1,
1,105,314,334,1,9,1,
1,106,315,335,1,17,1,
1,107,316,336,1,1,1,
1,108,317,337,1,101,1,
1,109,318,338,1,100,1,
1,101,330,360,2,1,1,
1,402,331,361,2,101,1,
1,103,332,362,2,100,1,
1,404,333,363,2,1,1,
