temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
##프로즌래쓰 등장,1002,96,255,999999,3.34,zbs_jump_end,0.5,10000,0,5,6,0,0,1000,100,100,1000,-1,0,0,1
##프로즌래쓰 휘두르기1-1,1002,97,5,10,4,zbs_attack1,0.93,200,25,5,8,2,0,10,60,100,5,-1,0,500,500
##프로즌래쓰 휘두르기1-2,1002,98,0,0,4,zbs_attack1,0.93,200,90,5,8,0,0,10,60,100,1000,-1,0,500,500
##프로즌래쓰 휘두르기2-1,1002,99,5,10,4,zbs_attack2,0.93,200,25,5,8,2,0,10,60,90,5,-1,0,500,500
##프로즌래쓰 휘두르기2-2,1002,100,0,0,4,zbs_attack2,0.93,200,25,5,8,0,0,10,60,90,1000,-1,0,500,500
##프로즌래쓰 휘두르기1-1,1002,97,5,10,4,zbs_attack1,0.93,250,25,5,8,2,0,10,0,60,5,-1,0,500,500
##프로즌래쓰 휘두르기1-2,1002,98,0,0,4,zbs_attack1,0.93,250,90,5,8,0,0,10,0,60,1000,-1,0,500,500
##프로즌래쓰 휘두르기2-1,1002,99,5,10,4,zbs_attack2,0.93,250,25,5,8,2,0,10,0,60,5,-1,0,500,500
##프로즌래쓰 휘두르기2-2,1002,100,0,0,4,zbs_attack2,0.93,250,25,5,8,0,0,10,0,60,1000,-1,0,500,500
##프로즌래쓰 휠윈드대쉬,1002,101,15,10,3,zbs_rush_start,1.4,100,90,5,0,1,0,1000,60,80,1000,-1,100,150,300
##프로즌래쓰 휠윈드,1002,102,0,0,3,zbs_skill_whirlwind_start,0.93,100,0,5,0,0,0,1000,60,80,1000,-1,0,300,300
##프로즌래쓰 휠윈드대쉬,1002,101,15,10,3,zbs_rush_start,1.4,150,90,5,0,1,0,1000,0,60,1000,-1,100,150,300
##프로즌래쓰 휠윈드,1002,102,0,0,3,zbs_skill_whirlwind_start,0.93,150,0,5,0,0,0,1000,0,60,1000,-1,0,300,300
##프로즌래쓰 홈런대쉬,1002,103,20,25,10,zbs_rush_start,1.4,100,90,5,0,1,0,1000,60,90,1000,-1,100,150,500
##프로즌래쓰 홈런1,1002,104,0,0,4.5,zbs_skill_swing,0.66,200,120,5,8,0,0,1000,60,90,1000,-1,0,880,0
##프로즌래쓰 홈런2,1002,105,0,0,3.63,zbs_skill_swing,0.33,200,120,5,8,0,0,1000,60,90,1000,-1,2000,800,0
##프로즌래쓰 홈런대쉬,1002,103,20,25,10,zbs_rush_start,1.4,150,90,5,0,1,0,1000,0,60,1000,-1,100,150,500
##프로즌래쓰 홈런1,1002,104,0,0,4.5,zbs_skill_swing,0.66,250,120,5,8,0,0,1000,0,60,1000,-1,0,880,0
##프로즌래쓰 홈런2,1002,105,0,0,3.63,zbs_skill_swing,0.33,250,120,5,8,0,0,1000,0,60,1000,-1,2000,800,0
##프로즌래쓰 왼손부터 쓸기1,1002,106,10,10,1.24,zbs_skill_bigarm_leftstart,0.5,200,120,5,6,2,0,10,60,100,5,-1,1000,0,600
##프로즌래쓰 왼손부터 쓸기2,1002,107,0,0,1.24,zbs_skill_bigarm_right,0.5,200,120,5,6,0,0,1000,60,100,1000,-1,1000,0,600
##프로즌래쓰 왼손부터 쓸기3,1002,108,0,0,2.42,zbs_skill_bigarm_leftend,0.5,200,120,5,6,0,0,1000,60,100,1000,-1,1000,0,600
##프로즌래쓰 오른손부터 쓸기1,1002,109,10,10,1.24,zbs_skill_bigarm_rightstart,0.5,200,120,5,6,2,0,10,60,100,5,-1,1000,0,600
##프로즌래쓰 오른손부터 쓸기2,1002,110,0,0,1.24,zbs_skill_bigarm_left,0.5,200,120,5,6,0,0,1000,60,100,1000,-1,1000,0,600
##프로즌래쓰 오른손부터 쓸기3,1002,111,0,0,2.42,zbs_skill_bigarm_rightend,0.5,200,120,5,6,0,0,1000,60,100,1000,-1,1000,0,600
##프로즌래쓰 왼손부터 쓸기1,1002,106,10,10,1.24,zbs_skill_bigarm_leftstart,0.5,250,120,5,6,2,0,10,0,60,5,-1,1000,0,600
##프로즌래쓰 왼손부터 쓸기2,1002,107,0,0,1.24,zbs_skill_bigarm_right,0.5,250,120,5,6,0,0,1000,0,60,1000,-1,1000,0,600
##프로즌래쓰 왼손부터 쓸기3,1002,108,0,0,2.42,zbs_skill_bigarm_leftend,0.5,250,120,5,6,0,0,1000,0,60,1000,-1,1000,0,600
##프로즌래쓰 오른손부터 쓸기1,1002,109,10,10,1.24,zbs_skill_bigarm_rightstart,0.5,250,120,5,6,2,0,10,0,60,5,-1,1000,0,600
##프로즌래쓰 오른손부터 쓸기2,1002,110,0,0,1.24,zbs_skill_bigarm_left,0.5,250,120,5,6,0,0,1000,0,60,1000,-1,1000,0,600
##프로즌래쓰 오른손부터 쓸기3,1002,111,0,0,2.42,zbs_skill_bigarm_rightend,0.5,250,120,5,6,0,0,1000,0,60,1000,-1,1000,0,600
##프로즌래쓰 던지기,1002,112,5,10,3.34,zbs_skill_throw,0.93,200,90,5,8,1,16,1000,60,100,1000,-1,500,0,1000
##프로즌래쓰 점프,1002,113,0,0,3.34,zbs_jump_start,0.5,500,0,5,5,0,0,1000,60,100,1000,-1,2000,0,15
##프로즌래쓰 던지기,1002,112,5,10,3.34,zbs_skill_throw,0.93,250,90,5,8,1,16,1000,0,60,1000,-1,500,0,1000
##프로즌래쓰 점프,1002,113,0,0,3.34,zbs_jump_start,0.5,550,0,5,5,0,0,1000,0,60,1000,-1,2000,0,15
##프로즌래쓰 궁던지기,1002,114,255,999999,3.34,zbs_skill_throw,0.93,200,90,5,8,1,0,1000,0,60,1000,-1,500,0,900
##프로즌래쓰 궁점프,1002,115,0,0,3.34,zbs_jump_start,0.5,500,0,5,5,0,0,1000,0,60,1000,-1,2000,0,15
##프로즌래쓰 궁극기!!,1002,117,0,0,30,zbs_run,0,500,0,5,8,0,0,1000,0,60,1000,733,1000,0,500
##프로즌래쓰 궁던지기,1002,114,255,999999,3.34,zbs_skill_throw,0.93,200,90,5,8,1,0,1000,0,45,1000,-1,500,0,900
##프로즌래쓰 궁점프,1002,115,0,0,3.34,zbs_jump_start,0.5,500,0,5,5,0,0,1000,0,45,1000,-1,2000,0,15
##프로즌래쓰 궁극기!!,1002,117,0,0,30,zbs_run,0,500,0,5,8,0,0,1000,0,45,1000,734,1000,0,600
##프로즌래쓰 궁던지기,1002,114,255,999999,3.34,zbs_skill_throw,0.93,200,90,5,8,1,0,1000,0,30,1000,-1,500,0,900
##프로즌래쓰 궁점프,1002,115,0,0,3.34,zbs_jump_start,0.5,500,0,5,5,0,0,1000,0,30,1000,-1,2000,0,15
##프로즌래쓰 궁극기!!,1002,117,0,0,30,zbs_run,0,500,0,5,8,0,0,1000,0,30,1000,-1,1000,0,800
##프로즌래쓰 궁던지기,1002,114,255,999999,3.34,zbs_skill_throw,0.93,200,90,5,8,1,0,1000,0,15,1000,-1,500,0,900
##프로즌래쓰 궁점프,1002,115,0,0,3.34,zbs_jump_start,0.5,500,0,5,5,0,0,1000,0,15,1000,-1,2000,0,15
##프로즌래쓰 궁극기!!,1002,117,0,0,30,zbs_run,0,500,0,5,8,0,0,1000,0,15,1000,-1,1000,0,9999
##글러트니 등장,1003,119,255,999999,3,zbs_gluttony_start,0,100,0,0,0,1,0,1000,99,100,10000,-1,600,200,0
##글러트니 앞공격,1003,120,30,0,2.03,zbs_attack1,0.8,150,60,5,13,2,0,5,0,100,10,-1,300,500,0
##글러트니 앞공격2,1003,121,30,0,2.03,zbs_attack3,0.8,150,60,5,13,2,0,5,0,100,10,-1,300,500,0
##글러트니 앞공격3,1003,122,30,0,2.03,zbs_attack4,0.8,150,60,5,13,2,0,5,0,100,10,-1,300,500,0
##글러트니 꼬리공격,1003,123,20,0,2.03,zbs_attack2,1,150,90,5,15,0,0,5,0,100,10,-1,300,500,0
##글러트니 가스공격,1003,124,20,10,3.03,zbs_attack_gas,2,15,20,5,1000,0,0,9999,0,100,0,-1,300,500,0
##글러트니 띄우기,1003,125,30,30,5.03,zbs_attack_raise,3.7,999999,60,10,8,0,0,9999,0,90,0,822,300,500,0
##글러트니 벌레미사일,1003,126,20,10,6.366,zbs_attack_fly,1.8,25,0,0,7,0,20,9999,0,100,0,824,250,250,0
##글러트니 먹기,1003,127,15,50,3.03,zbs_gluttony_start,0,500,60,0,5,0,20,9999,0,80,0,-1,300,500,0
##글러트니 대쉬먹기 준비,1003,128,15,50,2.03,zbs_walk,0,0,0,0,0,0,0,9999,0,90,0,-1,0,0,0
