x,y,z,pitch,yaw,roll,type,useCount,difficulty,model
1226,-3018.129883,124,0,180,0,2,1,3,models/bg_armorbox_group.mdl
1272,-3018.129883,112,0,180,0,1,1,3,models/bg_medibox_group.mdl
1162,-3018.129883,112,0,180,0,3,1,3,models/bg_ammobox_group.mdl
1094.140015,-1977.459961,112,0,90,0,3,1,3,models/bg_ammobox_group.mdl
-81.864502,-197.731995,64,0,0,0,1,1,3,models/bg_medibox_group.mdl
1094.140015,-2041.459961,124,0,90,0,2,1,3,models/bg_armorbox_group.mdl
-35.864498,-197.731995,76,0,0,0,2,1,3,models/bg_armorbox_group.mdl
1094.140015,-2087.459961,112,0,90,0,1,1,3,models/bg_medibox_group.mdl
28.1355,-197.731995,64,0,0,0,3,1,3,models/bg_ammobox_group.mdl
1094.140015,-2087.459961,112,0,90,0,1,1,3,models/bg_medibox_group.mdl
1162,-3018.129883,112,0,180,0,3,1,3,models/bg_ammobox_group.mdl
1094.140015,-2041.459961,124,0,90,0,2,1,3,models/bg_armorbox_group.mdl
1226,-3018.129883,124,0,180,0,2,1,3,models/bg_armorbox_group.mdl
1094.140015,-1977.459961,112,0,90,0,3,1,3,models/bg_ammobox_group.mdl
1272,-3018.129883,112,0,180,0,1,1,3,models/bg_medibox_group.mdl
