waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,4,0,0,9999,1,3375
1,9999,6,0,0,9999,1,3376
1,9999,8,0,0,9999,1,3377
1,9999,10,0,0,9999,1,3378
1,9999,12,0,0,9999,1,3379
1,1,0,3600,2,1 3 5 7,1 1 1 1,
1,2,0,3600,2,2 4 6 8,1 1 1 1,
1,3,0,3600,2,9 11 13 15,1 1 1 1,
1,4,0,3600,2,10 12 14 16,1 1 1 1,
1,5,0,3600,2,17 19 21 23,1 1 1 1,
1,6,0,3600,2,18 20 22 24,1 1 1 1,
1,7,0,3600,2,1 3 5 7,1 1 1 1,
1,8,0,3600,2,2 4 6 8,1 1 1 1,
1,9,0,3600,2,9 11 13 15,1 1 1 1,
1,10,0,3600,2,10 12 14 16,1 1 1 1,
1,11,0,3600,2,17 19 21 23,1 1 1 1,
2,12,0,3600,2,1 3 5 7,1 1 1 1,
2,13,0,3600,2,2 4 6 8,1 1 1 1,
2,14,0,3600,2,9 11 13 15,1 1 1 1,
2,15,0,3600,2,10 12 14 16,1 1 1 1,
2,16,0,3600,2,17 19 21 23,1 1 1 1,
2,17,0,3600,2,18 20 22 24,1 1 1 1,
2,18,0,3600,2,1 3 5 7,1 1 1 1,
2,19,0,3600,2,2 4 6 8,1 1 1 1,
2,20,0,3600,2,9 11 13 15,1 1 1 1,
2,21,0,3600,2,10 12 14 16,1 1 1 1,
2,22,0,3600,2,17 19 21 23,1 1 1 1,
2,23,0,3600,2,18 20 22 24,1 1 1 1,
3,24,1,3600,2,1 3 5 7,1 1 1 1,
3,25,1,3600,2,2 4 6 8,1 1 1 1,
3,26,1,3600,2,9 11 13 15,1 1 1 1,
3,27,1,3600,2,10 12 14 16,1 1 1 1,
3,28,1,3600,2,17 19 21 23,1 1 1 1,
3,29,1,3600,2,18 20 22 24,1 1 1 1,
3,30,1,3600,2,9 11 13 15,1 1 1 1,
3,31,1,3600,2,10 12 14 16,1 1 1 1,
3,32,1,3600,2,1 3 5 7,1 1 1 1,
3,33,1,3600,2,2 4 6 8,1 1 1 1,
3,34,1,3600,2,9 11 13 15,1 1 1 1,
3,35,1,3600,2,10 12 14 16,1 1 1 1,
3,36,1,3600,2,17 19 21 23,1 1 1 1,
3,37,1,3600,2,18 20 22 24,1 1 1 1,
3,38,1,3600,2,1 3 5 7,1 1 1 1,
3,39,1,3600,2,2 4 6 8,1 1 1 1,
3,40,1,3600,2,9 11 13 15,1 1 1 1,
3,41,1,3600,2,10 12 14 16,1 1 1 1,
