temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
최종보스스폰,1000,457,255,0,6.87,null,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
박치기,1000,458,100,5,0,idle,0,0,0,0,0,0,0,2560,0,100,9999,-1,0,0,0
할퀴기,1000,459,100,2,0,idle,0,0,0,0,0,0,0,20,0,100,9999,-1,0,0,0
정화의 불꽃,1000,460,85,25,0,idle,0,0,0,0,0,0,0,2560,0,90,9999,-1,0,0,0
구체 소환,1000,461,255,420,0,idle,0,0,0,0,0,0,0,2560,0,50,9999,3453,0,0,0
좀비플레이,1000,462,100,130,0,idle,0,0,0,0,0,0,0,2560,0,30,9999,-1,0,0,0
원형돌기,1000,463,90,20,0,idle,0,0,0,0,0,0,0,20,0,100,9999,-1,0,0,0
십자공격,1000,464,85,20,0,idle,1,0,0,0,0,0,0,2560,0,80,9999,-1,0,0,0
화염구 발사,1000,465,90,30,0,idle,0,0,0,0,0,0,0,2560,0,100,9999,-1,0,0,0
걷기,1000,466,100,5,0,run,0,0,0,0,0,0,0,2560,0,100,9999,-1,0,0,0
