waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
30,9999,0,0,0,9999,1,3593
30,9999,3,0,0,9999,1,3594
30,9999,6,0,0,9999,1,3595
30,9999,9,0,0,9999,1,3596
30,32907,3,0,0,32907,1,
30,1,20,3600,10,1 3 5 7,1 1 1 1,
30,2,20,3600,10,2 4 6 8,1 1 1 1,
30,3,20,3600,15,9 11 13 15,1 1 1 1,
30,4,20,3600,15,10 12 14 16,1 1 1 1,
30,5,20,3600,15,17 19 21 23,1 1 1 1,
30,6,20,3600,15,18 20 22 24,1 1 1 1,
30,7,20,3600,15,1 3 5 7,1 1 1 1,
30,8,20,3600,15,2 4 6 8,1 1 1 1,
30,9,20,3600,15,9 11 13 15,1 1 1 1,
30,10,20,3600,15,10 12 14 16,1 1 1 1,
30,11,20,3600,15,17 19 21 23,1 1 1 1,
30,12,20,3600,15,18 20 22 24,1 1 1 1,
30,13,20,3600,13,1 3 5 7,1 1 1 1,
30,14,20,3600,13,2 4 6 8,1 1 1 1,
30,15,20,3600,15,9 11 13 15,1 1 1 1,
30,16,20,3600,15,10 12 14 16,1 1 1 1,
30,17,20,3600,15,17 19 21 23,1 1 1 1,
30,18,20,3600,15,18 20 22 24,1 1 1 1,
30,19,20,3600,15,1 3 5 7,1 1 1 1,
30,20,20,3600,15,2 4 6 8,1 1 1 1,
30,21,20,3600,15,9 11 13 15,1 1 1 1,
30,22,20,3600,15,10 12 14 16,1 1 1 1,
30,23,20,3600,15,17 19 21 23,1 1 1 1,
30,24,20,3600,15,18 20 22 24,1 1 1 1,
30,25,20,3600,15,1 3 5 7,1 1 1 1,
30,26,20,3600,15,2 4 6 8,1 1 1 1,
30,27,20,3600,15,9 11 13 15,1 1 1 1,
30,28,20,3600,15,10 12 14 16,1 1 1 1,
30,29,20,3600,15,17 19 21 23,1 1 1 1,
30,30,20,3600,15,18 20 22 24,1 1 1 1,
30,31,20,3600,15,1 3 5 7,1 1 1 1,
30,32,20,3600,15,2 4 6 8,1 1 1 1,
30,33,20,3600,15,9 11 13 15,1 1 1 1,
30,34,20,3600,15,10 12 14 16,1 1 1 1,
30,35,20,3600,15,17 19 21 23,1 1 1 1,
30,36,20,3600,15,18 20 22 24,1 1 1 1,
30,37,20,3600,10,40,1,
30,38,40,3600,40,101,1,
30,39,40,3600,40,102,1,
30,40,50,3600,50,200,1,
