id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp,isShowHPInfo,mmNum,waveType,"render[mode, fx, alpha]",spawnMessageNum,name
1,zombi_host,30,75,2,700,260,380,650,0,0,255 255 255,0,101,0,0,1,485,0,-1,-1,,,
2,zombi_origin,35,75,2,780,300,380,800,0,0,255 255 255,0,101,0,0,1,590,0,-1,-1,,,
3,zombi_host,35,75,2,950,340,400,1000,0,0,255 255 255,0,101,0,0,1,730,0,-1,-1,,,
4,zombi_origin,40,75,2,1000,380,400,1200,0,0,255 255 255,0,101,0,0,1,870,0,-1,-1,,,
5,speed_zombi_host,26,85,2,300,200,600,650,0,0,255 255 255,0,110,0,0,1,485,0,-1,-1,,,
6,speed_zombi_origin,30,85,2,380,250,600,800,0,0,255 255 255,0,111,0,0,1,590,0,-1,-1,,,
7,speed_zombi_origin,35,85,2,440,250,650,1100,0,0,255 255 255,0,111,0,0,1,800,0,-1,-1,,,
8,speed_zombi_origin,40,85,2,500,250,650,1300,0,0,255 255 255,0,111,0,0,1,940,0,-1,-1,,,
9,heavy_zombi_host,30,60,3,1500,1600,250,1500,0,0,255 255 255,0,121,0,0,1,765,0,-1,-1,,,
10,heavy_zombi_origin,35,70,3,2000,1900,260,1800,0,0,255 255 255,0,121,0,0,1,870,0,-1,-1,,,
11,heavy_zombi_origin,40,70,3,2500,2400,260,2000,0,0,255 255 255,0,121,0,0,1,1080,0,-1,-1,,,
12,heavy_zombi_origin,42,70,3,3000,2600,260,2500,0,0,255 255 255,0,121,0,0,1,1185,0,-1,-1,,,
13,pc_zombi_host,35,75,2,640,240,380,650,0,0,255 255 255,0,130,0,0,1,485,0,-1,-1,,,
14,pc_zombi_origin,40,80,2,650,260,380,900,0,0,255 255 255,0,130,0,0,1,660,0,-1,-1,,,
15,pc_zombi_origin,40,80,2,750,280,380,1000,0,0,255 255 255,0,130,0,0,1,730,0,-1,-1,,,
16,pc_zombi_origin,40,80,2,790,300,380,1200,0,0,255 255 255,0,130,0,0,1,870,0,-1,-1,,,
17,heal_zombi_origin,30,80,3,680,300,320,800,0,0,255 255 255,0,141,0,0,1,590,0,-1,-1,,,
18,heal_zombi_host,30,80,3,750,400,320,1000,0,0,255 255 255,0,141,0,0,1,730,0,-1,-1,,,
19,heal_zombi_host,35,80,3,820,400,320,1200,0,0,255 255 255,0,141,0,0,1,870,0,-1,-1,,,
20,heal_zombi_host,35,80,3,900,400,320,1400,0,0,255 255 255,0,141,0,0,1,1010,0,-1,-1,,,
21,resident_zombi_origin,15,45,3,700,110,520,550,0,0,255 255 255,0,145,0,0,1,415,0,-1,-1,,,
22,resident_zombi_host,20,45,3,760,110,520,650,0,0,255 255 255,0,145,0,0,1,485,0,-1,-1,,,
23,resident_zombi_origin,33,45,3,810,130,540,800,0,0,255 255 255,0,145,0,0,1,590,0,-1,-1,,,
24,resident_zombi_host,38,50,3,860,130,540,1050,0,0,255 255 255,0,145,0,0,1,765,0,-1,-1,,,
25,boomer_zombi_origin,50,70,3,2000,400,180,850,0,11,255 255 255,0,146,0,0,1,625,0,-1,-1,,,
26,boomer_zombi_host,55,70,3,2500,400,180,1000,0,11,255 255 255,0,146,0,0,1,730,0,-1,-1,,,
27,teleport_zombi_host,45,65,3,200,125,270,500,0,0,255 255 255,0,101,0,0,1,750,0,-1,-1,,,
28,teleport_zombi_origin,45,65,3,200,125,270,500,0,0,255 255 255,0,101,0,0,1,750,0,-1,-1,,,
29,revival_zombi_host,75,40,5,400,300,235,1000,0,0,255 255 255,0,101,0,0,1,1000,0,-1,-1,,,
30,revival_zombi_origin,75,40,5,400,300,235,1000,0,0,255 255 255,0,101,0,0,1,1000,0,-1,-1,,,
40,zombiedog,75,75,2,650,500,660,2000,0,12,255 255 255,0,144,0,0,1,1500,0,-1,-1,,,
50,zombieclimber,25,50,3,1000,500,360,2500,0,1,255 255 255,0,147,0,0,1,1750,0,-1,-1,,,
60,zombi_host,5,3000,3,500,20,-25,200,0,6,80 228 91,0,102,0,0,1,170,0,-1,-1,,,
61,zombi_origin,35,75,2,780,300,380,800,0,0,255 255 255,0,101,3,0,1,590,0,-1,-1,,,
62,speed_zombi_origin,40,85,2,500,250,650,1300,0,0,255 255 255,0,111,3,0,1,940,0,-1,-1,,,
63,heavy_zombi_origin,42,70,3,3000,2600,260,2500,0,0,255 255 255,0,121,3,0,1,1185,0,-1,-1,,,
64,boomer_zombi_host,55,70,3,2500,400,180,1000,0,11,255 255 255,0,146,3,0,1,730,0,-1,-1,,,
101,deimos_zombi_host,100,70,3,20000,20000,250,15000,1,8,255 255 255,0,181,0,0,1,3000,0,-1,-1,,,
102,deimos_zombi_origin,150,80,3,25000,25000,260,20000,1,8,255 255 255,0,181,0,0,1,4000,0,-1,-1,,,
200,zbs_bossS_jun01,200,90,3,30000,30000,270,25000,1,9,255 255 255,0,182,0,0,2,5000,0,-1,-1,,,
32907,zbs82,1,300,2,6300000,6300000,300,32000,2,1000,255 255 255,0,170,2,100,3,0,0,-1,-1,,,
32908,heavy_zombi_host,30,75,2,1500,260,380,650,0,0,255 51 153,0,145,0,0,1,485,0,-1,-1,,,
