temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
좀비부르기,1000,180,15,30,0.5,,0,100,0,0,0,17,0,1000,99,100,10000,-1,600,200,102
지뢰,1000,181,10,15,3,,0,100,0,0,0,17,0,1000,99,100,10000,-1,600,200,20
독가스,1000,182,10,20,3,,0,50,0,0,0,17,0,1000,99,100,10000,-1,600,200,0
화염,1000,183,10,15,3,,0,100,0,0,0,17,0,1000,99,100,10000,-1,600,200,0
좀비부르기2,1000,180,15,30,0.5,,0,100,0,0,0,5,0,1000,0,97,10000,-1,600,200,102
지뢰2,1000,181,10,15,3,,0,100,0,0,0,5,0,1000,0,97,10000,-1,600,200,20
독가스2,1000,182,10,20,3,,0,50,0,0,0,5,0,1000,0,97,10000,-1,600,200,0
화염2,1000,183,10,15,3,,0,100,0,0,0,5,0,1000,0,97,10000,-1,600,200,0
등장,1001,184,255,999999,5.03,appear,0,100,0,0,0,1,0,1000,99,100,10000,-1,600,200,0
근접1,1001,185,10,10,2.03,attack1,0.5,100,90,2,9,5,0,1000,0,100,10,-1,600,200,0
근접2,1001,186,10,10,2.03,attack2,0.5,100,90,2,9,5,0,1000,0,100,10,-1,600,200,0
돌진,1001,187,30,10,0.73,dash_start,0,250,0,0,0,0,5,1000,51,100,0,-1,800,400,2000
촉수(부채꼴),1001,188,10,30,6.45,skill1,3.9,150,45,5,10,0,6,1000,51,100,0,-1,650,250,250
촉수(서클),1001,194,10,30,6.45,skill1,3.9,150,45,5,10,0,6,1000,51,100,0,-1,650,250,250
잔상,1001,189,20,25,1.13,skill4_a_start,0,150,100,1,7,1,0,9999,51,100,10,-1,15,5,2500
독액,1001,190,15,25,4.83,skill2,0,250,0,0,0,1,0,1000,51,100,50,-1,600,200,0
돌진2,1001,187,30,10,0.73,dash_start,0,350,0,0,0,0,5,1000,0,50,0,-1,800,400,2000
촉수2(부채꼴),1001,188,10,30,6.45,skill1,3.9,250,45,5,10,0,6,1000,51,100,0,-1,650,250,250
촉수2(서클),1001,194,10,30,6.45,skill1,3.9,250,45,5,10,0,6,1000,0,50,0,-1,650,250,250
잔상2,1001,189,20,25,1.13,skill4_a_start,0,250,100,1,7,1,0,9999,0,50,10,-1,15,5,2500
독액2,1001,190,15,25,4.83,skill2,0,350,0,0,0,1,0,1000,0,50,50,-1,600,200,0
흡수1,1001,191,50,999999,1.6,skill3_start,0,100,0,0,0,1,0,1000,0,85,10000,-1,600,200,80000
흡수2,1001,191,50,999999,1.6,skill3_start,0,100,0,0,0,1,0,1000,0,45,10000,-1,600,200,80000
흡수3,1001,191,50,999999,1.6,skill3_start,0,100,0,0,0,1,0,1000,0,55,10000,-1,600,200,80000
흡수4,1001,191,50,999999,1.6,skill3_start,0,100,0,0,0,1,0,1000,0,70,10000,-1,600,200,200000
흡수5,1001,191,50,999999,1.6,skill3_start,0,100,0,0,0,1,0,1000,0,25,10000,-1,600,200,200000
흡수_유저,1001,192,50,60,1.6,skill3_start,0,300,120,0,5,0,20,9999,0,100,0,1040,300,500,0
자기장,1001,193,0,0,0.8,skill5_start,0,300,0,0,0,0,0,10000,0,1000,0,1039,300,500,300
마무리1,1001,185,255,999999,2.03,attack1,0.5,100,90,2,9,5,0,1000,0,3,10,1042,600,200,0
마무리2,1001,185,255,999999,2.03,attack1,0.5,100,90,2,9,5,0,1000,0,2,10,1043,600,200,0
마무리3,1001,185,255,999999,2.03,attack1,0.5,100,90,2,9,5,0,1000,0,1,10,1041,600,200,0
##Zavist 스폰,1200,132,255,9999999,0,0,0,0,0,0,0,0,0,9999,0,100,999999,-1,1500,0.03,0
Zavist 평타1,1200,133,10,10,2.033,attack1,0.166,50,60,1,5,2,0,10,0,100,1,-1,0,0,0
Zavist 평타2,1200,134,10,10,2.033,attack2,0.433,50,90,1,5,2,0,10,0,100,1,-1,0,5,0
Zavist 평타3,1200,135,10,10,2.333,attack3,0.533,70,30,1,6,2,0,10,0,100,1,-1,0,0,0
Zavist 평타4,1200,136,10,10,2.8,attack4,0.8,80,60,1,6,2,0,10,0,100,1,-1,5,5,10
Zavist 스킬1,1200,137,15,8,7,skill1_start,0,100,180,1,7,1,0,9999,0,100,1000,-1,15,5,15
Zavist 스킬2,1200,138,15,5,4.733,skill2,0,80,60,1,8,2,0,9999,0,100,1,-1,15,5,15
##Neid 스폰,1100,140,255,9999999,0,0,0,0,0,0,0,0,0,9999,0,100,999999,-1,1500,0.03,0
