x,y,z,pitch,yaw,roll,type,useCount,difficulty,model
-59.000000,-566.000000,2688.000000,0.000000,-90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-3.000000,-566.000000,2688.000000,0.000000,0.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
55.000000,-566.000000,2700.000000,0.000000,0.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
566.000000,-58.000000,2688.000000,0.000000,0.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
566.000000,-2.000000,2688.000000,0.000000,90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
566.000000,56.000000,2700.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
59.000000,566.000000,2688.000000,0.000000,90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
3.000000,566.000000,2688.000000,0.000000,180.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-55.000000,566.000000,2700.000000,0.000000,180.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-574.000000,59.000000,2688.000000,0.000000,180.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-574.000000,3.000000,2688.000000,0.000000,-90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-574.000000,-55.000000,2700.000000,0.000000,-90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-2104.000000,-1574.000000,2496.000000,0.000000,-90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-2048.000000,-1574.000000,2496.000000,0.000000,0.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-1990.000000,-1574.000000,2508.000000,0.000000,0.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-59.000000,-2318.000000,2368.000000,0.000000,-90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-3.000000,-2318.000000,2368.000000,0.000000,0.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
55.000000,-2318.000000,2380.000000,0.000000,0.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
59.000000,-3826.000000,2368.000000,0.000000,90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
3.000000,-3826.000000,2368.000000,0.000000,180.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-55.000000,-3826.000000,2380.000000,0.000000,180.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
1989.000000,-1578.000000,2496.000000,0.000000,-90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
2045.000000,-1578.000000,2496.000000,0.000000,0.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
2103.000000,-1578.000000,2508.000000,0.000000,0.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-954.000000,266.000000,-3216.000000,0.000000,0.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-954.000000,322.000000,-3216.000000,0.000000,90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-954.000000,380.000000,-3204.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
1340.000000,-201.000000,-3204.000000,0.000000,-90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
1340.000000,-143.000000,-3216.000000,0.000000,-90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
1340.000000,-87.000000,-3216.000000,0.000000,180.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-954.000000,-246.000000,-3216.000000,0.000000,0.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-954.000000,-190.000000,-3216.000000,0.000000,90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-954.000000,-132.000000,-3204.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
1340.000000,353.000000,-3216.000000,0.000000,180.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
1340.000000,297.000000,-3216.000000,0.000000,-90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
1340.000000,239.000000,-3204.000000,0.000000,-90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
