temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
Flying,1000,293,80,1,99999,zbs_fly_f,0,1.5,0,0,0,0,0,1000,95,100,0,-1,0,0,0
FastFlying,1000,294,20,1,99999,zbs_fly_f2,0,3,0,0,0,0,0,1000,95,100,0,-1,1,1,0
Gun,1000,295,80,10,3,zbs_attack_gun_start,1,1,0,0,0,0,0,1000,95,100,0,-1,0,0,0
Rocket,1000,298,20,13,2,zbs_attack_gun_shoot,0.5,1,0,0,0,0,0,1000,95,100,0,-1,0,0,0
Flying,1000,293,30,1,99999,zbs_fly_f,0,2,0,0,0,0,0,1000,80,95,0,-1,0,0,0
FastFlying,1000,294,50,1,99999,zbs_fly_f2,0,3.5,0,0,0,0,0,1000,80,95,0,-1,1,1,0
Gun,1000,295,50,5,4,zbs_attack_gun_start,1,1,0,0,0,0,0,1000,80,95,0,-1,0,0,0
Rocket,1000,298,30,9,2,zbs_attack_gun_shoot,0.5,1,0,0,0,0,0,1000,80,95,0,-1,0,0,0
MissileFast,1000,303,255,99999,6.3,zbs_attack_special2,2.4,1,0,0,0,0,0,1000,80,90,0,1627,0,0,0
MissileFast,1000,303,50,15,6.3,zbs_attack_special2,2.4,1,0,0,0,0,0,1000,80,90,0,-1,0,0,0
Flying,1000,293,1,1,99999,zbs_fly_f,0,2,0,0,0,0,0,1000,0,80,0,-1,0,0,0
FastFlying,1000,294,99,1,99999,zbs_fly_f2,0,4,0,0,0,0,0,1000,0,80,0,-1,1,1,0
Gun,1000,295,50,5,3,zbs_attack_gun_start,1,1,0,0,0,0,0,1000,0,80,0,-1,0,0,0
Rocket,1000,298,30,8,2,zbs_attack_gun_shoot,0.5,1,0,0,0,0,0,1000,0,80,0,-1,0,0,0
MissileFast,1000,303,70,15,6.3,zbs_attack_special2,2.4,1,0,0,0,0,0,1000,0,80,0,-1,0,0,0
ScratchGun,1000,300,0,8,99999,zbs_fly_f2,0,1,0,0,0,0,0,1000,0,100,0,-1,0,0,0
Bombing,1000,301,0,8,99999,zbs_fly_f2,0,1,0,0,0,0,0,1000,0,100,0,-1,0,0,0
FlyingDrone,1000,296,20,1,99999,idle,0,1,0,0,0,0,0,1000,0,100,0,-1,0,0,0
FastFlyingDrone,1000,297,15,1,99999,idle,0,1,0,0,0,0,0,1000,0,100,0,-1,0,0,0
Missile,1000,299,255,99999,15,zbs_fly_f2,0,3,0,0,0,0,0,1000,0,35,0,1628,0,0,0
HelgiLastEvent,1000,302,255,99999,99999,zbs_fly_f2,0,1,0,0,0,0,0,1000,0,30,0,-1,0,0,0
