,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
ÃÖÁ¾º¸½º½ºÆù,1000,438,255,0,3,null,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
±ÙÁ¢°ø°İ1,1000,427,100,6,2.37,skill2,1,80,180,3,5,4,0,9999,0,100,2,-1,0,0,0
±ÙÁ¢°ø°İ2,1000,428,100,6,2.53,skill3,1,105,90,3,10,4,0,9999,0,100,2,-1,0,0,0
¼ö·ùÅºÅõÃ´,1000,429,80,8,3.53,skill4,1.75,120,0,0,5,0,0,9999,0,100,9999,-1,0,0,0
¼ö·ùÅº¿øÇüÅõÃ´,1000,430,70,32,1.53,skill6,1.07,185,0,0,5,0,0,9999,0,100,9999,-1,0,0,0
Áö·ÚÅõÃ´,1000,431,80,10,3.03,skill5,1.8,170,0,0,3,0,0,9999,0,100,9999,-1,0,0,0
ÆøÅºÁ¡ÇÁ,1000,432,70,20,1.53,skill7,0,240,0,0,4,0,0,9999,0,100,9999,-1,0,0,0
ÆøÅº±¼¸®±â,1000,433,80,12,3.37,skill8,1.73,300,0,0,6,0,0,9999,0,100,9999,-1,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
