waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage,MovePath
1,1,6,120,3,11 111,5 1,,1
1,2,6,120,3,11 111,5 1,,2
1,3,6,120,3,11 111,5 1,,3
1,4,6,120,3,11 111,5 1,,4
1,5,6,120,2,11 111,5 1,,5
1,6,6,120,2,11 111,5 1,,6
1,7,6,120,2,11 111,5 1,,7
1,8,6,120,3,11 111,5 1,,8
1,9,6,120,3,11 111,5 1,,9
1,10,6,120,2,11 111,5 1,,10
1,11,6,120,2,11 111,5 1,,11
2,1,6,120,3,22 112,5 1,,1
2,2,6,120,3,22 112,5 1,,2
2,3,6,120,3,21 111,5 1,,3
2,4,6,120,3,21 111,5 1,,4
2,5,6,120,2,22 112,5 1,,5
2,6,6,120,2,22 112,5 1,,6
2,7,6,120,2,22 112,5 1,,7
2,8,6,120,3,21 111,5 1,,8
2,9,6,120,3,21 111,5 1,,9
2,10,6,120,2,21 111,5 1,,10
2,11,6,120,2,21 111,5 1,,11
3,1,6,120,3,32 112,4 1,,1
3,2,6,120,3,32 112,4 1,,2
3,3,6,120,3,31 111,4 1,,3
3,4,6,120,3,31 111,4 1,,4
3,5,6,120,2,32 112,4 1,,5
3,6,6,120,2,32 112,4 1,,6
3,7,6,120,2,32 112,4 1,,7
3,8,6,120,3,32 112,4 1,,8
3,9,6,120,3,32 112,4 1,,9
3,10,6,120,2,31 111,4 1,,10
3,11,6,120,2,31 111,4 1,,11
4,1,6,120,3,41 111,4 1,,1
4,2,6,120,3,42 112,4 1,,2
4,3,6,120,3,42 41 112 111,4 4 2 1,,3
4,4,6,120,3,41 111,4 1,,4
4,5,6,120,2,42 41 112 111,4 4 2 1,,5
4,6,6,120,2,44,1,,6
4,7,6,120,2,42 41 112 111,4 4 2 1,,7
4,8,6,120,3,42 112,4 1,,8
4,9,6,120,3,41 111,4 1,,9
4,10,6,120,2,41 111,4 1,,10
4,11,6,120,2,41 111,4 1,,11
5,1,6,120,3,52 112,3 1,,1
5,2,6,120,3,52 112,3 1,,2
5,3,6,120,3,52 112,3 1,,3
5,4,6,120,3,52 112,3 1,,4
5,5,6,120,2,52 112,3 1,,5
5,6,6,120,2,52 112,3 1,,6
5,7,6,120,2,52 112,3 1,,7
5,8,6,120,3,52 112,3 1,,8
5,9,6,120,3,52 112,3 1,,9
5,10,6,120,2,52 112,3 1,,10
5,11,6,120,2,52 112,3 1,,11
6,1,6,120,3,52 112,3 1,,1
6,2,6,120,3,52 112,3 1,,2
6,3,6,120,3,52 112,3 1,,3
6,4,6,120,3,52 112,3 1,,4
6,5,6,120,2,63 113,3 1,,5
6,6,6,120,2,64,1,,6
6,7,6,120,2,63 113,3 1,,7
6,8,6,120,3,62 112,3 1,,8
6,9,6,120,3,62 112,3 1,,9
6,10,6,120,2,61 111,3 1,,10
6,11,6,120,2,61 111,3 1,,11
7,1,6,120,3,73 113,3 1,,1
7,2,6,120,3,72 112,3 1,,2
7,3,6,120,3,72 112,3 1,,3
7,4,6,120,3,74,1,,4
7,5,6,120,2,72 112,3 1,,5
7,6,6,120,2,73 113,3 1,,6
7,7,6,120,2,72 112,3 1,,7
7,8,6,120,3,72 112,3 1,,8
7,9,6,120,3,74,1,,9
7,10,6,120,2,71 111,3 1,,10
7,11,6,120,2,71 111,3 1,,11
8,1,6,120,3,83 113,3 1,,1
8,2,6,120,3,83 113,3 1,,2
8,3,6,120,3,83 113,3 1,,3
8,4,6,120,3,83 113,3 1,,4
8,5,6,120,2,83 113,3 1,,5
8,6,6,120,2,83 113,3 1,,6
8,7,6,120,2,83 113,3 1,,7
8,8,6,120,3,83 113,3 1,,8
8,9,6,120,3,83 113,3 1,,9
8,10,6,120,2,83 113,3 1,,10
8,11,6,120,2,83 113,3 1,,11
9,1,6,120,3,93 113,3 1,,1
9,2,6,120,3,92 112,3 1,,2
9,3,6,120,3,92 112,3 1,,3
9,4,6,120,3,93 113,3 1,,4
9,5,6,120,2,92 93 112 113,3 3 1 1,,5
9,6,6,120,2,93 113,3 1,,6
9,7,6,120,2,92 93 112 113,3 3 1 1,,7
9,8,6,120,3,93 113,3 1,,8
9,9,6,120,3,92 112,3 1,,9
9,10,6,120,2,92 112,3 1,,10
9,11,6,120,2,92 112,3 1,,11
10,1,6,120,3,102 112,3 1,,1
10,2,6,120,3,103 113,3 1,,2
10,3,6,120,3,103 113,3 1,,3
10,4,6,120,3,104,1,,4
10,5,6,120,2,104 102 112,3 1 1,,5
10,6,6,120,2,103,1,,6
10,7,6,120,2,104 102 112,3 1 1,,7
10,8,6,120,3,103 113,3 1,,8
10,9,6,120,3,103 113,3 1,,9
10,10,6,120,2,103 113,3 1,,10
10,11,6,120,2,103 113,3 1,,11
