id,aggro Dist(meter),aggro Degree,NoiseMax,"IdleState( 0 : stand, 1 : sit, 2 : lay, 3 : 바닥에서 올라옴 )","Roaming( 0 : 제자리에 대기, 1 : 로밍, 2 : 배회 )",RoamingPath,RoamingSpeed,GroggyStartDamage,GroggyTime,CriticalFlinchDamage,holdtime(겨루기 시간),hold초당Damage,hold실패damage
1,15,60,10,0,0,1,32,100,5,35,7,5,25
2,15,60,10,1,0,1,32,100,5,35,7,5,25
3,15,60,10,2,0,1,32,100,5,35,7,5,25
4,15,60,10,3,0,1,32,100,5,35,7,5,25
5,15,60,10,0,1,1,32,100,5,35,7,5,25
6,15,60,10,1,1,1,32,100,5,35,7,5,25
7,15,60,10,2,1,1,32,100,5,35,7,5,25
8,15,60,10,3,1,1,32,100,5,35,7,5,25
9,15,60,10,0,2,1,32,250,5,100,7,5,25
10,15,60,10,1,2,1,32,300,5,100,7,5,25
11,15,60,10,2,2,1,32,500,5,100,7,5,25
12,15,60,10,3,2,1,32,800,5,220,7,5,25
