waveID,spawnPoint,startTime,endTime,intervalTime,zombi,spawnRatio,skillID,actionPoint,diePoint
1,101,30,40,0,30300,1,31,0,0
1,100,45,55,0,30300,1,31,0,0
1,100,60,140,30,30300 30300,1 1,20 30,0 0,0 0
1,101,60,140,30,30300 30300,1 1,20 30,0 0,0 0
1,102,60,140,30,30300 30300,1 1,20 30,0 0,0 0
1,103,60,140,30,30300 30300,1 1,20 30,0 0,0 0
2,100,5,140,30,30300 30300,1 1,21 30,0 0,0 0
2,101,5,140,30,30300 30300,1 1,21 30,0 0,0 0
2,102,5,140,30,30300 30300,1 1,21 30,0 0,0 0
2,103,5,140,30,30300 30300,1 1,21 30,0 0,0 0
3,100,5,140,30,30300 30300 30300,1 2 1,20 28 29,0 0,0 0
3,101,5,140,30,30300 30300 30300,1 2 1,21 28 29,0 0,0 0
3,102,5,140,30,30300 30300 30300,1 2 1,22 28 29,0 0,0 0
3,103,5,140,30,30300 30300 30300,1 2 1,23 28 29,0 0,0 0
4,100,5,140,30,30300 30300 30300,1 2 1,20 28 29,0 0 0,0 0 0
4,101,5,140,30,30300 30300 30300,1 2 1,20 28 29,0 0 0,0 0 0
4,102,5,140,30,30300 30300 30300,1 2 1,20 28 29,0 0 0,0 0 0
4,103,5,140,30,30300 30300 30300,1 2 1,20 28 29,0 0 0,0 0 0
5,100,5,140,30,30300 30300 30300,1 2 2,20 24 28,0 0 0,0 0 0
5,101,5,140,30,30300 30300 30300,1 2 2,20 24 28,0 0 0,0 0 0
5,102,5,140,30,30300 30300 30300,1 2 2,20 24 28,0 0 0,0 0 0
5,103,5,140,30,30300 30300 30300,1 2 2,20 24 28,0 0 0,0 0 0
6,200,10,140,0,30500,1,32,204,208
6,203,30,140,30,30500,1,32,207,211
6,200,30,140,30,30500,1,32,204,208
6,201,30,140,30,30500,1,32,205,209
6,202,30,140,30,30500,1,32,206,210
6,100,30,140,30,30500 30500,1 2,21 24,0 0,0 0
6,101,30,140,30,30500 30500,1 2,21 24,0 0,0 0
6,102,30,140,30,30500 30500,1 2,21 24,0 0,0 0
6,103,30,140,30,30500 30500,1 2,21 24,0 0,0 0
7,200,5,140,30,30500,1,32,204,208
7,201,5,140,30,30500,1,32,205,209
7,202,5,140,30,30500,1,32,206,210
7,203,5,140,30,30500,1,32,207,211
7,100,5,140,30,30500 30500 30500,1 1 1,21 24 28,0 0 0,0 0 0
7,101,5,140,30,30500 30500 30500,1 1 1,21 24 28,0 0 0,0 0 0
7,102,5,140,30,30500 30500 30500,1 1 1,21 24 28,0 0 0,0 0 0
7,103,5,140,30,30500 30500 30500,1 1 1,21 24 28,0 0 0,0 0 0
8,103,5,130,30,30500 30500 30500,1 1 1,21 24 27,0 0 0,0 0 0
8,200,5,130,30,30500,2,32,204,208
8,201,5,130,30,30500,2,32,205,209
8,202,5,130,30,30500,2,32,206,210
8,203,5,130,30,30500,2,32,207,211
8,100,5,130,30,30500 30500 30500,1 1 1,21 24 27,0 0 0,0 0 0
8,101,5,130,30,30500 30500 30500,1 1 1,21 24 27,0 0 0,0 0 0
8,102,5,130,30,30500 30500 30500,1 1 1,21 24 27,0 0 0,0 0 0
9,200,5,130,30,30500 30500,2 1,32 33,204 204,208 208
9,201,5,130,30,30500 30500,2 1,32 33,205 205,209 209
9,202,5,130,30,30500 30500,2 1,32 33,206 206,210 210
9,203,5,130,30,30500 30500,2 1,32 33,207 207,211 211
9,100,5,130,30,30500 30500 30500,1 1 1,21 25 27,0 0 0,0 0 0
9,101,5,130,30,30500 30500 30500,1 1 1,21 25 27,0 0 0,0 0 0
9,102,5,130,30,30500 30500 30500,1 1 1,21 25 27,0 0 0,0 0 0
9,103,5,130,30,30500 30500 30500,1 1 1,21 25 27,0 0 0,0 0 0
10,200,5,130,30,30500 30500,1 1,32 33,204 204,208 208
10,201,5,130,30,30500 30500,1 1,32 33,205 205,209 209
10,202,5,130,30,30500 30500,1 1,32 33,206 206,210 210
10,203,5,130,30,30500 30500,1 1,32 33,207 207,211 211
10,100,5,130,30,30500 30500 30500,1 1 1,22 25 27,0 0 0,0 0 0
10,101,5,130,30,30500 30500 30500,1 1 1,22 25 27,0 0 0,0 0 0
10,102,5,130,30,30500 30500 30500,1 1 1,22 25 27,0 0 0,0 0 0
10,103,5,130,30,30500 30500 30500,1 1 1,22 25 27,0 0 0,0 0 0
11,200,5,130,30,30500,1,33,204,208
11,201,5,130,30,30500,1,33,205,209
11,202,5,130,30,30500,1,33,206,210
11,203,5,130,30,30500,1,33,207,211
11,100,5,130,30,30500 30500 30500,1 1 1,22 25 26,0 0 0,0 0 0
11,101,5,130,30,30500 30500 30500,1 1 1,22 25 26,0 0 0,0 0 0
11,102,5,130,30,30500 30500 30500,1 1 1,22 25 26,0 0 0,0 0 0
11,103,5,130,30,30500 30500 30500,1 1 1,22 25 26,0 0 0,0 0 0
12,100,5,80,30,30500 30500 30500,1 1 1,22 25 26,0 0 0,0 0 0
12,201,5,80,30,30500,2,33,205,209
12,202,5,80,30,30500,2,33,206,210
12,203,5,80,30,30500,2,33,207,211
12,200,5,80,30,30500,2,33,204,208
12,101,5,80,30,30500 30500 30500,1 2 1,22 25 26,0 0 0,0 0 0
12,102,5,80,30,30500 30500 30500,1 2 1,22 25 26,0 0 0,0 0 0
12,103,5,80,30,30500 30500 30500,1 2 1,22 25 26,0 0 0,0 0 0
12,201,90,120,30,30500,2,33,205,209
12,202,90,120,30,30500,2,33,206,210
12,203,90,120,30,30500,2,33,207,211
12,200,90,120,30,30500,2,33,204,208
12,100,145,180,0,30500,1,34,0,0
