id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1,zombi_host,5,40,4,50,0,120,45,0,0,255 255 255,0,100,0,0,7
2,zombi_origin,6,40,3,70,30,120,90,0,1,255 255 255,0,101,0,0,7
3,speed_zombi_host,8,50,5,40,0,160,45,0,0,255 255 255,0,120,0,0,7
4,speed_zombi_origin,10,50,4,50,20,170,90,0,2,255 255 255,0,121,0,0,7
5,heavy_zombi_host,4,45,4,250,50,95,45,0,0,255 255 255,0,120,0,0,7
6,heavy_zombi_origin,5,45,3,350,80,100,90,0,3,255 255 255,0,121,0,0,7
7,pc_zombi_host,5,50,4,50,25,140,100,0,0,255 255 255,0,130,0,0,7
8,pc_zombi_origin,6,50,3,80,40,150,160,0,4,255 255 255,0,131,0,0,7
9,heal_zombi_host,4,40,5,30,10,110,200,0,0,255 255 255,0,140,0,0,7
10,heal_zombi_origin,7,40,5,100,10,120,300,0,5,255 255 255,0,141,0,0,7
20,zombi_host,1,40,4,50,0,110,45,0,0,255 255 255,0,100,0,0,7
99,zbs_bossS_jun00,20,90,1,8000,1000,100,1000,1,3,255 255 255,0,150,0,0,8
100,zbs_bossS_jun00,80,90,0.7,80000,1000,110,0,2,3,255 255 255,0,150,0,0,8
1001,zombi_host,10,40,4,50,0,130,70,0,0,255 255 255,0,100,0,0,7
1002,zombi_origin,12,40,3,70,30,130,135,0,0,255 255 255,0,101,0,0,7
1003,speed_zombi_host,15,50,5,40,0,180,70,0,0,255 255 255,0,120,0,0,7
1004,speed_zombi_origin,20,50,4,50,20,190,135,0,2,255 255 255,0,121,0,0,7
1005,heavy_zombi_host,8,45,4,200,50,100,70,0,0,255 255 255,0,120,0,0,7
1006,heavy_zombi_origin,10,45,3,250,80,110,135,0,3,255 255 255,0,121,0,0,7
1007,pc_zombi_host,11,50,4,50,25,150,150,0,0,255 255 255,0,130,0,0,7
1008,pc_zombi_origin,12,50,3,80,40,160,240,0,4,255 255 255,0,131,0,0,7
1009,heal_zombi_host,8,40,5,30,10,120,300,0,0,255 255 255,0,140,0,0,7
1010,heal_zombi_origin,13,40,5,100,10,130,450,0,5,255 255 255,0,141,0,0,7
1201,zombi_host,2,1500,10,40,0,110,150,0,6,80 228 91,0,102,0,0,7
1202,zombi_host,4,1500,8,40,0,120,225,0,6,80 228 91,0,102,0,0,7
1500,bonus_mon02,0,50,5,30,0,150,300,0,0,255 255 255,0,160,0,0,7
