waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
0,0,0,170,1,20 1,1 1,
0,1,0.2,170,1,20 1,1 1,
0,2,0.1,170,1,20 1,1 1,
0,3,0,170,1,20 1,1 1,
0,4,0.4,170,1,20 1,1 1,
0,5,0.5,170,1,20 1,1 1,
0,6,0.1,170,1,20 1,1 1,
0,7,0.4,170,1,20 1,1 1,
0,8,0.5,170,1,20 1,1 1,
0,9,0.2,170,1,20 1,1 1,
0,10,0.6,170,1,20 1,1 1,
0,11,0.3,170,1,20 1,1 1,
0,12,0.8,170,1,20 1,1 1,
0,13,0.5,170,1,20 1,1 1,
0,14,0.3,170,1,20 1,1 1,
0,15,0.7,170,1,20 1,1 1,
0,16,0.1,170,1,20 1,1 1,
0,17,0.5,170,1,20 1,1 1,
0,18,0.9,170,1,20 1,1 1,
0,19,0.3,170,1,20 1,1 1,
1,9999,0,0,0,9999,1,0
1,20,0.4,170,1,20 1,1 1,
1,21,0.5,170,1,20 1,1 1,
1,22,0.1,170,1,20 1,1 1,
1,23,0.4,170,1,20 1,1 1,
1,24,0.5,170,1,20 1,1 1,
1,50,0.2,170,1,20 1,1 1,
1,51,0.6,170,1,20 1,1 1,
1,52,0.3,170,1,20 1,1 1,
1,53,0.8,170,1,20 1,1 1,
1,54,0.5,170,1,20 1,1 1,
1,55,0.3,170,1,20 1,1 1,
1,56,0.7,170,1,20 1,1 1,
1,57,0.1,170,1,20 1,1 1,
1,58,0.5,170,1,20 1,1 1,
1,59,0.9,170,1,20 1,1 1,
1,60,0.3,170,1,20 1,1 1,
1,61,0.5,170,1,20 1,1 1,
1,62,0.2,170,1,20 1,1 1,
1,63,0.6,170,1,20 1,1 1,
1,64,0.3,170,1,20 1,1 1,
2,20,0.4,170,1,4,1,
2,21,0.5,170,1,4,1,
2,22,0.1,170,1,4,1,
2,23,0.4,170,1,4,1,
2,24,0.5,170,1,4,1,
2,50,0.2,170,1,4,1,
2,51,0.6,170,1,4,1,
2,52,0.3,170,1,4,1,
2,53,0.8,170,1,4,1,
2,54,0.5,170,1,4,1,
2,55,0.3,170,1,4,1,
2,56,0.7,170,1,4,1,
2,57,0.1,170,1,4,1,
2,58,0.5,170,1,4,1,
2,59,0.9,170,1,4,1,
2,60,0.3,170,1,4,1,
2,61,0.5,170,1,4,1,
2,62,0.2,170,1,4,1,
2,63,0.6,170,1,4,1,
2,64,0.3,170,1,4,1,
3,10,0.4,170,1,4,1,
3,11,0.5,170,1,4,1,
3,12,0.1,170,1,4,1,
3,13,0.4,170,1,4,1,
3,14,0.5,170,1,4,1,
3,15,0.2,170,1,4,1,
3,50,0.6,170,1,4,1,
3,51,0.3,170,1,4,1,
3,52,0.8,170,1,4,1,
3,53,0.5,170,1,4,1,
4,0,0,170,1,1,1,
