waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
53,9999,0,0,0,9999,1,362
53,9999,3,0,0,9999,1,363
53,9999,5,0,0,9999,1,364
53,9999,8,0,0,9999,1,365
50,190,0,240,3,2,1,
50,191,0,240,5,1,1,
50,192,0,240,3,9,1,
50,190,0,0,0,500,1,
50,193,4,240,5,17,1,
50,9999,1,0,0,9999,1,366
50,9999,6,0,0,9999,1,367
50,9999,9,0,0,9999,1,369
50,9999,13,0,0,9999,1,370
50,9999,19,0,0,9999,1,371
1,1,0,21600,6,1,1,
1,3,0,21600,6,9,1,
1,5,0,21600,3,2,1,
1,6,0,21600,6,17,1,
2,10,0,180,5,25,1,
2,11,0,180,3,1,1,
2,13,0,180,5,10,1,
2,14,0,180,6,2,1,
2,16,5,180,6,10,1,
2,17,4,180,5,17,1,
51,5,10,`,5,41,1,
51,6,10,20,5,41,1,
51,9999,0,0,0,9999,1,373
51,9999,3,0,0,9999,1,368
51,9999,9,0,0,9999,1,374
51,9999,6,0,0,9999,1,400
4,20,1,21600,5,42,1,
4,21,0,150,10,42,1,
4,22,0,150,10,42,1,
4,23,0,21600,4,43,1,
4,24,0,21600,4,10,1,
4,25,0,21600,4,17,1,
4,21,151,21600,3,25,1,
5,30,0,21600,5,1,1,
5,31,0,21600,5,2,1,
5,32,0,21600,6,33,1,
5,34,0,21600,9,9,1,
5,36,0,21600,5,10,1,
5,37,0,21600,5,17,1,
5,38,0,21600,5,18,1,
5,39,1,21600,3,1,1,
5,40,1,21600,3,2,1,
5,50,0,21600,4,17,1,
5,51,0,21600,0,9,1,
5,52,0,21600,5,10,1,
5,10000,1,21600,4,500,1,
5,10001,3,21600,7,4,1,
6,9999,5,0,0,9999,1,372
6,9999,8,0,0,9999,1,375
6,9999,12,0,0,9999,1,411
6,50,0,180,5,26,1,
6,51,0,180,4,35,1,
6,52,0,180,3,27,1,
6,53,0,180,3,2,1,
6,55,0,180,4,2,1,
6,57,0,180,5,9,1,
6,58,0,180,5,10,1,
6,59,0,180,3,17,1,
6,60,0,180,3,1,1,
6,61,0,180,3,2,1,
6,62,0,0,0,500,1,
6,63,0,180,3,9,1,
6,64,0,180,4,10,1,
7,9999,1,21600,0,9999,1,376
7,9999,3,21600,0,9999,1,244
7,70,0,21600,4,17,1,
7,71,0,21600,3,19,1,
7,73,0,21600,3,3,1,
7,74,0,21600,4,13,1,
7,75,2,0,0,500,1,
8,9999,3,0,0,9999,1,412
8,16,0,21600,3,42,1,
8,17,0,21600,3,43,1,
8,10,0,21600,3,25,1,
8,11,2,21600,2,11,1,
8,13,0,21600,3,25,1,
8,14,0,21600,4,33,1,
8,70,0,21600,3,19,1,
8,73,0,21600,3,3,1,
8,74,0,21600,4,4,1,
9,9999,5,0,0,9999,1,378
9,16,0,120,3,2,1,
9,17,0,120,5,11,1,
9,13,0,120,4,26,1,
9,80,0,21600,3,19,1,
9,81,0,21600,3,18,1,
