,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
등장,1005,119,255,999999,3,zbs_gluttony_start,0,100,0,0,0,1,0,1000,99,100,10000,-1,600,200,0
앞공격,1005,120,30,0,2.03,zbs_attack1,0.8,150,60,5,13,2,0,5,0,100,10,-1,300,500,0
앞공격2,1005,121,30,0,2.03,zbs_attack3,0.8,150,60,5,13,2,0,5,0,100,10,-1,300,500,0
앞공격3,1005,122,30,0,2.03,zbs_attack4,0.8,150,60,5,13,2,0,5,0,100,10,-1,300,500,0
꼬리공격,1005,123,20,0,2.03,zbs_attack2,1,150,90,5,15,0,0,5,0,100,10,-1,300,500,0
가스공격,1005,124,20,10,3.03,zbs_attack_gas,2,15,20,5,1000,0,0,9999,0,100,0,-1,300,500,0
띄우기,1005,125,30,30,5.03,zbs_attack_raise,3.7,999999,60,10,8,0,0,9999,0,90,0,822,300,500,0
벌레미사일,1005,126,20,10,6.366,zbs_attack_fly,1.8,25,0,0,7,0,20,9999,0,100,0,824,250,250,0
먹기,1005,127,15,50,3.03,zbs_gluttony_start,0,500,60,0,5,0,20,9999,0,80,0,-1,300,500,0
대쉬먹기 준비,1005,128,15,50,2.03,zbs_walk,0,0,0,0,0,0,0,9999,0,90,0,-1,0,0,0
//대쉬먹기//,1005,129,0,3,2.03,zbs_dash_gluttony,0,80,30,5,1,0,0,9999,0,100,0,-1,400,300,0
//소화//,1005,130,0,3,1.7,zbs_digest_start,1.7,0,0,0,0,0,0,9999,0,100,0,823,0,0,0
//소화실패//,1005,131,0,3,3.366,zbs_digest_fail,0.4,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
