waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,33,0,0,9999,1,735
1,9999,35,0,0,9999,1,736
1,9999,38,0,0,9999,1,737
1,9999,40,0,0,9999,1,738
1,9999,42,0,0,9999,1,739
1,9999,45,0,0,9999,1,740
1,9999,47,0,0,9999,1,741
1,9999,49,0,0,9999,1,742
1,9999,52,0,0,9999,1,743
1,9999,55,0,0,9999,1,744
1,9999,57,0,0,9999,1,745
1,9999,60,0,0,9999,1,746
1,9999,62,0,0,9999,1,747
1,9999,64,0,0,9999,1,748
1,9999,66,0,0,9999,1,749
1,9999,69,0,0,9999,1,750
1,1,64,300,3,9,1,
1,2,64,300,4,1,1,
1,3,64,300,5,17,1,
1,4,64,300,3,18,1,
1,5,64,300,4,10,1,
1,6,64,300,5,10,1,
1,7,64,300,3,18,1,
1,8,64,300,4,17,1,
1,9,64,300,5,9,1,
1,10,64,300,3,2,1,
3,9999,0,0,0,9999,1,774
3,9999,2,0,0,9999,1,775
3,200,0,15,5,45,1,
4,11,0,300,4,41,1,
4,12,0,300,5,42,1,
4,13,0,300,4,43,1,
4,14,0,300,5,44,1,
4,15,0,300,4,45,1,
4,16,0,300,5,46,1,
4,17,0,300,4,41,1,
4,18,0,300,5,42,1,
51,201,0,15,5,46,1,
5,9999,0,0,0,9999,1,560
5,21,1,300,3,11,1, 
5,22,1,300,4,12,1,
5,23,1,300,3,20,1,
5,24,1,300,4,19,1,
5,25,1,300,3,29,1,
6,31,0,300,4,11,1,
6,32,0,300,3,12,1,
6,33,0,300,4,20,1,
6,34,0,300,3,19,1,
6,35,0,300,4,29,1,
6,36,0,300,3,36,1,
7,9999,0,0,0,9999,1,782
7,9999,2,0,0,9999,1,783
7,9999,4,0,0,9999,1,784
7,9999,6,0,0,9999,1,785
7,9999,8,0,0,9999,1,786
7,9999,10,0,0,9999,1,560
7,41,0,300,4,3,1,
7,42,0,300,5,53,1,
7,43,0,300,4,4,1,
7,31,0,300,5,13,1,
7,32,0,300,4,14,1,
7,33,0,300,5,22,1,
7,34,0,300,4,21,1,
7,35,0,300,5,29,1,
7,36,0,300,4,31,1,
8,9999,0,0,0,9999,1,560
9,9999,0,0,0,9999,1,796
9,51,0,300,3,71,1,
9,52,0,300,4,72,1,
9,53,0,300,3,104,1,
9,54,0,300,4,105,1,
9,55,0,300,3,71,1,
9,56,0,300,4,72,1,
9,57,0,300,3,104,1,
9,58,0,300,4,105,1,
52,202,0,15,5,47,1,
53,203,0,15,5,48,1,
10,9999,0,0,0,9999,1,804
10,9999,2,0,0,9999,1,805
10,51,0,300,3,71,1,
10,52,0,300,4,72,1,
10,53,0,300,3,104,1,
10,54,0,300,4,105,1,
10,55,0,300,3,71,1,
10,56,0,300,4,72,1,
10,57,0,300,3,104,1,
10,58,0,300,4,105,1,
12,61,0,300,4,6,1,
12,62,0,300,5,15,1,
12,63,0,300,4,23,1,
12,64,0,300,5,56,1,
12,65,0,300,25,64,1,
12,66,0,300,4,24,1,
13,9999,0,0,0,9999,1,809
13,9999,10,0,0,9999,1,560
500,10000,25,0,0,31300,1,
500,9999,25,0,0,9999,1,815
500,9999,28,0,0,9999,1,816
500,9999,30,0,0,9999,1,817
500,9999,33,0,0,9999,1,818
500,9999,55,0,0,9999,1,819
500,9999,58,0,0,9999,1,820
500,9999,60,0,0,9999,1,821
500,500,60,0,7,23,1,
500,501,60,0,8,15,1,
500,502,60,0,9,29,1,
500,503,60,0,7,110,1,
500,504,60,0,8,31,1,
500,505,60,0,9,16,1,
500,506,60,0,7,24,1,
500,511,65,35,15,62,1,
500,512,70,40,15,62,1,
500,513,75,45,15,62,1,
