temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
ÈÖµÎ¸£±â¾à100-75,1002,3,3,3,2.7,zbs_attack1,0.93,100,90,5,9,4,0,15,75,100,5,-1,400,250,0
ÈÖµÎ¸£±â¾à75-50,1002,3,2,3,2.7,zbs_attack1,0.93,140,90,5,9,4,0,15,50,74,5,-1,500,250,0
ÈÖµÎ¸£±â°­50-25,1002,3,2,3,2.7,knife_attack1,0.66,240,120,5,11,4,0,15,25,49,5,-1,600,280,0
ÈÖµÎ¸£±â°­25-0,1002,3,2,3,2.7,knife_attack1,0.66,300,120,5,11,4,0,15,0,24,5,-1,700,290,0
ÈÖµÎ¸£±â2¾à100-75,1002,4,3,3,2,zbs_attack2,0.26,80,120,5,7,4,0,15,75,100,5,-1,400,250,0
ÈÖµÎ¸£±â2¾à75-50,1002,4,2,3,2,zbs_attack2,0.26,120,120,5,7,4,0,15,50,74,5,-1,500,250,0
ÈÖµÎ¸£±â2°­50-25,1002,4,2,3,2,knife_attack2,0.23,200,180,5,9,4,0,15,25,49,5,-1,600,280,0
ÈÖµÎ¸£±â2°­25-0,1002,4,2,3,2,knife_attack2,0.23,250,180,5,9,4,0,15,0,24,5,-1,700,290,0
¸®ÇÁ¾îÅÃ¾à100-75,1002,5,1,10,4,zbs_attack3,0.5,120,0,5,10,0,12,1000,75,100,0,-1,600,200,30
¸®ÇÁ¾îÅÃ¾à75-50,1002,5,1,10,4,zbs_attack3,0.5,150,0,5,11,0,12,1000,50,74,0,-1,650,200,30
¸®ÇÁ¾îÅÃ°Á50-25,1002,5,1,10,4,knife_attack3,0.5,250,0,5,14,0,12,1000,25,49,0,-1,700,200,30
¸®ÇÁ¾îÅÃ°Á25-0,1002,5,1,10,4,knife_attack3,0.5,300,0,5,16,0,12,1000,0,24,0,-1,750,200,30
¸®ÇÁ¾îÅÃ¾à99,1002,5,255,999999,4,zbs_attack3,0.5,50,0,5,10,0,0,1000,90,99,0,-1,800,200,30
ºí·¢È¦¾à100-75,1002,6,1,10,6,zbs_attack_hole,5,100,0,5,10,0,12,1000,75,100,0,-1,650,250,250
ºí·¢È¦¾à75-50,1002,6,1,10,6,zbs_attack_hole,5,120,0,5,11,0,12,1000,50,74,0,-1,600,250,300
ºí·¢È¦°­50-25,1002,6,1,10,6,knife_attack_hole,5,280,0,5,14,0,12,1000,25,49,0,-1,700,250,380
ºí·¢È¦°­25-0,1002,6,1,10,6,knife_attack_hole,5,350,0,5,16,0,12,1000,0,24,0,-1,800,250,450
ºí·¢È¦¾à99,1002,6,254,999999,6,zbs_attack_hole,5,50,0,5,10,0,0,1000,90,99,0,-1,800,200,400
Æø°Ý¾à100-75,1002,7,1,20,11,zbs_attack_bomb,3,30,0,0,5,0,12,1000,75,100,0,-1,200,150,0
Æø°Ý¾à75-50,1002,7,1,20,11,zbs_attack_bomb,3,45,0,0,6,0,12,1000,50,74,0,-1,200,150,0
Æø°Ý°­50-25,1002,7,1,20,11,knife_attack_bomb,3,100,0,0,8,0,12,1000,25,49,0,-1,200,150,0
Æø°Ý°­25-0,1002,7,1,20,11,knife_attack_bomb,3,150,0,0,9,0,12,1000,0,24,0,-1,200,150,0
µîÀå100,1002,8,255,999999,7,scene_appear,0,0,0,0,0,0,0,1000,50,100,0,-1,0,0,0
º¯½Å50,1002,9,255,999999,10,scene_knife,0,0,0,0,0,0,0,1000,0,49,0,205,0,0,0
