스킬명(##은 코드용),id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
##Zavist 스폰,1000,132,255,9999999,0,0,0,0,0,0,0,0,0,9999,0,100,999999,-1,1500,0.03,0
Zavist 평타1,1000,133,10,10,2.033,attack1,0.166,250,60,1,5,2,0,10,0,100,1,-1,0,0,0
Zavist 평타2,1000,134,10,10,2.033,attack2,0.433,250,90,1,5,2,0,10,0,100,1,-1,0,5,0
Zavist 평타3,1000,135,10,10,2.333,attack3,0.533,300,30,1,6,2,0,10,0,100,1,-1,0,0,0
Zavist 평타4,1000,136,10,10,2.8,attack4,0.8,300,60,1,6,2,0,10,0,100,1,-1,5,5,10
Zavist 스킬1,1000,137,15,8,7,skill1_start,0,350,180,1,7,1,0,9999,0,100,1000,-1,15,5,15
Zavist 스킬2,1000,138,15,5,4.733,skill2,0,320,60,1,8,2,0,9999,0,100,1,-1,15,5,15
Zavist 스킬3,1000,139,50,25,0,skill3_start,0,600,180,1,9,1,0,9999,0,100,1000,942,15,5,0
##Neid 스폰,1100,140,255,9999999,0,0,0,0,0,0,0,0,0,9999,0,100,999999,-1,1500,0.03,0
Neid 평타1,1100,141,10,10,2.466,attack1,0.333,250,60,1,5,2,0,10,0,100,1,-1,0,0,0
Neid 평타2,1100,142,10,10,2.4,attack2,0.3,250,45,1,5,2,0,10,0,100,1,-1,0,5,0
Neid 평타3,1100,143,10,10,3.033,attack3,0.666,300,100,1,6,2,0,10,0,100,1,-1,5,5,10
Neid 평타4,1100,144,10,10,2.833,attack4,0.666,300,180,1,6,2,0,10,0,100,1,-1,5,5,0
Neid 스킬1,1100,145,15,5,0,skill1_start,0,380,90,5,7,2,0,9999,0,100,1000,-1,15,5,15
Neid 스킬2,1100,146,15,5,0,skill2_start,0,320,180,1,7,1,0,9999,0,100,1000,-1,15,5,15
Neid 스킬3,1100,147,50,20,0,skill3_start,0,250,100,1,7,1,0,9999,0,100,1000,943,15,5,15
##Zavist 스킬4요청,1000,150,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Zavist 스킬4준비,1000,151,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,934,0,0,0
##Zavist 스킬4시작,1000,152,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,935,0,0,0
##Zavist 스킬4싸움,1000,153,0,0,0,skill4,0,250,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Zavist 스킬4쫒기,1000,154,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Zavist 스킬4후반싸움,1000,155,0,0,0,skill4,0,100,0,0,0,0,0,9999,0,100,0,937,0,0,0
##Zavist 스킬4종료,1000,156,0,0,0,skill4,0,600,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Neid 스킬4준비,1100,157,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Neid 스킬4시작,1100,158,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Neid 스킬4싸움,1100,159,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Neid 스킬4쫒기,1100,160,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Neid 스킬4후반싸움,1100,161,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
##Neid 스킬4종료,1100,162,0,0,0,skill4,0,0,0,0,0,0,0,9999,0,100,0,-1,0,0,0
설인 휘두르기1-1,1003,97,10,5,4,zbs_attack1,0.93,70,25,5,8,2,0,10,0,100,5,-1,0,500,500
설인 휘두르기1-2,1003,98,0,0,4,zbs_attack1,0.93,80,90,5,8,0,0,10,0,100,1000,-1,0,500,500
설인 휘두르기2-1,1003,99,10,5,4,zbs_attack2,0.93,70,25,5,8,2,0,10,0,100,5,-1,0,500,500
설인 휘두르기2-2,1003,100,0,0,4,zbs_attack2,0.93,80,25,5,8,0,0,10,0,100,1000,-1,0,500,500
설인 휠윈드대쉬,1003,101,10,10,3,zbs_rush_start,1.4,50,90,5,0,1,0,1000,0,100,1000,-1,100,150,300
설인 휠윈드,1003,102,0,0,3,zbs_skill_whirlwind_start,0.93,50,0,5,0,0,0,1000,0,100,1000,-1,0,300,300
