x,y,z,pitch,yaw,roll,type,useCount,difficulty,model
-2915.000000,-2932.000000,256.000000,0.000000,45.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-2961.000000,-2897.000000,268.000000,0.000000,135.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-3008.000000,-2848.000000,256.000000,0.000000,-45.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-2881.000000,-2976.000000,256.000000,0.000000,-45.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-1456.000000,-703.000000,64.000000,0.000000,-45.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
-1480.000000,104.000000,64.000000,0.000000,45.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-721.000000,-1344.000000,76.000000,0.000000,-165.000000,0.000000,2,-1,3,models/bg_armorbox_group.mdl
-1616.000000,-832.000000,64.000000,0.000000,-90.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
-641.000000,-816.000000,64.000000,0.000000,-75.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
-493.000000,-897.000000,64.000000,0.000000,-30.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
928.000000,-1365.000000,224.000000,0.000000,0.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
609.000000,-1365.000000,224.000000,0.000000,0.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
929.000000,-1840.000000,224.000000,0.000000,90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
608.000000,-1834.000000,236.000000,0.000000,180.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
2402.000000,-1520.000000,376.000000,0.000000,-135.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
2397.000000,-1684.000000,376.000000,0.000000,45.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
2566.000000,-1512.000000,388.000000,0.000000,-45.000000,0.000000,2,-1,3,models/bg_armorbox_group.mdl
2558.000000,-1679.000000,376.000000,0.000000,-135.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
820.000000,-3103.000000,64.000000,0.000000,90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
820.000000,-2784.000000,64.000000,0.000000,90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
1551.000000,-2783.000000,64.000000,0.000000,180.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
1545.000000,-3104.000000,76.000000,0.000000,-90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
915.000000,2197.000000,-1248.000000,0.000000,0.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
900.000000,2269.000000,-1248.000000,0.000000,0.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
903.000000,2340.000000,-1236.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
914.000000,2411.000000,-1248.000000,0.000000,0.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
1677.000000,2411.000000,-1248.000000,0.000000,180.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
1692.000000,2340.000000,-1248.000000,0.000000,180.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
1678.000000,2197.000000,-1248.000000,0.000000,180.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
1689.000000,2267.000000,-1236.000000,0.000000,-90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-2020.000000,2021.000000,-192.000000,0.000000,-90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-1968.000000,2272.000000,-192.000000,0.000000,0.000000,0.000000,1,1,3,models/bg_medibox_group.mdl
-537.000000,2609.000000,-192.000000,0.000000,-90.000000,0.000000,3,-1,3,models/bg_ammobox_group.mdl
-2018.000000,2563.000000,-180.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-542.000000,2003.000000,-180.000000,0.000000,-90.000000,0.000000,2,-1,3,models/bg_armorbox_group.mdl
-1809.000000,-3472.000000,64.000000,0.000000,135.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-1514.000000,-3179.000000,64.000000,0.000000,45.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-1519.000000,-3472.000000,76.000000,0.000000,-135.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-1810.000000,-3182.000000,64.000000,0.000000,45.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
