id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
1,zombi_origin,10,60,2,160,80,240,300,0,1,255 255 255,0,101,0,0,1,210
2,speed_zombi_host,5,60,1,30,30,260,300,0,0,255 255 255,0,110,0,0,1,210
3,pc_zombi_host,4,60,1.5,200,100,250,300,0,0,255 255 255,0,130,0,0,1,210
4,heal_zombi_origin,5,60,3,150,100,230,300,0,5,255 255 255,0,141,0,0,1,210
5,zombi_origin,20,60,1.8,280,140,240,500,0,1,255 255 255,0,101,0,0,1,350
6,speed_zombi_host,10,60,0.8,180,90,260,500,0,0,255 255 255,0,110,0,0,1,350
7,pc_zombi_host,7,60,1.2,160,80,250,500,0,0,255 255 255,0,130,0,0,1,350
8,heal_zombi_origin,10,60,2,260,130,230,500,0,5,255 255 255,0,141,0,0,1,350
9,heavy_zombi_origin,80,60,4,700,250,210,800,0,3,255 255 255,0,121,0,0,1,560
10,pc_zombi_origin,30,60,5,550,175,220,800,0,4,255 255 255,0,131,0,0,1,560
11,zombi_origin,50,60,4,450,125,210,800,0,1,255 255 255,0,101,0,0,1,560
12,speed_zombi_origin,60,50,2,450,125,210,800,0,1,50 50 50,0,111,0,0,1,560
13,heal_zombi_origin,20,60,5,800,200,200,800,0,5,255 255 255,0,141,0,0,1,560
14,zombi_origin,25,60,2,120,140,280,1000,0,1,255 255 255,0,101,0,0,1,700
15,speed_zombi_origin,20,50,4,100,40,190,1000,0,2,255 255 255,0,111,0,0,1,700
16,heavy_zombi_origin,10,45,3,500,160,110,1000,0,3,255 255 255,0,121,0,0,1,700
17,pc_zombi_origin,0,50,10,50000,5000,80,10000,1,4,80 80 80,0,131,0,0,2,7000
18,heal_zombi_origin,15,60,3,30,5,100,500,0,5,255 255 255,0,141,0,0,1,350
19,pc_zombi_host,20,1500,8,40,5,120,600,0,6,80 228 91,0,132,0,0,1,420
20,zombi_origin,33,70,1.8,300,150,280,800,0,1,255 255 255,0,101,0,0,1,560
21,speed_zombi_origin,28,70,0.8,200,100,300,800,0,2,255 255 255,0,111,0,0,1,560
22,pc_zombi_host,10,1000,6,80,10,120,600,0,6,80 228 91,0,132,0,0,1,420
23,heal_zombi_origin,15,70,2,500,280,270,800,0,5,255 255 255,0,141,0,0,1,560
30,pc_zombi_host,10,60,3,50,5,160,150,0,0,255 255 255,0,130,0,0,1,105
99,zbs_bossS_jun00,80,90,0.7,100000,10000,140,5000,1,3,255 255 255,0,150,0,0,2,3500
200,zbs_bossL_big00,1,300,2,1800000,1200000,380,32000,2,1000,255 255 255,0,170,2,100,3,22400
