temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
디오네 등장,1000,10,255,999999,12,appear1,0.2,0,0,0,0,0,0,1000,99,100,0,-1,0,0,0
디오네 도망,1000,11,255,5,60,zbs_walk,0,300,0,5,10,0,0,1000,0,1,0,264,950,400,0
물어뜯기(Bite),1000,12,4,5,3.36,zbs_attack_bite,0.5,100,35,5,8,4,0,15,50,100,5,-1,500,250,0
물어뜯기 광폭화,1000,12,2,5,3.36,zbs_attack_bite,0.5,200,35,5,8,4,0,15,0,50,5,-1,500,250,0
후려치기(Whirldwind),1000,13,4,12,3.53,zbs_attack_swing,0.75,150,0,5,10,3,0,15,50,100,5,-1,800,350,0
후려치기(Whirldwind) 광폭화,1000,13,3,12,3.53,zbs_attack_swing,0.75,300,0,5,10,3,0,15,0,50,5,-1,950,400,0
가시촉수(Sunken spine) 최초,1000,14,255,999999,7.4,zbs_attack_tentacle1,2.3,250,45,5,7,1,5,1000,95,100,15,267,300,200,0
가시촉수 패턴 1,1000,14,3,20,7.4,zbs_attack_tentacle1,2.3,250,45,5,7,1,5,1000,50,95,15,261,300,200,0
가시촉수 패턴 2,1000,15,3,20,7.4,zbs_attack_tentacle1,2.3,250,45,5,7,1,5,1000,0,50,15,261,300,200,0
가시촉수 패턴 3 광폭화 메시지,1000,16,255,999999,10.8,zbs_attack_tentacle2,2.3,250,45,5,7,1,5,1000,0,50,15,269,300,200,0
가시촉수 패턴 3 - RushPower가 트리거 번호!!,1000,16,3,25,10.8,zbs_attack_tentacle2,2.3,250,45,5,7,1,5,1000,0,50,15,262,300,200,30
독액(Posion ball) 최초,1000,17,255,999999,4.4,zbs_attack_poison1,4.1,100,0,5,7,0,5,1000,95,100,0,268,300,200,30
독액 패턴 1 - RushPower가 도트데미지(9번),1000,17,5,30,4.4,zbs_attack_poison1,4.1,100,0,5,7,0,5,1000,50,95,0,260,300,200,30
독액 패턴 2,1000,18,5,25,8.4,zbs_attack_poison2,4.1,120,0,5,7,0,5,1000,0,50,0,263,300,200,50
롤링어택(Rolling attack),1000,19,4,15,2.5,zbs_attack_rolling1,0.75,250,0,5,0,0,0,1000,50,100,0,-1,700,300,900
롤링어택 광폭화,1000,19,4,12,2.5,zbs_attack_rolling1,0.75,350,0,5,0,0,0,1000,0,50,0,-1,700,300,900
