id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1,zombi_host,10,60,3,50,40,240,300,0,0,255 255 255,0,101,0,0,1
2,zombi_origin,15,60,3,60,45,240,350,0,1,255 255 255,0,101,0,0,1
3,zombi_host,20,70,2,90,70,245,500,0,0,255 255 255,0,101,0,0,1
4,zombi_origin,25,70,2,100,80,245,600,0,1,255 255 255,0,101,0,0,1
5,zombi_host,30,75,2,250,200,250,1000,0,0,255 255 255,0,101,0,0,1
6,zombi_origin,35,75,2,300,250,250,1250,0,1,255 255 255,0,101,0,0,1
7,speed_zombi_host,5,60,2,30,15,260,300,0,0,255 255 255,0,110,0,0,1
8,speed_zombi_origin,10,70,2,40,25,280,350,0,2,255 255 255,0,111,0,0,1
9,speed_zombi_host,15,80,2,70,50,260,500,0,0,255 255 255,0,110,0,0,1
10,speed_zombi_origin,20,80,2,80,60,280,550,0,2,255 255 255,0,111,0,0,1
11,speed_zombi_host,25,85,2,125,100,280,750,0,0,255 255 255,0,110,0,0,1
12,speed_zombi_origin,30,85,2,200,125,280,1000,0,2,255 255 255,0,111,0,0,1
13,heavy_zombi_host,20,40,4,300,100,220,1000,0,0,255 255 255,0,121,0,0,1
14,heavy_zombi_origin,30,50,4,400,120,230,1250,0,3,255 255 255,0,121,0,0,1
15,heavy_zombi_host,40,50,4,600,150,240,1500,0,0,255 255 255,0,121,0,0,1
16,heavy_zombi_origin,50,60,4,800,300,250,1750,0,3,255 255 255,0,121,0,0,1
17,heavy_zombi_host,60,60,3,900,800,260,2250,0,0,255 255 255,0,121,0,0,1
18,heavy_zombi_origin,70,70,3,1000,900,260,2500,0,3,255 255 255,0,121,0,0,1
19,pc_zombi_host,8,60,3,75,55,250,400,0,0,255 255 255,0,130,0,0,1
20,pc_zombi_origin,12,65,3,85,65,250,450,0,0,255 255 255,0,130,0,0,1
21,pc_zombi_host,20,70,3,110,90,250,600,0,0,255 255 255,0,130,0,0,1
22,pc_zombi_origin,30,75,3,125,100,260,650,0,4,255 255 255,0,130,0,0,1
23,pc_zombi_host,35,75,2,200,175,270,1000,0,0,255 255 255,0,130,0,0,1
24,pc_zombi_origin,40,80,2,250,200,270,1500,0,4,255 255 255,0,130,0,0,1
25,heal_zombi_origin,10,60,3,100,130,230,600,0,0,255 255 255,0,141,0,0,1
26,heal_zombi_host,15,70,3,120,240,250,650,0,0,255 255 255,0,141,0,0,1
27,heal_zombi_origin,30,80,3,175,200,240,900,0,0,255 255 255,0,141,0,0,1
28,heal_zombi_host,40,80,3,200,300,260,1000,0,5,255 255 255,0,141,0,0,1
29,heal_zombi_origin,45,90,3,400,300,270,1500,0,0,255 255 255,0,141,0,0,1
30,heal_zombi_host,50,90,3,500,400,270,2000,0,5,255 255 255,0,141,0,0,1
31,zombi_origin,10,80,2,50,50,240,1000,0,1,255 255 255,0,101,0,0,1
32,speed_zombi_origin,15,90,1,80,80,280,1100,0,2,255 255 255,0,111,0,0,1
33,heavy_zombi_origin,10,70,3,150,100,260,1200,0,0,255 255 255,0,121,0,0,1
34,pc_zombi_origin,10,75,2,120,100,270,1500,0,0,255 255 255,0,130,0,0,1
35,heal_zombi_host,10,70,3,120,100,270,1500,0,0,255 255 255,0,141,0,0,1
100,deimos_zombi_host,150,70,3,20000,20000,250,15000,1,8,255 255 255,0,181,0,0,1
101,deimos_zombi_origin,200,80,3,30000,20000,270,17500,1,8,255 255 255,0,181,0,0,1
102,zbs_bossS_jun01,150,80,3,30000,20000,270,20000,1,9,255 255 255,0,182,0,0,2
30300,zbs_bossL_big03,1,300,2,1250000,1000000,220,32000,2,1000,255 255 255,0,170,2,100,3
