appearance,TypeID,AirbotType,UsingPathID,color,health,armor,speed,TargetPosRandomize,GainMoney,Param0/YAW,Param1/PITCH,Param2/ROLL,Param3/Aspeed,Pri_AttackDamage,Pri_AttackRange,Pri_AttackCycleTime,Pri_AttackContinuousTime,Pri_AttackCoolTime,Pri_AttackSpread,Sec_AttackDamage,Sec_AttackRange,Sec_AttackCycleTime,Sec_AttackContinuousTime,Sec_AttackCoolTime,Sec_AttackSpread,CrashAttackRange,ExplosiveDamageRange,ExplosiveDamage,SelfExplosiveDetectRange,SelfExplosiveDamage,SubMonTypeID
dron,10000,0,5 7,255 255 255,40,0,2200,1,250,2000,0,0,0,30,2000,0.4,3,4,0.14,0,5000,1000,0,0,0,600,200,100,100,80,10900
dron,10001,0,11 14,255 255 255,40,0,2200,1,250,2000,0,0,0,30,2000,0.4,3,4,0.14,0,5000,15,0,0,0,600,250,150,100,100,10900
dron,10002,0,5 7,255 255 255,40,0,2400,1,250,2200,0,0,0,30,3000,0.4,3,4,0.14,0,5000,15,0,0,0,600,200,100,100,80,10900
dron,10003,0,11 14,255 255 255,40,0,2400,1,250,2200,0,0,0,30,3000,0.4,3,4,0.14,0,5000,15,0,0,0,600,250,150,100,100,10900
dron,10004,0,5 7 12,255 255 255,40,0,2500,1,250,2300,0,0,0,50,2000,0.25,3,4,0.1,0,5000,12,0,0,0,600,250,200,100,150,10901
dron,10005,0,11 14 15,255 255 255,40,0,2500,1,250,2300,0,0,0,50,2000,0.25,3,4,0.1,0,5000,12,0,0,0,600,300,250,100,280,10901
dron,10006,0,5 7 12,255 255 255,40,0,2700,1,250,2500,0,0,0,50,2000,0.25,3,4,0.1,0,5000,12,0,0,0,600,250,200,100,150,10901
dron,10007,0,11 14 15,255 255 255,60,0,2700,1,250,2500,0,0,0,50,2000,0.25,3,4,0.1,0,5000,12,0,0,0,600,300,250,100,280,10901
dron,10008,0,5 7 12 13,255 255 255,60,0,2800,1,250,2600,0,0,0,70,2000,0.1,3,4,0.06,0,5000,8,0,0,0,600,300,300,100,300,10902
dron,10009,0,11 14 15 16,255 255 255,60,0,2800,1,250,2600,0,0,0,70,2000,0.1,3,4,0.06,0,5000,8,0,0,0,600,350,350,100,300,10902
dron,10010,0,5 7 12 13,255 255 255,60,0,3000,1,250,2800,0,0,0,70,3000,0.1,3,4,0.06,0,5000,8,0,0,0,600,300,300,100,300,10902
dron,10011,0,11 14 15 16,255 255 255,60,0,3300,1,250,2800,0,0,0,70,3000,0.1,3,4,0.06,0,5000,8,0,0,0,600,350,350,100,300,10902
dron,10020,0,1,255 255 255,60,0,2800,1,250,2600,0,0,0,20,1800,0.4,2,5,0.1,0,6000,5,0,0,0,0,0,0,0,0,10900
dron,10021,0,1,255 255 255,60,0,2800,1,250,2600,0,0,0,40,1800,0.2,2,5,0.3,0,6000,5,0,0,0,0,0,0,0,0,10900
ospay,10800,2,20 21 22 23,255 255 255,200000,200000,3000,0,1,9,0.05,-1,-1,150,4000,0.15,3,4,0.12,0,3000,0.3,3,5,0,0,0,0,0,0,10020 10021
missle,10900,1,,255 255 255,10,10,2670,0,500,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,400,200,100,100,
missle,10901,1,,255 255 255,10,10,2800,0,500,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,400,450,100,200,
missle,10902,1,,255 255 255,10,10,3000,0,500,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,400,500,100,300,
ospay,10801,2,17 18 19,255 255 255,500,500,3500,1,0,2800,0,0,0,0,0,0,0,0,0,0,8000,0.6,3,2,0,0,0,0,0,0,10004 10005 10006 10007
