waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage,MovePath
1,9999,0,0,0,9999,1,43,
1,9999,0.5,0,0,9999,1,151,
1,9999,3,0,0,9999,1,152,
1,9999,6,0,0,9999,1,153,
1,9999,9,0,0,9999,1,154,
1,9999,12,0,0,9999,1,155,
1,9999,15,0,0,9999,1,156,
1,9999,18,0,0,9999,1,157,
1,9999,21,0,0,9999,1,158,
1,9999,120,0,0,9999,1,159,
1,9999,123,0,0,9999,1,160,
1,9999,126,0,0,9999,1,161,
1,9999,129,0,0,9999,1,162,
1,9999,132,0,0,9999,1,163,
1,9999,135,0,0,9999,1,164,
1,9999,138,0,0,9999,1,165,
1,9999,141,0,0,9999,1,166,
1,1,140,140,0,10801,1,,1
1,9,20,170,5,10000 10002,1 1,,1
1,10,20,170,5,10000 10002,1 1,,1
1,11,20,170,5,10000 10002,1 1,,1
1,13,20,170,5,10001 10003,1 1,,1
1,14,20,170,5,10001 10003,1 1,,1
1,15,20,170,5,10001 10003,1 1,,1
1,9,180,350,4,10004 10006,1 1,,1
1,10,180,350,4,10004 10006,1 1,,1
1,11,180,350,4,10004 10006,1 1,,1
1,13,180,350,4,10005 10007,1 1,,1
1,14,180,350,4,10005 10007,1 1,,1
1,15,180,350,4,10005 10007,1 1,,1
1,9,360,0,2,10008 10010,1 1,,1
1,10,360,0,2,10008 10010,1 1,,1
1,11,360,0,2,10008 10010,1 1,,1
1,12,360,0,2,10008 10010,1 1,,1
1,13,360,0,2,10009 10011,1 1,,1
1,14,360,0,2,10009 10011,1 1,,1
1,15,360,0,2,10009 10011,1 1,,1
1,16,360,0,2,10009 10011,1 1,,1
2,9999,0,0,0,9999,1,43,
2,9999,0.2,0,0,9999,1,167,
2,9999,3,0,0,9999,1,168,
2,9999,6,0,0,9999,1,169,
2,9999,9,0,0,9999,1,170,
2,9999,12,0,0,9999,1,171,
2,152,12,12,0,6,1,,3
2,151,12,160,3,1,1,,2
2,150,12,120,3,1,1,,2
2,152,20,120,7,2,1,,3
2,153,12,120,1,1 4,2 1,,3
3,9999,0,0,0,9999,1,43,
3,9999,0.2,0,0,9999,1,172,
3,9999,3,0,0,9999,1,173,
3,154,0,120,10,2,1,,3
3,155,0,120,10,2,1,,4
3,100,20,120,10,2,1,,4
3,101,0,150,1,1 15,5 1,,4
3,102,0,120,1,1,1,,4
3,103,0,120,1,1,1,,5
3,104,0,120,1,3,1,,4
3,105,0,120,1,4,1,,5
3,106,0,120,1,2,1,,4
3,107,0,120,1,1,1,,3
3,108,20,150,10,1 15,5 1,,4
3,109,0,120,1,1,1,,5
3,110,0,120,1,3,1,,4
3,111,0,120,1,4,1,,5
4,9999,0,0,0,9999,1,43,
4,9999,0.2,0,0,9999,1,174,
4,9999,3,0,0,9999,1,175,
4,112,3,0,10,10,1,,8
4,113,3,0,10,10,1,,8
4,114,0,0,1,9 11,1 1 ,,8
4,115,0,0,1,9,1,,8
4,116,0,0,1,9 11 ,1 1,,8
4,117,0,0,1,12,1,,8
4,118,10,0,20,10,1,,9
4,119,10,0,20,10,1,,9
4,120,0,0,1,9,1,,9
4,121,0,0,1,9,1,,9
4,122,0,0,1,9,1,,9
4,123,0,0,1,12,1,,9
4,158,15,0,1,11,1,,11
4,159,15,0,1,11,1,,10
5,9999,0,0,0,9999,1,43,
5,9999,0.2,0,0,9999,1,176,
5,9999,3,0,0,9999,1,177,
5,9999,6,0,0,9999,1,178,
5,200,5,0,0,10800,1,,1
5,112,30,120,60,2,1,,8
5,113,10,0,30,5,1,,8
5,115,10,0,30,5,1,,8
5,116,15,0,30,8,1,,8
5,117,15,0,30,8,1,,8
5,118,30,120,60,1,1,,9
5,119,10,0,30,5,1,,9
5,121,10,0,30,5,1,,9
5,122,15,0,30,8,1,,9
5,123,15,0,30,8,1,,9
5,156,60,0,30,7,1,,6
5,157,60,0,30,7,1,,7
5,158,60,0,30,7,1,,11
5,159,60,0,30,7,1,,10
