id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,specialty,searchInterval,attackSpread,bombDamage,bombCoolTime,flinchAvoidRatio
1,bot_light,150,2000,1.5,40,0,270,200,0,0,255 255 255,0,1,1,0,10,L,0.05,3,300,25,25
2,bot_heavy,200,2000,1,1400,500,200,1000,1,0,255 255 255,0,2,1,0,10,H,0.05,3,0,30,5
3,bot_sniper,250,4000,5,40,0,230,300,0,0,255 255 255,0,3,2,0,10,S,0.05,0.75,0,0,10
4,bot_rocket,300,4000,8,40,0,230,400,0,0,255 255 255,0,4,2,0,10,R,0.05,4,0,0,10
5,bot_light,180,2000,1.4,40,0,270,220,0,0,255 255 255,0,1,1,0,10,L,0.05,3,360,25,25
6,bot_heavy_boss,220,2000,1,10000,1000,200,5000,1,0,255 255 255,0,2,1,0,11,H,0.05,3,0,30,5
7,bot_sniper,250,4000,4.8,40,0,230,300,0,0,255 255 255,0,3,2,0,10,S,0.05,0.75,0,0,10
8,bot_rocket,300,4000,7.8,40,0,230,400,0,0,255 255 255,0,4,2,0,10,R,0.05,4,0,0,10
9,bot_light,180,2000,1.4,40,0,270,220,0,0,255 255 255,0,1,1,0,10,L,0.05,3,360,25,25
10,bot_heavy,200,4000,1,1400,500,200,1000,1,0,255 255 255,0,2,1,0,10,H,0.05,3,0,30,5
11,bot_sniper,250,4000,4.8,40,0,230,300,0,0,255 255 255,0,3,2,0,10,S,0.05,0.75,0,0,10
12,bot_rocket,300,4000,7.8,40,0,230,400,0,0,255 255 255,0,4,2,0,10,R,0.05,4,0,0,10
13,bot_light,180,2000,1.4,40,0,270,220,0,0,255 255 255,0,1,1,0.2,10,L,0.05,3,360,25,25
14,bot_heavy,200,4000,1,1400,500,200,1000,1,0,255 255 255,0,2,1,1,10,H,0.05,3,0,30,5
15,bot_sniper,250,4000,4.8,40,0,230,300,0,0,255 255 255,0,3,2,0.2,10,S,0.05,0.75,0,0,10
16,bot_rocket,300,4000,7.8,40,0,230,400,0,0,255 255 255,0,4,2,0.2,10,R,0.05,4,0,0,10
100,bot_heavy,200,4000,1,1400,500,200,1000,1,0,255 255 255,0,2,0,0,10,H,0.05,3,0,30,5
30000,comanche,0,0,0,600000,500000,0,0,2,0,255 255 255,1,5,0,100,12,,0.05,1,0,0,0
