classID,체력Max(H),공격력Max(D),이동속도Max(S),아머Max(A),장탄Max(M),업그레이드순서
40,20,20,20,20,20,hdsam
41,20,20,20,20,20,hdsam
42,20,20,20,20,20,hdsam
43,20,20,20,20,20,hdsam
44,20,20,20,20,20,hdsam
45,18,23,20,19,20,hdahdamms
46,23,18,21,19,19,hhddsam
47,15,16,23,23,23,samsamhd
48,20,17,23,17,23,hhdssmma
49,20,20,20,20,20,hdsam
50,20,20,20,20,20,hdsam
51,20,20,20,20,20,hdsam
52,20,20,20,20,20,hdsam
53,23,19,17,23,18,ddhhsaam
54,21,23,16,22,18,ddhhssaamm
55,19,18,17,23,23,amamhhdds
56,16,18,22,22,22,hdhdsam
57,18,16,21,24,21,aahhsmd
150,25,20,19,16,20,ddddhhhhaasm
151,20,24,19,21,16,ddddddddddsssahm
152,21,15,23,25,16,hhhhhdddsam
153,21,25,21,16,17,ssdddhmah
154,15,22,25,16,22,ssssddham
155,16,25,22,19,18,dddaashm
253,17,23,20,18,22,ddsmahs
254,24,18,17,20,21,mmhdaahdsshd
316,19,24,18,21,18,hdhshahm
317,20,17,23,17,23,hhdssmma
318,21,16,23,25,15,hhhhhdddsam
319,16,25,22,19,18,dddaashm
328,20,24,19,21,16,hhhhhhhhhhhhhhhhhhhhdddamms
329,25,16,18,22,19,hhhhhhhhhhaaaaadsm
360,21,18,18,25,18,aaaaahhdsm
361,21,18,18,25,18,aaaaahhdsm
362,17,18,25,23,17,dddhssssaam
376,17,23,18,22,20,sshdhdmma
377,16,22,21,16,25,mmmddddhas
392,24,21,18,18,19,hhhdams
393,19,25,21,20,15,dddddddddddddddddddddddddsssshhaam
418,23,21,17,20,19,masdh
419,23,22,17,17,21,hdsam
425,20,24,19,21,16,ddddddddddsssahm
426,21,25,21,16,17,ssdddhmah
432,25,19,22,17,17,aadhhsm
433,17,24,20,18,21,mmasddh
510,16,25,22,19,18,dddaashm
511,21,18,18,25,18,aaaaahhdsm
592,24,16,16,22,22,ddddddddddddddddhahahasm
593,24,21,21,17,17,hhhhhhhhhhhhhhhhhhhhhhhhdddssam
668,19,19,23,23,16,ssmmddhhhaa
669,16,25,17,19,23,ddmmasshh
678,25,19,19,22,20,dddhhhhhhhhhhaadsm
692,20,26,19,20,20,dddddssshhhhaam
709,20,19,18,22,21,hddsshhdaama
710,19,21,21,19,20,ddhsshhdaamm
729,20,22,25,18,20,samhd
735,20,25,18,23,19,dddssham
759,17,21,19,20,23,hhdssmad
760,19,25,16,21,19,hhdddaasm
777,19,20,22,22,17,dhasmssss
778,19,23,19,19,20,ddddmmmmsssha
799,24,21,16,19,20,hhhddams
800,21,24,19,17,19,dddhhams
801,24,21,16,19,20,hhhddams
802,21,24,19,17,19,dddhhams
817,23,20,18,20,19,hhdmas
818,20,22,18,21,19,ddhmas
925,25,20,15,24,16,hhaadsam
932,20,22,23,16,19,sshhadm
933,23,22,20,16,19,hhdsam
943,23,26,22,21,18,ddhhddhhdsmas
944,26,23,21,22,18,hhhhddddhsssmas
1055,23,17,25,27,18,hhhhhdddsam
1056,18,27,24,21,20,dddaashm
8084,27,23,25,21,14,hhhhddsssam
8085,18,23,27,17,25,hddssssammm
8107,20,24,24,18,24,ddmmasshh
8128,25,21,17,25,17,hhhaaaddsm
8129,21,25,25,17,17,dddssshham
8134,25,23,20,25,17,hhhaaaddsm
8135,23,25,25,20,17,dddssshham
8167,25,24,21,21,19,hhdsam
8179,23,22,17,17,21,hdsam
8180,18,23,20,18,21,mmasddh
8195,23,25,25,18,19,ddhmas
8196,25,22,20,25,18,hhdsam
8209,24,18,17,20,21,mmhdaahdsshd
8210,17,23,20,18,22,ddsmahs
8223,21,25,27,18,19,dsshmmaa
8224,24,22,20,27,17,daahhms
8239,20,17,17,24,22,aahmsd
8240,17,22,20,18,23,smdmhas
8251,24,21,22,18,25,hhsmad
8252,22,23,24,20,21,smdmhas
8269,20,19,18,22,21,hddsshhdaama
8270,15,22,25,16,22,sssddham
8287,21,24,25,18,22,sssddham
8288,24,19,19,23,25,hddsshhdaama
8335,19,27,25,20,19,hhsmad
8336,20,25,26,19,20,smdmhas
8352,21,24,25,18,22,sssddham
8353,24,19,19,23,25,ddsmahs
8418,21,25,22,20,22,dddsmahs
8419,20,21,26,18,25,sssddham
8439,25,22,24,21,18,hhdsmadh
8440,21,24,20,24,21,dhasmadh
8488,25,23,23,21,18,hsddsmad
8489,21,23,26,20,20,dssddham
8526,23,25,24,20,18,hhdsam
8527,23,23,23,21,20,sshdsam
8559,22,25,27,19,17,dssmhmaa
8560,21,22,25,22,20,hhsdsama
8572,21,24,21,20,24,hdsam
8573,24,22,21,25,18,hhmmasd
8629,23,24,27,19,17,sshdasm
8630,22,23,26,19,20,dshssama
8659,26,25,23,20,16,mdhasdasdh
8660,24,26,25,19,16,mhsdadsdha
