temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
Spawn,1000,46,255,999999,10,appear1,0.2,0,0,0,0,0,0,1000,99,100,0,-1,0,0,0
Bite,1000,48,4,5,2.63,zbs_attack_bite,0.5,250,60,5,10,3,0,15,90,100,10,-1,300,100,0
Quake,1000,47,5,15,4.5,zbs_attack_quake,1.1,200,0,5,25,3,0,1000,90,100,10,-1,0,0,0
Tentacle 1,1000,50,5,9,7.3,zbs_attack_tentacle1,1.3,250,0,5,7,1,5,1000,90,100,15,-1,300,200,0
Breath 1,1000,53,6,15,5.2,zbs_attack_poison1,2.1,200,25,5,7,0,5,1000,90,95,15,-1,300,200,30
Flying,1000,55,255,1,10,zbs_fly1,1.5,0,0,0,0,0,0,1000,85,90,0,-1,0,0,0
Flying Breath 1,1000,56,5,4,10,zbs_fly_change1,0,250,30,5,8,0,0,1000,85,90,0,-1,500,250,0
Skyfall,1000,58,5,15,10,zbs_fly2,0,200,0,5,15,0,0,1000,85,90,0,-1,300,200,35
Roar,1000,59,255,999999,10,zbs_fly2,0,250,0,5,0,3,0,1000,75,85,0,-1,430,200,35
Bite,1000,48,4,5,2.63,zbs_attack_bite,0.5,300,60,5,10,3,0,15,75,85,10,-1,300,100,0
Quake,1000,47,5,15,4.5,zbs_attack_quake,1.1,300,0,5,25,3,0,1000,75,85,10,-1,0,0,0
Swing,1000,49,6,12,2.3,zbs_attack_swing,0.8,250,180,5,14,3,0,25,75,85,10,-1,1600,350,0
Tentacle 1,1000,50,5,9,7.3,zbs_attack_tentacle1,1.3,300,0,5,7,1,5,1000,75,85,15,-1,300,200,0
Breath 1,1000,53,6,15,5.2,zbs_attack_poison1,2.1,250,25,5,7,0,5,1000,75,85,15,-1,300,200,30
Flying,1000,55,255,1,10,zbs_fly1,1.5,0,0,0,0,0,0,1000,70,75,0,-1,0,0,0
Flying Breath 1,1000,56,5,4,10,zbs_fly_change1,0,300,30,5,8,0,0,1000,70,75,0,-1,500,250,0
Skyfall,1000,58,5,15,10,zbs_fly2,0,300,0,5,15,0,0,1000,70,75,0,-1,300,200,35
Roar,1000,59,255,999999,10,zbs_fly2,0,300,0,5,0,3,0,1000,54,70,0,-1,460,200,35
Bite,1000,48,4,5,2.63,zbs_attack_bite,0.5,350,60,5,10,3,0,15,54,70,10,-1,300,100,0
Quake,1000,47,5,15,4.5,zbs_attack_quake,1.1,325,0,5,25,3,0,1000,54,70,10,-1,0,0,0
Swing,1000,49,6,12,2.3,zbs_attack_swing,0.8,300,180,5,14.5,3,0,25,54,70,10,-1,1600,350,0
Tentacle 2,1000,51,5,11,7.3,zbs_attack_tentacle1,1.3,300,0,5,7,1,5,1000,54,70,15,-1,300,200,0
Breath 1,1000,53,5,15,5.2,zbs_attack_poison1,2.1,300,25,5,7,0,5,1000,54,70,15,-1,300,200,30
Breath 2,1000,54,4,17,6,zbs_attack_poison1,3.3,300,100,5,7,0,5,1000,54,65,15,-1,300,200,30
Flying,1000,55,255,1,10,zbs_fly1,1.5,0,0,0,0,0,0,1000,49,54,0,-1,0,0,0
Flying Breath 1,1000,56,5,4,10,zbs_fly_change1,0,350,30,5,8,0,0,1000,49,54,0,-1,500,250,0
Skyfall,1000,58,5,15,10,zbs_fly2,0,325,0,5,15,0,0,1000,49,54,0,-1,300,200,40
Roar,1000,59,255,999999,10,zbs_fly2,0,350,0,5,0,3,0,1000,41,49,0,-1,480,200,40
StopSpawn,1000,250,255,999999,1,zbs_idle,0,0,0,0,0,0,0,1000,41,49,0,-1,0,0,0
Swing,1000,49,10,21,2.3,zbs_attack_swing,0.8,250,180,5,15,3,0,25,41,49,10,-1,1600,350,0
Tentacle 3,1000,52,255,999999,10.1,zbs_attack_tentacle2,1.1,150,0,5,7,1,5,1000,41,49,15,415,300,150,0
Tentacle 3,1000,52,5,10,10.1,zbs_attack_tentacle2,1.1,150,0,5,7,1,5,1000,41,49,15,-1,300,150,0
RestartSpawn,1000,251,255,999999,1,zbs_idle,0,0,0,0,0,0,0,1000,0,42,0,-1,0,0,0
Flying,1000,55,255,1,10,zbs_fly1,1.5,0,0,0,0,0,0,1000,37,41,0,-1,0,0,0
Flying Breath 1,1000,56,5,4,10,zbs_fly_change1,0,350,30,5,8,0,0,1000,37,41,0,-1,500,250,0
Skyfall,1000,58,5,15,10,zbs_fly2,0,350,0,5,15,0,0,1000,37,41,0,-1,300,200,40
Roar,1000,59,255,999999,10,zbs_fly2,0,350,0,5,0,3,0,1000,23,37,0,-1,500,200,40
Bite,1000,48,4,5,2.63,zbs_attack_bite,0.5,400,60,5,10,3,0,15,23,37,10,-1,300,100,0
Quake,1000,47,5,15,4.5,zbs_attack_quake,1.1,350,0,5,25,3,0,1000,23,37,10,-1,0,0,0
Swing,1000,49,6,12,2.3,zbs_attack_swing,0.8,300,180,5,14.5,3,0,25,23,37,10,-1,1600,350,0
Tentacle 2,1000,51,5,11,7.3,zbs_attack_tentacle1,1.3,300,0,5,7,1,5,1000,23,37,15,-1,300,200,0
