waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,1,0,21600,6,1 2,1 1,
1,2,0,21600,7,1 2,1 1,
1,3,0,21600,8,21 22,1 1,
1,4,0,21600,7,61 62,1 1,
1,5,0,21600,6,1 2,1 1,
1,6,0,21600,7,1 2,1 1,
1,7,0,21600,8,21 22,1 1,
1,8,0,21600,7,61 62,1 1,
1,9,0,21600,8,1 2,1 1,
1,10,0,21600,9,1 2,1 1,
1,11,0,21600,8,61 62,1 1,
1,12,0,21600,9,21 22,1 1,
1,13,0,21600,8,1 2,1 1,
1,14,0,21600,9,1 2,1 1,
1,15,0,21600,8,11 12,1 1,
1,16,0,21600,9,1 2,1 1,
1,17,0,21600,8,61 62,1 1,
1,18,0,21600,9,41 42,1 1,
1,19,0,21600,8,1 2,1 1,
1,20,0,21600,9,31 32,1 1,
1,21,0,21600,8,1 2,1 1,
1,22,0,21600,9,41 42,1 1,
1,23,0,21600,8,61 62,1 1,
1,24,0,21600,6,1 2,1 1,
1,25,0,21600,7,1 2,1 1,
1,26,0,21600,8,21 22,1 1,
1,27,0,21600,7,61 62,1 1,
1,28,0,21600,7,61 62,1 1,
1,29,0,21600,8,1 2,1 1,
1,30,0,21600,9,1 2,1 1,
1,31,0,21600,8,61 62,1 1,
1,32,0,21600,9,21 22,1 1,
1,33,0,21600,8,1 2,1 1,
1,34,0,21600,9,1 2,1 1,
1,35,0,21600,8,11 12,1 1,
1,36,0,21600,9,1 2,1 1,
1,37,0,21600,8,1 2 ,1 1,
1,38,0,21600,9,41 42,1 1,
1,39,0,21600,8,1 2,1 1,
1,40,0,21600,9,31 32,1 1,
1,41,0,21600,8,1 2,1 1,
1,42,0,21600,9,41 42,1 1,
1,43,0,21600,8,61 62,1 1,
1,44,0,21600,6,1 2,1 1,
2,50,0,21600,4,1 2,1 1,
2,51,0,21600,5,11 12,1 1,
2,52,0,21600,5,21 22,1 1,
2,53,0,21600,4,1 2,1 1,
2,54,0,21600,5,3 4,1 1,
2,55,0,21600,5,41 42,1 1,
2,56,0,21600,5,21 22,1 1,
2,57,0,21600,4,1 2,1 1,
2,58,0,21600,5,3 4,1 1,
2,59,0,21600,5,11 12,1 1,
2,60,0,21600,5,51 52,1 1,
2,61,0,21600,3,1 2,1 1,
2,62,0,21600,4,1 2,1 1,
2,63,0,21600,4,3 4,1 1,
2,64,0,21600,5,21 22,1 1,
2,65,0,21600,5,31 32,1 1,
2,66,0,21600,5,11 12,1 1,
2,67,0,21600,3,1 2,1 1,
2,68,0,21600,4,1 2,1 1,
2,69,0,21600,4,3 4,1 1,
2,70,0,21600,5,21 22,1 1,
2,71,0,21600,5,31 32,1 1,
2,72,0,21600,5,11 12,1 1,
3,73,0,21600,3,1 2,1 1,
3,74,0,21600,4,11 12,1 1,
3,75,0,21600,5,21 22,1 1,
3,76,0,21600,3,1 2,1 1,
3,77,0,21600,4,31 32,1 1,
3,78,0,21600,5,21 22,1 1,
3,79,0,21600,5,21 22,1 1,
3,80,0,21600,3,1 2,1 1,
3,81,0,21600,4,3 4,1 1,
3,82,0,21600,5,11 12,1 1,
3,83,0,21600,5,51 52,1 1,
3,84,0,21600,5,31 32,1 1,
3,85,0,21600,3,1 2,1 1,
3,86,0,21600,5,3 4,1 1,
3,87,0,21600,5,21 22,1 1,
3,88,0,21600,5,31 32,1 1,
3,89,0,21600,5,11 12,1 1,
3,90,0,21600,4,23 24,1 1,
4,100,0,21600,3,1 2,1 1,
4,101,0,21600,3,3 4,1 1,
4,102,0,21600,4,5 6,1 1,
4,103,0,21600,3,13 14,1 1,
4,104,0,21600,4,33 34,1 1,
4,105,0,21600,4,43 44,1 1,
4,106,0,21600,6,51 52,1 1,
4,107,0,21600,7,63 64,1 1,
4,108,0,21600,3,1 2,1 1,
4,109,0,21600,3,3 4,1 1,
4,110,0,21600,4,5 6,1 1,
4,111,0,21600,3,13 14,1 1,
4,112,0,21600,4,33 34,1 1,
4,113,0,21600,4,43 44,1 1,
4,114,0,21600,6,51 52,1 1,
4,115,0,21600,7,63 64,1 1,
4,116,0,21600,5,61 62,1 1,
4,117,0,21600,4,23 24,1 1,
