2,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
스폰,1000,414,255,0,10,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
동력원 폭주,1000,415,255,90,3,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
회전 레이저,1000,416,40,25,1,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
레이저 공격,1000,417,40,10,2,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
광역 공격,1000,418,20,40,3,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
요격 폭탄,1000,419,30,8,3,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
유도 미사일,1000,420,50,12,2,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
페이즈 전환,1000,421,255,0,0,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
펄스 공격,1000,422,40,8,2,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
캐논 공격,1000,423,0,0,1,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
이동,1000,424,90,4,0,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
사망,1000,425,255,0,0,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,
