waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,1,0,21600,3,1 2,1 1,
1,2,0,21600,5,11 12,1 1,
1,3,0,21600,3,1 2,1 1,
1,4,0,21600,5,21 22,1 1,
1,5,0,21600,3,1 2 ,1 1,
1,6,0,21600,5,31 32,1 1,
1,7,0,21600,3,1 2,1 1,
1,8,0,21600,5,11 12,1 1,
1,9,0,21600,3,1 2,1 1,
1,10,0,21600,5,11 12,1 1,
1,11,0,21600,3,1 2,1 1,
1,12,0,21600,5,21 22,1 1,
1,13,0,21600,3,1 2 ,1 1,
1,14,0,21600,5,31 32,1 1,
1,15,0,21600,3,1 2,1 1,
1,16,0,21600,5,11 12,1 1,
1,17,0,21600,3,1 2,1 1,
1,18,0,21600,5,11 12,1 1,
1,19,0,21600,3,1 2,1 1,
1,20,0,21600,5,21 22,1 1,
1,21,0,21600,3,1 2 ,1 1,
1,22,0,21600,5,31 32,1 1,
1,23,0,21600,3,1 2,1 1,
1,24,0,21600,5,61 62,1 1,
1,25,0,21600,3,1 2,1 1,
1,26,0,21600,5,11 12,1 1,
1,27,0,21600,3,1 2,1 1,
1,28,0,21600,5,21 22,1 1,
1,29,0,21600,3,1 2 ,1 1,
1,30,0,21600,5,61 62,1 1,
2,41,0,21600,3,3 4,1 1,
2,42,0,21600,5,5 6,1 1,
2,43,0,21600,3,13 14,1 1,
2,44,0,21600,5,3 4,1 1,
2,45,0,21600,3,5 6,1 1,
2,46,0,21600,5,23 24,1 1,
2,47,0,21600,3,3 4,1 1,
2,48,0,21600,5,5 6,1 1,
2,49,0,21600,3,63 64,1 1,
2,50,0,21600,5,3 4,1 1,
2,51,0,21600,3,5 6,1 1,
2,52,0,21600,5,61 62,1 1,
2,53,0,21600,5,3 4,1 1,
2,54,0,21600,3,63 64,1 1,
2,55,0,21600,5,3 4,1 1,
3,60,0,21600,3,5 6,1 1,
3,61,0,21600,3,23 24,1 1,
3,62,0,21600,4,3 4,1 1,
3,63,0,21600,3,5 6,1 1,
3,64,0,21600,4,13 14,1 1,
3,65,0,21600,3,3 4,1 1,
