id,type,map trigger id,wave id,cool time,dest ratio,end wave,hostCrashReset,roundTimeBase
1,g-A1-1,200,,,51,,,
1,g-A1-2,201,,,51,,,
1,w-a1-1s,1,,0,,,,
2,g-A2-1,202,,,51,,,
2,g-A2-2,203,,,51,,,
2,w-a2-1s,2,,0,,,,
3,g-B1-1,204,,,51,,,
3,g-B1-2,205,,,51,,,
3,w-b1-1s,3,,0,,,,
4,g-B2-1,206,,,51,,,
4,g-B2-2,207,,,51,,,
4,w-b2-1s,4,,0,,,,
5,g-C1-1,208,,,51,,,
5,g-C1-2,209,,,51,,,
5,w-c1-1s,5,,0,,,,
5,w-c1-2s,6,,0,,,,
5,w-c1-3s,7,,0,,,,
5,w-c1-4s,8,,0,,,,
5,w-c1-5m,104,,0,,,,
5,w-c1-6m,105,,0,,,,
5,w-c1-7m,106,,0,,,,
5,w-c1-8m,107,,0,,,,
6,g-C2-1,210,,,51,,,
6,g-C2-2,211,,,51,,,
6,w-c2-1s,9,,0,,,,
6,w-c2-2s,10,,0,,,,
6,w-c2-3s,11,,0,,,,
6,w-c2-4s,12,,0,,,,
6,w-c2-5s,13,,0,,,,
6,w-c2-6m,108,,0,,,,
6,w-c2-7m,109,,0,,,,
6,w-c2-8m,110,,0,,,,
6,w-c2-9m,111,,0,,,,
6,w-c2-10m,112,,0,,,,
7,w-boss-1s,20,,0,,,,
