id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1,zombi_host,12,50,2,40,10,140,90,0,0,255 255 255,0,100,0,0,1
2,zombi_origin,14,50,2,60,20,145,100,0,1,255 255 255,0,101,0,0,1
3,speed_zombi_host,20,50,2,35,5,165,110,0,0,255 255 255,0,110,0,0,1
4,speed_zombi_origin,21,50,2,50,25,175,120,0,2,255 255 255,0,111,0,0,1
5,heavy_zombi_host,18,50,2,100,30,125,120,0,0,255 255 255,0,120,0,0,1
6,heavy_zombi_origin,19,50,2,115,40,135,130,0,3,255 255 255,0,121,0,0,1
7,pc_zombi_host,19,50,2,70,20,135,100,0,0,255 255 255,0,130,0,0,1
8,deimos_zombi_host,16,50,2,65,55,135,140,0,8,255 255 255,0,180,0,0,1
9,zombi_host,17,50,2,50,55,145,100,0,5,255 255 255,0,103,0,0,1
10,heal_zombi_origin,17,50,1.8,95,65,145,110,0,5,255 255 255,0,141,0,0,1
11,zombi_host,21,50,1.8,80,50,190,120,0,0,255 255 255,0,100,0,0,1
12,zombi_origin,23,50,1.8,75,60,190,130,0,1,255 255 255,0,101,0,0,1
13,speed_zombi_host,23,50,1.8,65,55,210,120,0,0,255 255 255,0,110,0,0,1
14,speed_zombi_origin,27,50,1.8,85,65,210,140,0,2,255 255 255,0,111,0,0,1
15,heavy_zombi_host,20,50,1.8,135,85,160,150,0,0,255 255 255,0,120,0,0,1
16,heavy_zombi_origin,21,50,1.8,155,95,170,160,0,3,255 255 255,0,121,0,0,1
17,pc_zombi_host,20,50,1.8,120,65,180,180,0,0,255 255 255,0,130,0,0,1
18,deimos_zombi_host,16,50,1.8,100,255,180,200,0,8,255 255 255,0,180,0,0,1
19,zombi_host,18,50,1.8,75,65,190,200,0,5,255 255 255,0,103,0,0,1
20,heal_zombi_origin,18,50,1.8,120,90,190,200,0,5,255 255 255,0,141,0,0,1
21,zombi_host,19,50,1.8,90,100,220,200,0,0,255 255 255,0,100,0,0,1
22,zombi_origin,23,50,1.8,110,110,220,200,0,1,255 255 255,0,101,0,0,1
23,speed_zombi_host,25,50,1.8,80,85,240,220,0,0,255 255 255,0,110,0,0,1
24,speed_zombi_origin,25,50,1.8,100,95,240,230,0,2,255 255 255,0,111,0,0,1
25,heavy_zombi_host,29,50,1.8,160,115,180,240,0,0,255 255 255,0,120,0,0,1
26,heavy_zombi_origin,22,50,1.8,180,125,190,250,0,3,255 255 255,0,121,0,0,1
27,pc_zombi_host,24,50,1.8,130,95,210,210,0,0,255 255 255,0,130,0,0,1
28,deimos_zombi_host,16,50,1.8,200,405,210,220,0,8,255 255 255,0,180,0,0,1
29,zombi_host,19,50,1.8,105,95,220,220,0,5,255 255 255,0,103,0,0,1
30,heal_zombi_origin,18,50,1.8,150,120,220,220,0,5,255 255 255,0,141,0,0,1
32,zombi_origin,28,50,1.5,220,110,230,260,0,1,255 255 255,0,101,0,0,1
33,speed_zombi_origin,32,50,1.5,300,100,305,260,0,1,2 2 2,0,113,0,0,1
34,speed_zombi_origin,38,50,1.5,220,205,250,260,0,2,255 255 255,0,111,0,0,1
35,heavy_zombi_origin,33,50,5,1500,405,150,260,0,0,255 255 255,0,120,0,0,1
36,heavy_zombi_origin,33,50,1.5,700,305,200,260,0,3,255 255 255,0,121,0,0,1
38,deimos_zombi_host,31,50,1.5,400,605,160,260,0,8,255 255 255,0,180,0,0,1
40,heal_zombi_origin,23,50,1.5,140,105,160,260,0,5,255 255 255,0,141,0,0,1
50,zombi_host,1,50,1,70,0,200,300,0,0,255 255 255,0,100,0,0,0
100,zombi_host,8,1500,7,200,100,100,210,0,6,80 228 91,0,102,0,0,1
101,zombi_host,8,1500,5,400,200,100,210,0,6,80 228 91,0,102,0,0,1
102,pc_zombi_origin,8,50,3,200,200,145,150,0,4,255 255 255,0,131,0,0,1
1000,deimos_zombi_origin,50,50,2,2000,1500,150,560,1,8,255 255 255,0,181,0,0,1
1001,deimos_zombi_origin,60,50,2,4000,2500,160,660,1,8,255 255 255,0,181,0,0,2
1002,deimos_zombi_origin,70,50,2,9000,5000,170,760,1,8,255 255 255,0,181,0,0,2
1003,deimos_zombi_origin,80,50,2,20000,10000,180,860,1,8,255 255 255,0,181,0,0,2
1004,deimos_zombi_origin,90,50,2,45000,20000,190,960,1,8,255 255 255,0,181,0,0,2
1100,zbs_bossL_big01,1,300,2,900000,600000,400,32000,2,1000,255 255 255,0,171,2,100,3
