waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
50,9999,0,0,0,9999,1,430
50,9999,3,0,0,9999,1,431
50,9999,6,0,0,9999,1,432
50,9999,10,0,0,9999,1,433
50,9999,13,0,0,9999,1,434
50,9999,15,0,0,9999,1,435
50,9999,19,0,0,9999,1,436
1,9999,0,0,0,9999,1,437
1,9999,3,0,0,9999,1,438
1,9999,6,0,0,9999,1,439
1,9999,9,0,0,9999,1,440
1,9999,12,0,0,9999,1,441
1,9999,16,0,0,9999,1,442
1,1,0,21600,3,1 9,1 1,
1,2,0,21600,4,2 10,1 1,
1,3,0,21600,5,17 25,1 1,
1,4,0,21600,3,18 26,1 1,
1,5,0,21600,4,25 33,1 1,
1,6,0,21600,5,1 25,1 1,
1,7,0,21600,3,9 25,1 1,
1,8,0,21600,4,2 25,1 1,
2,9999,0,0,0,9999,1,443
2,9999,3,0,0,9999,1,444
2,9999,6,0,0,9999,1,445
2,5,0,21600,3,10 25,1 1,
2,5,0,21600,4,17 25,1 1,
2,6,0,21600,3,18 25,1 1,
2,7,0,21600,4,25 26,1 1,
2,8,0,21600,3,25 33,1 1,
2,9,0,21600,4,1 9,1 1,
2,10,0,21600,3,2 10,1 1,
2,11,0,21600,4,17 25,1 1,
2,12,0,21600,3,18 26,1 1,
3,9999,0,0,0,9999,1,446
3,9999,3,0,0,9999,1,447
3,7,0,21600,3,25 33,1 1,
3,8,0,21600,3,1 25,1 1,
3,9,0,21600,5,9 25,1 1,
3,10,0,21600,3,2 25,1 1,
3,11,0,21600,4,10 25,1 1,
3,12,0,21600,3,17 25,1 1,
3,13,0,21600,4,18 25,1 1,
3,14,0,21600,5,25 26,1 1,
3,15,0,21600,3,25 33,1 1,
3,16,0,21600,3,1 9,1 1,
4,9999,0,0,0,9999,1,448
4,13,0,21600,3,2 10,1 1,
4,14,0,21600,3,17 25,1 1,
4,15,0,21600,4,18 26,1 1,
4,16,0,21600,5,25 33,1 1,
4,17,0,21600,3,1 25,1 1,
4,18,0,21600,0,500,1,
4,19,0,21600,3,2 25,1 1,
4,20,0,21600,5,46 47,1 1,
4,21,0,21600,0,500,1,
4,22,0,21600,5,46 47,1 1,
5,9999,0,0,0,9999,1,449
5,9999,3,0,0,9999,1,450
5,9,0,21600,3,25 26,1 1,
5,10,0,21600,5,25 33,1 1,
5,11,0,21600,3,1 9,1 1,
5,12,0,21600,4,2 10,1 1,
5,17,0,21600,3,17 25,1 1,
5,18,0,21600,4,18 26,1 1,
5,19,0,21600,3,25 33,1 1,
5,20,0,21600,4,46 47,1 1,
5,21,0,21600,3,9 25,1 1,
5,22,0,21600,5,46 47,1 1,
5,23,0,21600,3,10 25,1 1,
5,24,0,21600,4,17 25,1 1,
5,25,0,21600,3,18 25,1 1,
5,26,0,21600,4,25 26,1 1,
6,9999,0,0,0,9999,1,451
6,9999,3,0,0,9999,1,452
6,23,0,21600,4,25 33,1 1,
6,24,0,21600,3,1 9,1 1,
6,25,0,21600,5,2 10,1 1,
6,26,0,21600,3,17 25,1 1,
6,27,0,21600,4,18 26,1 1,
6,28,0,21600,3,25 33,1 1,
6,29,0,21600,4,1 25,1 1,
6,30,0,21600,3,9 25,1 1,
7,27,0,21600,5,3 11,1 1,
7,28,0,21600,3,4 12,1 1,
7,29,0,21600,3,19 27,1 1,
7,30,0,21600,3,20 28,1 1,
7,31,0,21600,5,27 35,1 1,
7,32,0,21600,3,3 25,1 1,
7,33,0,21600,4,11 25,1 1,
7,34,0,21600,5,4 25,1 1,
8,9999,0,0,0,9999,1,453
8,9999,3,0,0,9999,1,454
8,31,0,21600,4,12 25,1 1,
8,32,0,21600,3,19 25,1 1,
8,33,0,21600,4,20 25,1 1,
8,34,0,21600,3,25 28,1 1,
8,35,0,21600,0,501,1,
8,36,0,21600,3,3 11,1 1,
8,37,0,21600,3,4 12,1 1,
8,38,0,21600,4,19 27,1 1,
8,39,0,21600,5,20 28,1 1,
8,40,0,21600,0,501,1,
8,41,0,21600,3,3 25,1 1,
8,42,0,21600,4,11 25,1 1,
9,39,0,21600,4,4 25,1 1,
9,40,0,21600,5,12 25,1 1,
9,41,0,21600,3,19 25,1 1,
9,42,0,21600,5,20 25,1 1,
9,43,0,21600,3,25 28,1 1,
9,44,0,21600,6,25 35,1 1,
9,45,0,21600,3,3 11,1 1,
9,46,0,21600,4,4 12,1 1,
10,43,0,21600,3,19 27,1 1,
10,44,0,21600,4,20 28,1 1,
10,45,0,21600,5,27 35,1 1,
10,46,0,21600,3,3 25,1 1,
10,47,0,21600,4,11 25,1 1,
10,48,0,21600,5,4 25,1 1,
10,49,0,21600,3,46 47,1 1,
10,50,0,21600,4,19 25,1 1,
10,51,0,21600,5,20 25,1 1,
10,52,0,21600,3,25 28,1 1,
10,53,0,21600,6,25 35,1 1,
10,54,0,21600,3,3 11,1 1,
10,55,0,21600,4,4 12,1 1,
10,56,0,21600,3,19 27,1 1,
10,57,0,21600,0,502,1,
10,58,0,21600,4,27 35,1 1,
11,51,0,21600,3,3 25,1 1,
11,52,0,21600,5,11 25,1 1,
11,53,0,21600,3,4 25,1 1,
11,54,0,21600,0,502,1,
11,59,0,21600,3,19 25,1 1,
11,60,0,21600,4,20 25,1 1,
11,61,0,21600,3,25 28,1 1,
11,62,0,21600,4,25 35,1 1,
12,9999,0,0,0,9999,1,455
12,9999,3,0,0,9999,1,456
12,9999,6,0,0,9999,1,457
12,61,0,21600,5,56 57,1 1,
12,62,0,21600,7,56 57,1 1,
12,63,0,21600,6,19 27,1 1,
12,64,0,21600,4,20 28,1 1,
12,65,0,21600,3,27 35,1 1,
12,66,0,21600,0,501,1,
12,67,0,21600,0,501,1,
12,68,0,21600,3,4 25,1 1,
12,69,0,21600,4,12 25,1 1,
12,70,0,21600,5,19 25,1 1,
13,9999,0,0,0,9999,1,458
13,9999,3,0,0,9999,1,459
13,9999,6,0,0,9999,1,460
13,9999,9,0,0,9999,1,461
13,9999,12,0,0,9999,1,462
13,9999,15,0,0,9999,1,463
13,71,0,21600,4,51 52,1 1,
13,72,0,21600,3,25 28,1 1,
13,73,0,21600,0,501,1,
13,74,0,21600,3,52 53,1 1,
13,75,0,21600,4,4 12,1 1,
13,76,0,21600,5,19 27,1 1,
13,77,0,21600,3,20 28,1 1,
13,78,0,21600,0,502,1,
14,73,0,21600,3,5 13,1 1,
14,74,0,21600,4,51 52,1 1,
14,75,0,21600,5,21 29,1 1,
14,76,0,21600,3,22 17,1 1,
14,79,0,21600,4,29 37,1 1,
14,80,0,21600,5,53 54,1 1,
14,81,0,21600,3,13 27,1 1,
14,82,0,21600,4,6 27,1 1,
15,79,0,21600,3,14 27,1 1,
15,80,0,21600,5,52 53,1 1,
15,81,0,21600,6,22 27,1 1,
15,82,0,21600,3,27 30,1 1,
15,83,0,21600,4,27 37,1 1,
15,84,0,21600,3,5 13,1 1,
15,85,0,21600,4,6 14,1 1,
15,86,0,21600,5,21 29,1 1,
16,9999,0,0,0,9999,1,464
16,9999,3,0,0,9999,1,465
16,9999,6,0,0,9999,1,466
16,83,0,21600,3,22 30,1 1,
16,84,0,21600,5,29 37,1 1,
16,85,0,21600,4,5 27,1 1,
16,86,0,21600,3,13 27,1 1,
16,87,0,21600,4,6 27,1 1,
16,88,0,21600,5,14 27,1 1,
16,89,0,21600,3,21 27,1 1,
16,90,0,21600,4,22 27,1 1,
17,9999,0,0,0,9999,1,467
17,9999,3,0,0,9999,1,468
17,9999,6,0,0,9999,1,469
17,9999,9,0,0,9999,1,470
17,9999,12,0,0,9999,1,471
17,87,0,21600,3,27 30,1 1,
17,88,0,21600,4,27 37,1 1,
17,89,0,21600,3,5 13,1 1,
17,90,0,21600,4,6 14,1 1,
17,91,0,21600,0,503,1,
17,92,0,21600,3,22 30,1 1,
17,93,0,21600,4,29 37,1 1,
17,94,0,21600,3,5 27,1 1,
17,95,0,21600,5,13 27,1 1,
17,96,0,21600,3,6 27,1 1,
17,97,0,21600,4,14 27,1 1,
18,9999,0,0,0,9999,1,472
18,9999,3,0,0,9999,1,473
18,9999,6,0,0,9999,1,474
18,9999,12,0,0,9999,1,475
18,9999,15,0,0,9999,1,476
18,92,0,21600,6,21 27,1 1,
18,93,0,21600,4,22 27,1 1,
18,94,0,21600,3,27 30,1 1,
18,95,0,21600,5,27 37,1 1,
18,96,0,21600,3,5 13,1 1,
18,97,0,21600,5,6 14,1 1,
18,98,0,21600,3,21 29,1 1,
18,99,0,21600,4,22 30,1 1,
19,98,0,21600,3,7 15,1 1,
19,99,0,21600,5,8 16,1 1,
19,100,0,21600,4,23 31,1 1,
19,101,0,21600,3,24 30,1 1,
19,102,0,21600,5,31 39,1 1,
19,103,0,21600,4,7 29,1 1,
19,104,0,21600,3,15 29,1 1,
19,105,0,21600,5,8 29,1 1,
19,106,0,21600,4,16 29,1 1,
19,107,0,21600,3,23 29,1 1,
19,108,0,21600,4,24 29,1 1,
19,109,0,21600,3,29 32,1 1,
19,110,0,21600,0,503,1,
19,111,0,21600,0,503,1,
20,9999,0,0,0,9999,1,477
20,9999,3,0,0,9999,1,478
20,9999,6,0,0,9999,1,479
20,9999,12,0,0,9999,1,480
20,9999,15,0,0,9999,1,481
20,9999,18,0,0,9999,1,482
20,9999,21,0,0,9999,1,483
20,108,0,21600,3,8 16,1 1,
20,109,0,21600,4,23 31,1 1,
20,104,0,21600,3,24 30,1 1,
20,105,0,21600,4,31 39,1 1,
20,112,0,21600,3,7 29,1 1,
20,113,0,21600,4,15 29,1 1,
20,114,0,21600,3,8 29,1 1,
20,115,0,21600,5,16 29,1 1,
20,116,0,21600,3,23 29,1 1,
20,117,0,21600,4,24 29,1 1,
21,9999,0,0,0,9999,1,484
21,9999,3,0,0,9999,1,485
21,9999,6,0,0,9999,1,486
21,118,0,21600,3,29 30,1 1,
21,119,0,21600,5,29 39,1 1,
21,120,0,21600,3,7 15,1 1,
21,115,0,21600,4,8 16,1 1,
21,116,0,21600,3,23 31,1 1,
21,117,0,21600,5,24 30,1 1,
21,118,0,21600,3,49 50,1 1,
21,119,0,21600,4,49 50,1 1,
21,120,0,21600,3,47 48,1 1,
22,9999,0,0,0,9999,1,487
22,9999,3,0,0,9999,1,488
22,121,0,21600,6,56 57,1 1,
22,122,0,21600,3,56 57,1 1,
22,123,0,21600,5,23 29,1 1,
22,124,0,21600,3,24 29,1 1,
22,123,0,21600,4,29 32,1 1,
22,124,0,21600,3,29 39,1 1,
22,125,0,21600,4,7 15,1 1,
22,126,0,21600,6,58 59,1 1,
22,127,0,21600,5,23 31,1 1,
22,128,0,21600,7,58 59,1 1,
22,128,0,21600,4,31 39,1 1,
22,129,0,21600,3,53 54,1 1,
22,130,0,21600,5,53 54,1 1,
23,9999,0,0,0,9999,1,489
23,9999,3,0,0,9999,1,490
23,9999,6,0,0,9999,1,491
23,9999,12,0,0,9999,1,492
23,9999,15,0,0,9999,1,493
23,129,0,21600,3,8 29,1 1,
23,130,0,21600,4,16 29,1 1,
23,131,0,21600,3,110,1,
23,132,0,21600,5,110,1,
23,133,0,21600,3,110,1,
23,134,0,21600,4,110,1,
23,135,0,21600,7,59 60,1 1,
23,136,0,21600,6,59 60,1 1,
23,137,0,21600,3,110,1,
23,138,0,21600,4,110,1,
24,9999,0,0,0,9999,1,494
24,137,0,21600,3,110,1,
24,138,0,21600,5,110,1,
24,139,0,21600,3,48  49,1 1,
24,140,0,21600,4,49 50,1 1,
24,141,0,21600,3,47 49,1 1,
24,142,0,21600,4,52 53,1 1,
24,143,0,21600,0,501,1,
24,144,0,21600,0,503,1,
25,9999,0,0,0,9999,1,495
25,9999,3,0,0,9999,1,496
25,9999,6,0,0,9999,1,497
25,9999,12,0,0,9999,1,498
25,9999,15,0,0,9999,1,499
25,9999,18,0,0,9999,1,500
25,145,0,21600,3,29 39,1 1,
25,146,0,21600,3,7 15,1 1,
25,145,0,21600,0,503,1,
25,146,0,21600,3,23 31,1 1,
25,147,0,21600,4,24 30,1 1,
25,148,0,21600,0,501,1,
25,149,0,21600,0,501,1,
25,150,0,21600,3,15 29,1 1,
25,151,0,21600,4,8 29,1 1,
25,152,0,21600,0,503,1,
25,151,0,21600,3,23 29,1 1,
26,9999,0,0,0,9999,1,501
26,9999,3,0,0,9999,1,502
26,9999,6,0,0,9999,1,503
26,9999,12,0,0,9999,1,504
26,9999,15,0,0,9999,1,505
26,145,0,21600,3,100 102 104,1 1 1,
26,146,0,180,4,101 103 105,1 1 1,
26,147,0,240,5,100 106 108,1 1 1,
26,148,240,21600,7,110 111 112,1 1 1,
26,149,180,300,4,101 103 105,1 1 1,
26,150,120,600,7,110 111 112,1 1 1,
26,151,240,21600,5,104 106 108,1 1 1,
26,152,0,180,4,103 107 109,1 1 1,
26,201,5,0,0,30800,1,
