level,damageAdd,attackRangeAdd,healthAdd,armorAdd,speedAdd,moneyAdd
0,0,0,0,0,0,0
1,1,1,10,6,2,30
2,3,2,30,14,5,60
3,5,3,50,22,8,90
4,7,4,70,30,11,120
5,9,5,90,38,14,175
6,11,6,110,46,17,210
7,13,7,130,54,20,245
8,15,8,150,62,23,280
9,17,9,170,70,26,315
10,20,10,200,80,30,400
11,22,11,220,88,33,445
12,24,12,240,96,36,490
13,26,13,260,104,39,535
14,28,14,280,112,42,580
15,30,15,300,120,45,625
16,32,16,320,128,48,670
17,34,17,340,136,51,715
18,36,18,360,144,54,760
19,38,19,380,152,57,805
20,40,20,400,160,60,850
