temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
가시촉수 패턴 4 - 1줄,1000,20,3,1,7.4,zbs_attack_tentacle1,2.3,100,45,5,7,1,0,1000,0,100,15,-1,300,200,0
가시촉수 패턴 4 - 2줄,1000,21,3,1,7.4,zbs_attack_tentacle1,2.3,130,45,5,7,1,0,1000,0,100,15,-1,300,200,0
가시촉수 패턴 4 - 3줄,1000,22,3,1,7.4,zbs_attack_tentacle1,2.3,160,45,5,7,1,0,1000,0,100,15,-1,300,250,0
가시촉수 패턴 5 - 동심원(전체),1000,23,3,1,10.8,zbs_attack_tentacle2,2.3,150,45,5,7,1,0,1000,0,100,15,-1,300,250,0
가시촉수 패턴 6 - 동심원(타겟) x 2,1000,24,3,1,7.4,zbs_attack_tentacle1,2.3,120,45,5,7,1,0,1000,0,100,15,-1,300,250,0
가시촉수 패턴 7 - 동심원(타겟) x 3,1000,25,3,1,7.4,zbs_attack_tentacle1,2.3,120,45,5,7,1,0,1000,0,100,15,-1,300,250,0
롤링어택 반사 5회,1000,26,4,1,10,zbs_attack_rolling1,0.75,40,0,5,0,0,0,1000,0,100,15,-1,700,300,1000
롤링어택 반사 4회,1000,27,4,1,5,zbs_attack_rolling1,0.75,35,0,5,0,0,0,1000,0,100,15,-1,700,300,900
롤링어택 반사 3회,1000,28,4,1,5,zbs_attack_rolling1,0.75,30,0,5,0,0,0,1000,0,100,15,-1,700,300,800
롤링어택 반사 2회,1000,29,4,1,5,zbs_attack_rolling1,0.75,25,0,5,0,0,0,1000,0,100,15,-1,700,300,700
롤링어택 반사 1회,1000,30,4,1,5,zbs_attack_rolling1,0.75,25,0,5,0,0,0,1000,0,100,15,-1,700,300,700
롤링어택으로 구녕 들어가기,1000,31,4,1,5,zbs_attack_rolling1,0.75,25,0,5,0,0,0,1000,0,100,15,-1,700,300,700
독액 패턴 3,1000,32,5,1,4.4,zbs_attack_poison1,4.1,50,0,5,8,0,0,1000,0,100,0,324,300,200,10
독액 패턴 4 - 광역,1000,33,5,1,8.4,zbs_attack_poison2,4.1,80,0,5,8,0,0,1000,0,100,0,324,300,200,15
디오네 파이널 스킬 연속기 시작,1000,34,4,1,2.5,zbs_attack_rolling1,0.75,250,0,5,0,0,0,1000,0,100,15,-1,700,300,950
