id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1,zombi_host,10,50,5,80,10,90,100,0,0,255 255 255,0,100,0,0,1
2,zombi_host,30,50,1.5,225,100,120,500,0,0,240 130 60,0,100,0,0,1
11,zombi_origin,20,50,3,300,50,120,375,0,1,255 255 255,0,101,0,0,1
12,zombi_origin,40,50,1,600,200,180,750,1,1,240 130 60,0,101,0,0,1
21,speed_zombi_host,15,50,4.5,80,0,140,160,0,0,255 255 255,0,110,0,0,1
31,speed_zombi_origin,30,50,3.5,225,25,200,410,1,2,255 255 255,0,111,0,0,1
41,heavy_zombi_host,20,50,5,250,50,80,275,0,0,255 255 255,0,120,0,0,1
51,heavy_zombi_origin,40,50,3,600,100,100,440,1,3,255 255 255,0,121,0,0,1
61,pc_zombi_host,10,50,5,150,10,100,200,0,0,255 255 255,0,130,0,0,1
71,pc_zombi_origin,10,50,5,300,30,180,410,0,0,255 255 255,0,131,0,0,1
81,heal_zombi_host,10,50,5,130,20,90,180,0,0,255 255 255,0,140,0,0,1
91,heal_zombi_origin,15,50,5,250,30,160,440,1,5,255 255 255,0,141,0,0,1
101,zombi_host,5,1500,3,25,10,60,825,0,6,80 228 91,0,102,0,0,1
111,zombi_host,5,1500,3,25,10,60,825,0,6,80 228 91,0,102,0,0,1
1000,zbs_bossS_jun00,50,80,1,25000,1500,140,7500,1,3,255 255 255,0,150,0,0,2
1001,zbs_bossS_jun00,80,80,1,35000,2500,180,15000,1,3,255 255 255,0,150,0,0,2
1002,zbs_bossS_jun00,110,80,1,30000,3000,200,15000,1,3,255 255 255,0,150,0,0,2
2000,bonus_mon02,0,50,5,100,50,200,400,0,0,255 255 255,0,160,0,0,1
30300,zbs_bossL_big03,1,300,2,1250000,1000000,220,32000,2,1000,255 255 255,0,170,2,100,3
30500,zbs_bossL_big04,1,300,2,1250000,1000000,220,32000,2,1000,255 255 255,0,170,2,100,3
30501,zbs_bossL_big04,1,300,2,1250000,1000000,220,32000,2,1001,255 255 255,0,170,2,100,3
