id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1,zombi_host,45,70,3,5,0,140,35,0,0,255 255 255,0,101,0,0,1
2,zombi_host,35,100,3,7,0,350,70,0,0,128 128 64 ,0,101,0,0,1
3,zombi_origin,50,70,3,5,0,140,40,0,0,255 255 255,0,101,0,0,1
4,speed_zombi_host,45,70,3,5,0,140,45,0,0,255 255 255,0,101,0,0,1
5,speed_zombi_host,35,100,3,7,0,350,75,0,0,128 128 64 ,0,110,0,0,1
6,speed_zombi_origin,50,70,3,5,0,140,35,0,0,255 255 255,0,101,0,0,1
7,speed_zombi_origin,37,100,2,7,0,350,75,0,0,128 128 64 ,0,101,0,0,1
8,heavy_zombi_host,60,70,3,5,0,120,40,0,0,255 255 255,0,121,0,0,1
9,heavy_zombi_host,35,100,2,10,0,300,80,0,0,128 128 64 ,0,121,0,0,1
10,heavy_zombi_origin,60,70,3,15,0,140,45,0,0,255 255 255,0,121,0,0,1
11,heavy_zombi_origin,37,100,2,10,0,300,80,0,0,128 128 64 ,0,121,0,0,1
12,zombiedog,60,70,3,25,10,160,60,0,0,255 255 255,0,144,0,0,1
13,resident_zombi_origin,60,70,3,5,0,140,60,0,0,255 255 255,0,145,0,0,1
14,resident_zombi_origin,38,100,2,7,0,350,90,0,0,128 128 64 ,0,145,0,0,1
15,boomer_zombi_origin,60,70,3,5,0,140,75,0,11,255 255 255,0,146,0,0,1
16,boomer_zombi_origin,39,100,1,7,0,300,150,0,11,128 128 64 ,0,146,0,0,1
17,boomer_zombi_host,60,70,3,15,0,140,75,0,11,255 255 255,0,146,0,0,1
18,boomer_zombi_host,39,100,1,15,0,300,200,0,11,128 128 64 ,0,146,0,0,1
500,deimos_zombi_host,500,100,1,20000,20000,350,800,0,0,128 128 64 ,0,181,0,0,0
501,deimos_zombi_origin,500,100,1,35000,22000,350,1800,0,0,128 128 64 ,0,182,0,0,0
19,zombi_host,12,100,3,7,0,350,70,0,0,128 128 64 ,0,101,0,0,1
20,speed_zombi_host,13,100,3,7,0,350,75,0,0,128 128 64 ,0,110,0,0,1
