waveID,intervalTime,zombi,specialzombi,eventmessage
1,6,11,,
1,7,26,,
1,6,35,,
1,7,11,,
1,6,26,,
1,7,35,,
2,6,11,,
2,7,26,,
2,6,35,,
2,7,6,,
2,6,12,,
3,9999,603,5000,
3,9999,603,5001,
3,9999,603,5002,
3,9999,603,5003,
3,9999,501,5004,
3,6,11,,
3,7,26,,
3,6,35,,
3,7,11,,
3,6,26,,
3,7,35,,
3,6,11,,
3,7,26,,
3,6,11,,
3,7,26,,
4,6,35,,
4,7,11,,
4,6,26,,
4,7,35,,
4,6,11,,
4,7,26,,
4,6,35,,
4,7,6,,
4,6,12,,
4,7,6,,
4,6,12,,
5,9999,604,5000,
5,9999,604,5001,
5,9999,604,5002,
5,9999,604,5003,
5,9999,501,5004,
5,6,13,,
5,7,26,,
5,6,36,,
5,7,78,,
5,6,13,,
5,7,26,,
5,6,36,,
5,7,78,,
5,6,13,,
5,7,26,,
6,9999,30200,5005,
6,9999,9999,856,
6,6,213,,
6,7,226,,
6,6,236,,
6,7,257,,
6,6,213,,
6,7,226,,
6,6,236,,
6,7,257,,
6,6,213,,
6,7,226,,
6,30,292,,
6,7,106,,
7,9999,604,5000,
7,9999,604,5001,
7,9999,604,5002,
7,9999,604,5003,
7,9999,501,5004,
7,6,14,,
7,7,27,,
7,6,36,,
7,7,14,,
7,6,27,,
7,7,36,,
7,6,14,,
7,7,27,,
7,6,36,,
7,7,14,,
8,6,214,,
8,7,227,,
8,6,236,,
8,7,281,,
8,10,107,,
8,6,214,,
8,7,227,,
8,6,236,,
8,7,281,,
8,10,107,,
8,6,227,,
8,7,106,,
8,9999,30200,5005,
8,9999,9999,856,
9,9999,604,5000,
9,9999,604,5001,
9,9999,604,5002,
9,9999,604,5003,
9,9999,501,5004,
9,9999,30800,201,
9,6,15,,
9,7,27,,
9,6,37,,
9,7,46,,
9,6,57,,
9,7,68,,
9,30,173,,
9,15,157,,
9,6,57,,
9,7,68,,
9,6,604,,
10,9999,501,5000,
10,9999,501,5001,
10,7,292,,
10,7,247,,
10,20,604,,
10,70,501,,
10,9999,501,,
10,6,215,,
10,7,227,,
10,6,237,,
10,7,247,,
10,6,264,,
10,6,157,,
10,7,106,,
10,9999,30200,5005,
10,9999,9999,856,
11,9999,605,5000,
11,9999,605,5001,
11,9999,605,5002,
11,9999,605,5003,
11,9999,501,5004,
11,5,15,,
11,6,27,,
11,5,37,,
11,6,79,,
11,10,107,,
11,5,15,,
11,6,27,,
11,5,37,,
11,6,79,,
11,10,107,,
12,5,215,,
12,6,227,,
12,5,237,,
12,6,257,,
12,5,282,,
12,6,108,,
12,70,501,,
12,6,215,,
12,5,227,,
12,6,237,,
12,7,106,,
12,5,257,,
12,9999,30200,5005,
12,9999,9999,856,
13,9999,605,5000,
13,9999,605,5001,
13,9999,605,5002,
13,9999,605,5003,
13,9999,501,5004,
13,5,15,,
13,6,27,,
13,5,37,,
13,6,15,,
13,5,27,,
13,6,37,,
13,5,15,,
13,6,27,,
13,5,37,,
13,90,501,,
14,5,215,,
14,6,227,,
14,6,108,,
14,5,237,,
14,6,293,,
14,5,215,,
14,6,227,,
14,5,237,,
14,6,293,,
14,5,215,,
14,6,227,,
14,70,501,,
14,9999,30200,5005,
14,9999,9999,856,
15,9999,605,5000,
15,9999,605,5001,
15,9999,605,5002,
15,9999,605,5003,
15,9999,501,5004,
15,5,16,,
15,6,28,,
15,5,38,,
15,6,47,,
15,5,68,,
15,6,16,,
15,5,28,,
15,6,38,,
15,25,174,,
15,90,182,,
16,5,216,,
16,6,228,,
16,5,238,,
16,6,248,,
16,5,265,,
16,6,283,,
16,5,108,,
16,6,238,,
16,5,248,,
16,6,265,,
16,15,293,,
16,9999,30200,5005,
16,9999,9999,856,
17,9999,606,5000,
17,9999,606,5001,
17,9999,606,5002,
17,9999,606,5003,
17,9999,501,5004,
17,5,16,,
17,6,28,,
17,5,38,,
17,6,80,,
17,5,158,,
17,6,16,,
17,5,28,,
17,6,38,,
17,5,80,,
17,6,158,,
18,5,216,,
18,6,228,,
18,5,238,,
18,6,258,,
18,5,293,,
18,6,158,,
18,5,228,,
18,6,238,,
18,5,258,,
18,6,293,,
18,12,606,,
18,9999,30200,5005,
18,9999,9999,856,
19,9999,9999,860,
19,9999,606,5000,
19,9999,606,5001,
19,9999,606,5002,
19,9999,606,5003,
19,9999,30200,5005,
19,9999,9999,856,
19,5,16,,
19,6,28,,
19,5,38,,
19,6,58,,
19,12,174,,
19,12,108,,
19,5,16,,
19,6,28,,
19,5,38,,
19,6,58,,
19,12,174,,
19,12,108,,
19,5,16,,
19,6,28,,
19,5,38,,
20,5,216,,
20,6,228,,
20,5,238,,
20,6,284,,
20,5,216,,
20,6,228,,
20,5,238,,
20,6,284,,
20,5,216,,
20,6,228,,
20,5,238,,
20,6,284,,
20,12,108,,
20,12,293,,
20,12,293,,
20,12,480,,
20,9999,701,,
21,9999,606,5000,
21,9999,606,5001,
21,9999,606,5002,
21,9999,606,5003,
21,9999,501,5004,
21,4,17,,
21,3,28,,
21,4,39,,
21,3,47,,
21,4,68,,
21,3,17,,
21,4,28,,
21,3,39,,
21,4,47,,
21,3,68,,
21,4,17,,
21,3,28,,
21,4,39,,
21,3,47,,
21,4,68,,
22,3,217,,
22,4,228,,
22,3,238,,
22,4,249,,
22,3,266,,
22,10,294,,
22,3,217,,
22,4,228,,
22,3,238,,
22,4,249,,
22,3,266,,
22,10,294,,
22,3,217,,
22,4,228,,
22,3,238,,
22,12,480,,
23,9999,606,5000,
23,9999,606,5001,
23,9999,606,5002,
23,9999,606,5003,
23,9999,30200,5005,
23,9999,9999,856,
23,4,17,,
23,3,29,,
23,4,39,,
23,3,81,,
23,4,17,,
23,3,29,,
23,4,39,,
23,3,81,,
23,4,17,,
23,3,29,,
23,4,39,,
23,3,81,,
23,4,17,,
23,3,29,,
23,4,39,,
24,3,217,,
24,4,229,,
24,3,239,,
24,4,259,,
24,3,285,,
24,12,109,,
24,3,217,,
24,4,229,,
24,3,239,,
24,4,259,,
24,3,285,,
24,12,109,,
24,3,259,,
24,4,285,,
24,3,109,,
24,12,480,,
25,9999,607,5000,
25,9999,607,5001,
25,9999,607,5002,
25,9999,607,5003,
25,9999,30200,5005,
25,9999,9999,856,
25,4,17,,
25,3,29,,
25,4,39,,
25,3,159,,
25,4,17,,
25,3,29,,
25,4,39,,
25,3,159,,
25,4,17,,
25,3,29,,
25,4,39,,
25,3,159,,
25,4,17,,
25,3,29,,
25,4,39,,
26,3,217,,
26,4,229,,
26,3,239,,
26,15,294,,
26,3,159,,
26,4,217,,
26,3,229,,
26,4,239,,
26,15,294,,
26,4,159,,
26,3,217,,
26,4,229,,
26,3,239,,
26,15,294,,
26,12,480,,
26,3,159,,
27,9999,607,5000,
27,9999,607,5001,
27,9999,607,5002,
27,9999,607,5003,
27,9999,30200,5005,
27,9999,9999,856,
27,4,18,,
27,3,29,,
27,4,40,,
27,3,48,,
27,4,69,,
27,10,109,,
27,4,18,,
27,3,29,,
27,4,40,,
27,3,48,,
27,4,69,,
27,10,109,,
27,4,48,,
27,3,69,,
27,4,109,,
28,3,218,,
28,4,229,,
28,3,240,,
28,4,250,,
28,3,267,,
28,50,183,,
28,9,109,,
28,4,218,,
28,3,229,,
28,4,240,,
28,3,250,,
28,4,267,,
28,50,183,,
28,12,480,,
28,9,109,,
28,3,267,,
29,9999,607,5000,
29,9999,607,5001,
29,9999,607,5002,
29,9999,607,5003,
29,9999,502,5004,
29,4,18,,
29,3,29,,
29,4,40,,
29,3,59,,
29,4,82,,
29,15,175,,
29,3,18,,
29,4,29,,
29,3,40,,
29,4,59,,
29,3,82,,
29,15,175,,
29,4,40,,
29,3,59,,
29,4,82,,
30,3,218,,
30,4,229,,
30,3,240,,
30,4,259,,
30,9,295,,
30,4,218,,
30,3,229,,
30,4,240,,
30,3,259,,
30,9,295,,
30,3,218,,
30,4,229,,
30,3,240,,
30,4,259,,
30,9,295,,
30,9999,702,,
31,9999,9999,1678,
31,9999,608,5000,
31,9999,608,5001,
31,9999,608,5002,
31,9999,608,5003,
31,9999,502,5004,
31,3,18,,
31,4,30,,
31,3,40,,
31,3,18,,
31,4,30,,
31,3,40,,
31,3,18,,
31,4,30,,
31,3,40,,
31,3,18,,
31,4,30,,
31,3,40,,
31,3,18,,
31,4,30,,
31,3,40,,
32,4,218,,
32,3,230,,
32,4,240,,
32,3,287,,
32,9,110,,
32,4,218,,
32,3,230,,
32,4,240,,
32,3,287,,
32,9,110,,
32,4,218,,
32,5,487,,
32,3,230,,
32,4,240,,
32,3,287,,
32,9,110,,
33,9999,608,5000,
33,9999,608,5001,
33,9999,608,5002,
33,9999,608,5003,
33,9999,502,5004,
33,3,19,,
33,4,30,,
33,3,41,,
33,4,48,,
33,3,69,,
33,40,183,,
33,3,160,,
33,4,19,,
33,3,30,,
33,4,41,,
33,3,48,,
33,4,69,,
33,40,183,,
33,3,160,,
33,40,183,,
34,9999,30200,5005,
34,9999,9999,856,
34,3,219,,
34,4,230,,
34,3,241,,
34,4,251,,
34,3,268,,
34,9,295,,
34,3,160,,
34,4,219,,
34,3,230,,
34,4,241,,
34,5,487,,
34,3,251,,
34,4,268,,
34,9,295,,
34,3,160,,
34,9,295,,
35,9999,609,5000,
35,9999,609,5001,
35,9999,609,5002,
35,9999,609,5003,
35,9999,30200,5005,
35,9999,9999,856,
35,3,19,,
35,4,30,,
35,3,41,,
35,4,83,,
35,9,110,,
35,4,19,,
35,3,30,,
35,4,41,,
35,3,83,,
35,9,110,,
35,3,19,,
35,4,30,,
35,3,41,,
35,4,83,,
35,9,110,,
36,3,488,,
36,4,114,,
36,3,219,,
36,4,230,,
36,3,241,,
36,4,260,,
36,3,288,,
36,4,110,,
36,3,219,,
36,4,230,,
36,3,241,,
36,4,260,,
36,3,288,,
36,4,110,,
36,3,241,,
36,4,260,,
36,9,295,,
37,9999,609,5000,
37,9999,609,5001,
37,9999,609,5002,
37,9999,609,5003,
37,9999,30200,5005,
37,9999,9999,856,
37,3,19,,
37,4,30,,
37,3,41,,
37,4,19,,
37,3,30,,
37,4,41,,
37,3,19,,
37,4,30,,
37,3,41,,
37,4,19,,
37,3,30,,
37,4,41,,
37,7,176,,
37,7,176,,
37,7,176,,
38,7,488,,
38,4,112,,
38,5,114,,
38,4,230,,
38,3,241,,
38,9,296,,
38,3,219,,
38,4,230,,
38,3,241,,
