id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1,zombi_host,15,70,4,200,100,160,0,0,0,255 255 255,0,101,0,0,1
2,zombi_origin,18,70,4,260,130,160,0,0,0,255 255 255,0,101,0,0,1
3,zombi_host,21,70,4,310,155,160,0,0,0,255 255 255,0,101,0,0,1
4,zombi_origin,24,70,4,400,200,160,0,0,0,255 255 255,0,101,0,0,1
5,zombi_host,27,70,4,490,245,160,0,0,0,255 255 255,0,101,0,0,1
6,zombi_origin,30,70,4,580,290,160,0,0,0,255 255 255,0,101,0,0,1
7,zombi_host,35,70,4,720,360,160,0,0,0,255 255 255,0,101,0,0,1
8,zombi_origin,40,70,4,840,420,160,0,0,0,255 255 255,0,101,0,0,1
9,zombi_host,45,70,3,1000,500,160,0,0,0,255 255 255,0,101,0,0,1
10,zombi_origin,50,70,3,1250,625,160,0,0,0,255 255 255,0,101,0,0,1
11,zombi_host,55,70,3,1450,725,160,0,0,0,255 255 255,0,101,0,0,1
12,zombi_origin,60,70,3,1650,825,160,0,0,0,255 255 255,0,101,0,0,1
13,zombi_host,65,70,3,1850,925,160,0,0,0,255 255 255,0,101,0,0,1
14,zombi_origin,70,70,3,2050,1025,160,0,0,0,255 255 255,0,101,0,0,1
15,zombi_host,75,70,3,2600,1300,160,0,0,0,255 255 255,0,101,0,0,1
16,zombi_origin,80,70,3,2800,1400,160,0,0,0,255 255 255,0,101,0,0,1
17,zombi_host,85,70,3,3000,1500,160,0,0,0,255 255 255,0,101,0,0,1
18,zombi_origin,90,70,3,3200,1600,160,0,0,0,255 255 255,0,101,0,0,1
19,zombi_host,95,70,3,3400,1700,160,0,0,0,255 255 255,0,101,0,0,1
20,zombi_origin,100,70,3,3600,1800,160,0,0,0,255 255 255,0,101,0,0,1
22,speed_zombi_host,30,70,3,200,100,200,0,0,0,255 255 255,0,110,0,0,1
23,speed_zombi_host,42,70,3,340,170,200,0,0,0,255 255 255,0,110,0,0,1
24,speed_zombi_origin,54,70,3,540,270,200,0,0,0,255 255 255,0,110,0,0,1
25,speed_zombi_origin,66,70,3,800,400,200,0,0,0,255 255 255,0,110,0,0,1
26,speed_zombi_host,78,70,3,1200,600,200,0,0,0,255 255 255,0,110,0,0,1
27,speed_zombi_host,90,70,3,1800,900,200,0,0,7,255 255 255,0,110,0,0,1
28,speed_zombi_origin,120,70,3,2400,1200,200,0,0,7,255 255 255,0,110,0,0,1
29,speed_zombi_origin,160,70,3,2800,1400,200,0,0,7,255 255 255,0,110,0,0,1
30,speed_zombi_host,200,70,3,3200,1600,200,0,0,7,255 255 255,0,110,0,0,1
33,heavy_zombi_host,44,70,3,600,300,140,0,0,0,255 255 255,0,120,4,0,1
34,heavy_zombi_host,54,70,3,1200,600,140,0,0,0,255 255 255,0,120,4,0,1
35,heavy_zombi_origin,64,70,3,1720,860,140,0,0,0,255 255 255,0,120,4,0,1
36,heavy_zombi_origin,74,65,3,2400,1200,140,0,0,0,255 255 255,0,120,4,0,1
37,heavy_zombi_host,90,65,3,2800,1400,140,0,0,3,255 255 255,0,120,4,0,1
38,heavy_zombi_host,120,65,3,3200,1600,140,0,0,3,255 255 255,0,120,4,0,1
39,heavy_zombi_host,150,65,3,3600,1800,140,0,0,3,255 255 255,0,120,4,0,1
40,heavy_zombi_host,180,65,3,4000,2000,140,0,0,3,255 255 255,0,120,4,0,1
41,heavy_zombi_host,210,65,3,4400,2200,140,0,0,3,255 255 255,0,120,4,0,1
44,pc_zombi_host,40,65,2,480,210,165,0,0,0,255 255 255,4,131,0,0,1
45,pc_zombi_host,70,65,2,1020,510,165,0,0,0,255 255 255,4,131,0,0,1
46,pc_zombi_origin,100,65,2,1620,810,165,0,0,0,255 255 255,4,131,0,0,1
47,pc_zombi_origin,130,65,2,2300,1150,165,0,0,0,255 255 255,4,131,0,0,1
48,pc_zombi_host,160,65,2,2800,1400,165,0,0,0,255 255 255,4,131,0,0,1
49,pc_zombi_host,190,65,2,3300,1650,165,0,0,0,255 255 255,4,131,0,0,1
55,heal_zombi_host,40,65,2,460,230,350,0,0,0,255 255 255,0,141,0,0,1
56,heal_zombi_host,80,65,2,1160,580,145,0,0,0,255 255 255,0,141,0,0,1
57,heal_zombi_origin,120,65,2,2200,1100,350,0,0,0,255 255 255,0,141,0,0,1
58,heal_zombi_origin,140,65,2,2400,1200,145,0,0,0,255 255 255,0,141,0,0,1
59,heal_zombi_host,160,65,2,2800,1400,350,0,0,0,255 255 255,0,141,0,0,1
67,resident_zombi_host,84,65,2,920,460,180,0,0,0,255 255 255,0,144,0,0,1
68,resident_zombi_host,144,65,2,2100,1050,180,0,0,0,255 255 255,0,144,0,0,1
69,resident_zombi_origin,184,65,2,2600,1300,180,0,0,0,255 255 255,0,144,0,0,1
76,boomer_zombi_host,44,100,3,1360,680,130,0,0,11,255 255 255,0,145,4,0,1
77,boomer_zombi_host,54,70,4,1680,840,130,0,0,11,255 255 255,0,145,4,0,1
78,boomer_zombi_origin,64,100,3,2160,1080,130,0,0,11,255 255 255,0,145,4,0,1
79,boomer_zombi_origin,74,70,4,2400,1200,130,0,0,11,255 255 255,0,145,4,0,1
80,boomer_zombi_host,90,100,3,2880,1440,130,0,0,11,255 255 255,0,145,4,0,1
81,boomer_zombi_host,120,70,4,3360,1680,130,0,0,11,255 255 255,0,145,4,0,1
82,boomer_zombi_origin,150,100,3,3640,1820,130,0,0,11,255 255 255,0,145,4,0,1
83,boomer_zombi_origin,180,70,4,4000,2000,130,0,0,11,255 255 255,0,145,4,0,1
84,boomer_zombi_host,210,100,3,4200,2100,130,0,0,11,255 255 255,0,145,4,0,1
85,boomer_zombi_host,240,70,4,4400,2200,130,0,0,11,255 255 255,0,145,4,0,1
104,zombi_host,84,1500,5,520,260,150,150,0,6,80 228 91,0,102,0,0,1
105,zombi_host,108,1500,5,720,360,150,150,0,6,80 228 91,0,102,0,0,1
106,zombi_host,132,1500,4,1000,500,150,150,0,6,80 228 91,0,102,0,0,1
107,zombi_host,156,1500,4,1280,640,150,250,0,6,80 228 91,0,102,0,0,1
108,zombi_host,180,1500,3,1560,780,150,250,0,6,80 228 91,0,102,0,0,1
109,zombi_host,204,1500,3,1840,920,150,250,0,6,80 228 91,0,102,0,0,1
110,zombi_host,228,1500,3,2120,1060,150,500,0,6,80 228 91,0,102,0,0,1
111,zombi_host,108,1500,3,720,360,150,500,0,6,80 228 91,0,102,0,0,1
112,zombi_host,132,1500,3,1000,500,150,500,0,6,80 228 91,0,102,0,0,1
113,zombi_host,156,1500,3,1280,640,150,500,0,6,80 228 91,0,102,0,0,1
114,zombi_host,180,1500,3,1560,780,150,500,0,6,80 228 91,0,102,0,0,1
155,zombiedog,50,70,3,460,230,310,0,0,12,255 255 255,0,144,0,0,1
156,zombiedog,66,70,3,740,370,310,0,0,12,255 255 255,0,144,0,0,1
157,zombiedog,82,70,3,1020,510,310,0,0,12,255 255 255,0,144,0,0,1
158,zombiedog,98,70,3,1300,650,310,0,0,12,255 255 255,0,144,0,0,1
159,zombiedog,114,70,3,1580,790,310,0,0,12,255 255 255,0,144,0,0,1
160,zombiedog,130,70,3,1860,930,310,0,0,12,255 255 255,0,144,0,0,1
171,deimos_zombi_host,94,70,3,3000,1500,275,3000,0,8,255 255 255,0,144,0,0,1
172,deimos_zombi_host,118,70,3,6000,3000,275,3000,0,8,255 255 255,0,144,0,0,1
173,deimos_zombi_host,142,70,3,9000,4500,275,3000,0,8,255 255 255,0,144,0,0,1
174,deimos_zombi_host,166,70,3,12000,6000,275,3000,0,8,255 255 255,0,144,0,0,1
175,deimos_zombi_host,190,70,3,15000,7500,275,3000,0,8,255 255 255,0,144,0,0,1
176,deimos_zombi_host,214,70,3,18000,9000,275,3000,0,8,255 255 255,0,144,0,0,1
181,zbs_bossS_jun00,98,70,3,10000,5000,275,3500,0,5,255 255 255,0,144,0,0,1
182,zbs_bossS_jun00,142,70,3,15000,7500,275,3500,0,5,255 255 255,0,144,0,0,1
183,zbs_bossS_jun00,198,70,3,24000,12000,275,3500,0,5,255 255 255,0,144,0,0,1
201,zombi_host,30,70,4,260,130,270,0,0,0,128 128 64 ,0,101,0,0,1
202,zombi_host,36,70,4,320,160,270,0,0,0,128 128 64 ,0,101,0,0,1
203,zombi_origin,42,70,4,400,200,270,0,0,0,128 128 64 ,0,101,0,0,1
204,zombi_origin,48,70,4,500,250,270,0,0,0,128 128 64 ,0,101,0,0,1
205,zombi_host,54,70,4,640,320,270,0,0,0,128 128 64 ,0,101,0,0,1
206,zombi_host,60,70,4,800,400,270,0,0,0,128 128 64 ,0,101,0,0,1
207,zombi_origin,70,70,4,960,480,270,0,0,0,128 128 64 ,0,101,0,0,1
208,zombi_origin,80,70,4,1100,550,270,0,0,0,128 128 64 ,0,101,0,0,1
209,zombi_host,92,70,3,1260,630,270,0,0,0,128 128 64 ,0,101,0,0,1
210,zombi_host,104,70,3,1480,740,270,0,0,0,128 128 64 ,0,101,0,0,1
211,zombi_origin,116,70,3,1700,850,270,0,0,0,128 128 64 ,0,101,0,0,1
212,zombi_origin,128,70,3,1920,960,270,0,0,0,128 128 64 ,0,101,0,0,1
213,zombi_host,140,70,3,2140,1070,270,0,0,0,128 128 64 ,0,101,0,0,1
214,zombi_host,152,70,3,2360,1180,270,0,0,0,128 128 64 ,0,101,0,0,1
