team,min x,min y,max x,max y,
0,2560,-2176,3392,-1408,
0,3072,-640,3520,64,
0,384,1664,2176,3136,
0,-2816,2560,-2112,2944,
0,-3584,-320,-3136,576,
0,-1848,-2264,-1736,-2152,망루1_1
0,-440,-2360,-328,-2248,망루1_2
0,-752,-2384,-688,-2320,안테나1
0,-688,-3088,-592,-3056,콘크리트정제소1
0,-1475,-2800,-1408,-2704,작업대1
0,-664,-2192,-600,-2160,발전기1
0,-408,-2960,-344,-2928,발전기2
0,-1816,-2448,-1752,-2416,발전기4
0,-2072,-3088,-2008,-3056,발전기3
0,-1408,-2816,-896,-2496,쉘터지역
0,1648,280,2016,488,상점1
0,-2816,-488,-2344,-280,상점2
0,-1120,-1176,-792,-792,상점3
