temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
휘두르기약100-75,1002,3,3,3,2.7,zbs_attack1,0.93,80,90,5,9,4,0,15,75,100,5,-1,400,250,0
휘두르기약75-50,1002,3,2,3,2.7,zbs_attack1,0.93,100,90,5,9,4,0,15,50,74,5,-1,500,250,0
휘두르기강50-25,1002,3,2,3,2.7,knife_attack1,0.66,130,120,5,11,4,0,15,25,49,5,-1,600,280,0
휘두르기강25-0,1002,3,2,3,2.7,knife_attack1,0.66,160,120,5,11,4,0,15,0,24,5,-1,700,290,0
휘두르기2약100-75,1002,4,3,3,2,zbs_attack2,0.26,65,120,5,7,4,0,15,75,100,5,-1,400,250,0
휘두르기2약75-50,1002,4,2,3,2,zbs_attack2,0.26,110,120,5,7,4,0,15,50,74,5,-1,500,250,0
휘두르기2강50-25,1002,4,2,3,2,knife_attack2,0.23,90,180,5,9,4,0,15,25,49,5,-1,600,280,0
휘두르기2강25-0,1002,4,2,3,2,knife_attack2,0.23,130,180,5,9,4,0,15,0,24,5,-1,700,290,0
리프어택약100-75,1002,5,1,10,4,zbs_attack3,0.5,80,0,5,10,0,12,1000,75,100,0,-1,600,200,30
리프어택약75-50,1002,5,1,10,4,zbs_attack3,0.5,110,0,5,11,0,12,1000,50,74,0,-1,650,200,30
리프어택걍50-25,1002,5,1,10,4,knife_attack3,0.5,150,0,5,14,0,12,1000,25,49,0,-1,700,200,30
리프어택걍25-0,1002,5,1,10,4,knife_attack3,0.5,200,0,5,16,0,12,1000,0,24,0,-1,750,200,30
리프어택약99,1002,5,255,999999,4,zbs_attack3,0.5,50,0,5,10,0,0,1000,90,99,0,-1,800,200,30
블랙홀약100-75,1002,6,1,10,6,zbs_attack_hole,5,95,0,5,10,0,12,1000,75,100,0,-1,650,250,250
블랙홀약75-50,1002,6,1,10,6,zbs_attack_hole,5,130,0,5,11,0,12,1000,50,74,0,-1,600,250,300
블랙홀강50-25,1002,6,1,10,6,knife_attack_hole,5,190,0,5,14,0,12,1000,25,49,0,-1,700,250,380
블랙홀강25-0,1002,6,1,10,6,knife_attack_hole,5,250,0,5,16,0,12,1000,0,24,0,-1,800,250,450
블랙홀약99,1002,6,254,999999,6,zbs_attack_hole,5,50,0,5,10,0,0,1000,90,99,0,-1,800,200,400
폭격약100-75,1002,7,1,20,11,zbs_attack_bomb,3,30,0,0,5,0,12,1000,75,100,0,-1,200,150,0
폭격약75-50,1002,7,1,20,11,zbs_attack_bomb,3,60,0,0,6,0,12,1000,50,74,0,-1,200,150,0
폭격강50-25,1002,7,1,20,11,knife_attack_bomb,3,110,0,0,8,0,12,1000,25,49,0,-1,200,150,0
폭격강25-0,1002,7,1,20,11,knife_attack_bomb,3,170,0,0,9,0,12,1000,0,24,0,-1,200,150,0
등장(타이탄),1004,61,255,999999,10,scene_appear1,0.56,0,0,0,0,0,0,10000,0,100,10000,855,0,0,0
고체력 좁은 캐논 공격(rushPower: 캐논 숫자 배수),1004,62,10,15,1.4,zbs_cannon_ready,1,30,0,0,0,3,6,35,75,100,20,-1,100,100,1
중체력 좁은 캐논 공격(rushPower: 캐논 숫자 배수),1004,62,10,15,1.4,zbs_cannon_ready,1,45,0,0,0,3,6,35,30,75,20,-1,100,100,2
저체력 좁은 캐논 공격(rushPower: 캐논 숫자 배수),1004,62,10,10,1.4,zbs_cannon_ready,1,80,0,0,0,3,6,35,0,30,20,-1,100,100,3
고체력 넓은 캐논 공격(rushPower: 캐논 숫자 배수),1004,63,10,10,6.467,zbs_cannon2,0.867,35,0,0,0,3,6,35,75,100,20,-1,100,100,1
중체력 넓은 캐논 공격(rushPower: 캐논 숫자 배수),1004,63,10,10,6.467,zbs_cannon2,0.867,55,0,0,0,3,6,35,30,75,20,-1,100,100,2
저체력 넓은 캐논 공격(rushPower: 캐논 숫자 배수),1004,63,10,10,6.467,zbs_cannon2,0.867,85,0,0,0,3,6,35,0,30,20,-1,100,100,3
돌진,1004,68,20,10,1.2,zbs_dash_ready,1,350,0,0,0,3,5,100,0,100,15,-1,1000,500,2000
고체력 넓게 지뢰 뿌리기(rushPower: 지뢰 숫자 배수),1004,64,10,10,5.1,zbs_landmine1,1,65,180,5,8,1,0,35,50,100,20,-1,100,500,1
저체력 넓게 지뢰 뿌리기(rushPower: 지뢰 숫자 배수),1004,64,10,10,5.1,zbs_landmine1,1,90,180,5,8,1,0,35,0,50,20,-1,100,500,2
고체력 일렬로 지뢰 뿌리기(rushPower: 지뢰 숫자),1004,65,10,15,4.5,zbs_landmine2,1,120,0,0,0,1,0,35,50,100,20,-1,100,500,14
저체력 일렬로 지뢰 뿌리기(rushPower: 지뢰 숫자),1004,65,10,15,4.5,zbs_landmine2,1,200,0,0,0,1,0,35,0,50,20,-1,100,500,28
펀치,1004,66,10,10,3.3,zbs_attack1,1.4,80,120,5,10,3,0,10,0,100,6,-1,2000,500,0
어퍼컷,1004,67,10,10,3.4,zbs_attack2,1,130,120,5,8,3,0,10,0,100,5,-1,100,2000,0
