id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1,zombi_host,15,70,4,100,100,160,0,0,0,255 255 255,0,101,0,0,1
2,zombi_origin,18,70,4,130,130,160,0,0,0,255 255 255,0,101,0,0,1
3,zombi_host,21,70,4,155,155,160,0,0,0,255 255 255,0,101,0,0,1
4,zombi_origin,24,70,4,200,200,160,0,0,0,255 255 255,0,101,0,0,1
5,zombi_host,27,70,4,245,245,160,0,0,0,255 255 255,0,101,0,0,1
6,zombi_origin,30,70,4,290,290,160,0,0,0,255 255 255,0,101,0,0,1
7,zombi_host,35,70,4,360,360,160,0,0,0,255 255 255,0,101,0,0,1
8,zombi_origin,40,70,4,420,420,160,0,0,0,255 255 255,0,101,0,0,1
9,zombi_host,45,70,3,500,500,160,0,0,0,255 255 255,0,101,0,0,1
10,zombi_origin,50,70,3,625,625,160,0,0,0,255 255 255,0,101,0,0,1
11,zombi_host,55,70,3,725,725,160,0,0,0,255 255 255,0,101,0,0,1
12,zombi_origin,60,70,3,825,825,160,0,0,0,255 255 255,0,101,0,0,1
13,zombi_host,65,70,3,925,925,160,0,0,0,255 255 255,0,101,0,0,1
14,zombi_origin,70,70,3,1025,1025,160,0,0,0,255 255 255,0,101,0,0,1
15,zombi_host,75,70,3,1300,1300,160,0,0,0,255 255 255,0,101,0,0,1
16,zombi_origin,80,70,3,1400,1400,160,0,0,0,255 255 255,0,101,0,0,1
17,zombi_host,85,70,3,1500,1500,160,0,0,0,255 255 255,0,101,0,0,1
18,zombi_origin,90,70,3,1600,1600,160,0,0,0,255 255 255,0,101,0,0,1
19,zombi_host,95,70,3,1700,1700,160,0,0,0,255 255 255,0,101,0,0,1
20,zombi_origin,100,70,3,1800,1800,160,0,0,0,255 255 255,0,101,0,0,1
22,speed_zombi_host,15,70,3,100,100,200,0,0,0,255 255 255,0,110,0,0,1
23,speed_zombi_host,21,70,3,170,170,200,0,0,0,255 255 255,0,110,0,0,1
24,speed_zombi_origin,27,70,3,270,270,200,0,0,0,255 255 255,0,110,0,0,1
25,speed_zombi_origin,33,70,3,400,400,200,0,0,0,255 255 255,0,110,0,0,1
