id,team,BuildingAttibute,x,y,angle,,,,,,
1,2,1,-1792,-2208,2,shelter_team_staticbuilding_1_on,shelter_team_staticbuilding_1_off,shelter_team_staticbuilding_1_ladder,shelter_team_staticbuilding_1_wall1,망루1,1
2,2,1,-384,-2304,2,shelter_team_staticbuilding_2_on,shelter_team_staticbuilding_2_off,shelter_team_staticbuilding_2_ladder,shelter_team_staticbuilding_2_wall1,망루2,1
3,2,2,-1440,-2752,3,shelter_team_staticbuilding_3_on,shelter_team_staticbuilding_3_off,,,작업실,1
4,2,5,-720,-2352,0,shelter_team_staticbuilding_4_on,shelter_team_staticbuilding_4_off,,,통신탑,1
5,2,4,-640,-3072,0,shelter_team_staticbuilding_5_on,shelter_team_staticbuilding_5_off,,,콘크리트정제소,1
6,2,6,-640,-2176,0,shelter_team_staticbuilding_6_on,shelter_team_staticbuilding_6_off,,,발전기1,1
7,2,6,-384,-2944,0,shelter_team_staticbuilding_7_on,shelter_team_staticbuilding_7_off,,,발전기2,1
8,2,6,-2048,-3072,0,shelter_team_staticbuilding_8_on,shelter_team_staticbuilding_8_off,,,발전기3,1
9,2,6,-1792,-2432,0,shelter_team_staticbuilding_9_on,shelter_team_staticbuilding_9_off,,,발전기4,1
10,1,1,1888,2064,0,shelter_team_staticbuilding_10_on,shelter_team_staticbuilding_10_off,shelter_team_staticbuilding_10_ladder,shelter_team_staticbuilding_10_wall1,망루1,2
11,1,1,336,2176,0,shelter_team_staticbuilding_11_on,shelter_team_staticbuilding_11_off,shelter_team_staticbuilding_11_ladder,shelter_team_staticbuilding_11_wall1,망루2,2
12,1,2,1472,2608,1,shelter_team_staticbuilding_12_on,shelter_team_staticbuilding_12_off,,,작업실,2
13,1,5,1312,3040,0,shelter_team_staticbuilding_13_on,shelter_team_staticbuilding_13_off,,,통신탑,2
14,1,4,768,3072,0,shelter_team_staticbuilding_14_on,shelter_team_staticbuilding_14_off,,,콘크리트정제소,2
15,1,6,800,2432,0,shelter_team_staticbuilding_15_on,shelter_team_staticbuilding_15_off,,,발전기1,2
16,1,6,768,2816,0,shelter_team_staticbuilding_16_on,shelter_team_staticbuilding_16_off,,,발전기2,2
17,1,6,2048,2944,0,shelter_team_staticbuilding_17_on,shelter_team_staticbuilding_17_off,,,발전기3,2
18,1,6,2048,2304,0,shelter_team_staticbuilding_18_on,shelter_team_staticbuilding_18_off,,,발전기4,2
