temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
등장(타이탄),1004,61,255,999999,10,scene_appear1,0.56,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
고체력 좁은 캐논 공격(rushPower: 캐논 숫자 배수),1004,62,10,10,1.4,zbs_cannon_ready,1,20,0,0,0,3,6,30,75,100,20,-1,100,100,1
중체력 좁은 캐논 공격(rushPower: 캐논 숫자 배수),1004,62,10,10,1.4,zbs_cannon_ready,1,25,0,0,0,3,6,30,30,75,20,-1,100,100,2
저체력 좁은 캐논 공격(rushPower: 캐논 숫자 배수),1004,62,10,10,1.4,zbs_cannon_ready,1,45,0,0,0,3,6,30,0,30,20,-1,100,100,3
고체력 넓은 캐논 공격(rushPower: 캐논 숫자 배수),1004,63,10,10,6.467,zbs_cannon2,0.867,25,0,0,0,3,6,30,75,100,20,-1,100,100,1
중체력 넓은 캐논 공격(rushPower: 캐논 숫자 배수),1004,63,10,10,6.467,zbs_cannon2,0.867,35,0,0,0,3,6,30,30,75,20,-1,100,100,2
저체력 넓은 캐논 공격(rushPower: 캐논 숫자 배수),1004,63,10,10,6.467,zbs_cannon2,0.867,45,0,0,0,3,6,30,0,30,20,-1,100,100,3
돌진,1004,68,10,10,1.2,zbs_dash_ready,1,350,0,0,0,3,0,30,0,100,15,-1,1000,500,2000
고체력 넓게 지뢰 뿌리기(rushPower: 지뢰 숫자 배수),1004,64,10,10,5.1,zbs_landmine1,1,45,180,5,8,1,0,30,50,100,20,-1,100,500,1
저체력 넓게 지뢰 뿌리기(rushPower: 지뢰 숫자 배수),1004,64,10,10,5.1,zbs_landmine1,1,50,180,5,8,1,0,30,0,50,20,-1,100,500,2
고체력 일렬로 지뢰 뿌리기(rushPower: 지뢰 숫자),1004,65,10,10,4.5,zbs_landmine2,1,100,0,0,0,1,0,30,50,100,20,-1,100,500,14
저체력 일렬로 지뢰 뿌리기(rushPower: 지뢰 숫자),1004,65,10,10,4.5,zbs_landmine2,1,150,0,0,0,1,0,30,0,50,20,-1,100,500,28
펀치,1004,66,10,10,3.3,zbs_attack1,1.4,70,120,5,10,3,0,10,0,100,6,-1,2000,500,0
어퍼컷,1004,67,10,10,3.4,zbs_attack2,1,75,120,5,8,3,0,10,0,100,5,-1,100,2000,0
