waveID,intervalTime,zombi,specialzombi,eventmessage
1,6,1,,
1,9999,9999,865,
1,9999,501,5000,
1,9999,501,5001,
1,9999,501,5002,
1,9999,501,5003,
1,9999,516,5004,
2,13,2,,
2,9999,9999,858,
3,5,1,,
3,5,3,,
3,9999,9999,861,
3,9999,501,5000,
3,9999,501,5001,
3,9999,501,5002,
3,9999,501,5003,
3,9999,516,5004,
3,9999,30800,201,
4,12,2,,
4,12,4,,
5,5,1,,
5,6,2,,
5,9999,9999,862,
5,9999,502,5000,
5,9999,502,5001,
5,9999,502,5002,
5,9999,502,5003,
5,9999,516,5004,
5,9999,517,,
5,5,33,,
6,22,199,,
6,11,2,,
6,11,4,,
6,11,34,,
7,5,5,,
7,5,35,,
7,5,33,,
7,9999,503,5000,
7,9999,503,5001,
7,9999,503,5002,
7,9999,502,5003,
7,9999,516,5004,
8,11,6,,
8,12,8,,
8,11,34,,.
8,12,36,,
8,19,200,,
9,9999,504,5000,
9,9999,504,5001,
9,9999,504,5002,
9,9999,504,5003,
9,9999,516,5004,
9,5,5,,
9,6,7,,
9,5,37,,
9,6,39,,
9,15,200,,
10,9999,516,,
10,206,25,,
10,11,6,,
10,12,8,,
10,11,38,,
10,12,40,,
11,9999,505,5000,
11,9999,505,5001,
11,9999,505,5002,
11,9999,505,5003,
11,9999,516,5004,
11,6,5,,
11,5,7,,
11,6,37,,
11,5,39,,
11,6,65,,
12,11,6,,
12,12,8,,
12,10,38,,
12,11,40,,
12,15,223,,
13,9999,506,5000,
13,9999,506,5001,
13,9999,506,5002,
13,9999,506,5003,
13,9999,516,5004,
13,6,9,,
13,5,11,,
13,6,41,,
13,5,43,,
13,6,73,,
13,5,75,,
14,25,202,,
14,10,10,,
14,11,12,,
14,11,42,,
14,12,44,,
14,11,74,,
15,9999,506,5000,
15,9999,506,5001,
15,9999,506,5002,
15,9999,506,5003,
15,9999,517,5004,
15,6,9,,
15,5,11,,
15,6,41,,
15,7,43,,
15,6,73,,
15,7,75,,
16,10,10,,
16,11,12,,
16,10,42,,
16,11,44,,
16,10,74,,
16,18,202,,
16,11,76,,
16,13,225,,
17,9999,508,5000,
17,9999,508,5001,
17,9999,508,5002,
17,9999,508,5003,
17,9999,517,5004,
17,6,9,,
17,5,11,,
17,6,41,,
17,7,43,,
17,6,73,,
17,7,75,,
18,9,10,,
18,10,12,,
18,9,42,,
18,10,44,,
18,9,74,,
18,10,76,,
18,25,502,,
19,9999,509,5000,
19,9999,509,5001,
19,9999,509,5002,
19,9999,509,5003,
19,9999,518,5004,
19,6,9,,
19,5,11,,
19,6,41,,
19,7,43,,
19,6,73,,
19,7,75,,
20,9999,517,,
20,9,10,,
20,10,12,,
20,9,42,,
20,10,44,,
20,9,74,,
20,10,76,,
21,9999,509,5000,
21,9999,509,5001,
21,9999,509,5002,
21,9999,509,5003,
21,9999,518,5004,
21,6,9,,
21,5,11,,
21,6,41,,
21,7,43,,
21,6,73,,
21,7,75,,
21,8,161,,
22,7,10,,
22,8,12,,
22,7,98,,
22,8,100,,
22,7,74,,
22,8,76,,
22,7,162,,
23,9999,511,5000,
23,9999,511,5001,
23,9999,511,5002,
23,9999,511,5003,
23,9999,518,5004,
23,7,9,,
23,8,11,,
23,7,41,,
23,8,43,,
23,7,97,,
23,8,99,,
23,7,161,,
23,6,137,,
24,12,211,,
24,7,92,,
24,8,100,,
24,7,74,,
24,8,76,,
24,7,162,,
24,7,138,,
25,9999,510,5000,
25,9999,510,5001,
25,9999,510,5002,
25,9999,510,5003,
25,9999,526,5004,
25,7,9,,
25,8,11,,
25,7,41,,
25,8,43,,
25,7,73,,
25,8,75,,
25,7,161,,
25,6,141,,
25,8,101,,
26,8,224,,
26,9,226,,
26,6,142,,
26,7,102,,
26,6,144,,
26,7,104,,
26,6,78,,
26,7,80,,
26,12,212,,
27,9999,513,5000,
27,9999,513,5001,
27,9999,513,5002,
27,9999,513,5003,
27,9999,527,5004,
27,5,165,,
27,6,45,,
27,5,47,,
27,6,77,,
27,5,79,,
27,6,109,,
27,5,111,,
28,7,226,,
28,6,228,,
28,7,46,,
28,6,48,,
28,7,78,,
28,6,80,,
28,7,110,,
28,6,112,,
28,5,166,,
29,9999,507,5000,
29,9999,507,5001,
29,9999,507,5002,
29,9999,507,5003,
29,9999,517,5004,
29,35,503,,
29,35,503,,
29,35,503,,
29,35,503,,
29,9999,526,,
29,6,167,,
29,5,81,,
29,6,83,,
29,5,17,,
29,6,19,,
30,9999,517,5000,
30,9999,517,5001,
30,35,503,,
30,35,504,,
30,35,504,,
30,35,503,,
30,9999,526,,
30,6,168,,
30,5,82,,
30,6,84,,
30,5,18,,
30,6,20,,
30,12,213,,
31,9999,507,5000,
31,9999,507,5001,
31,9999,507,5002,
31,9999,507,5003,
31,9999,517,5004,
31,4,17,,
31,5,19,,
31,4,49,,
31,5,51,,
31,4,81,,
31,5,83,,
31,5,207,,
32,6,18,,
32,7,20,,
32,6,50,,
32,7,52,,
32,6,82,,
32,7,84,,
32,7,210,,
32,6,208,,
33,9999,508,5000,
33,9999,508,5001,
33,9999,508,5002,
33,9999,508,5003,
33,9999,517,5004,
33,4,145,,
33,5,147,,
33,4,109,,
33,5,111,,
33,4,167,,
33,5,207,,
33,5,209,,
34,5,146,,
34,6,148,,
34,6,110,,
34,7,112,,
34,6,168,,
34,7,208,,
34,7,210,,
35,9999,508,5000,
35,9999,508,5001,
35,9999,508,5002,
35,9999,508,5003,
35,9999,517,5004,
35,4,17,,
35,5,19,,
35,4,53,,
35,5,55,,
35,4,81,,
35,5,83,,
35,4,113,,
35,5,115,,
35,4,145,,
35,5,147,,
35,4,167,,
35,5,179,,
35,4,181,,
35,5,209,,
36,5,18,,
36,6,20,,
36,5,54,,
36,6,56,,
36,5,82,,
36,6,84,,
36,5,114,,
36,6,116,,
36,5,146,,
36,6,148,,
36,5,168,,
36,6,180,,
36,5,182,,
36,6,210,,
37,9999,508,5000,
37,9999,508,5001,
37,9999,508,5002,
37,9999,508,5003,
37,9999,517,5004,
37,5,183,,
37,6,185,,
37,5,211,,
37,6,213,,
37,4,19,,
37,5,21,,
38,25,507,,
38,26,507,,
38,5,184,,
38,6,186,,
38,5,212,,
38,6,214,,
38,5,20,,
38,6,22,,
39,9999,509,5000,
39,9999,509,5001,
39,9999,509,5002,
39,9999,509,5003,
39,9999,518,5004,
39,4,19,,
39,5,21,,
39,4,53,,
39,6,55,,
39,4,89,,
39,5,91,,
39,4,117,,
39,6,119,,
39,6,153,,
39,7,155,,
39,5,169,,
39,5,185,,
39,4,187,,
39,5,211,,
39,6,213,,
40,5,20,,
40,6,22,,
40,5,54,,
40,6,56,,
40,4,90,,
40,5,92,,
40,5,118,,
40,6,120,,
