id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1000,zbs_bossL_big00,1,300,2,22500,22500,210,30000,1,1000,255 255 255,0,170,2,0,3
1001,zbs_bossL_big01,1,300,2,25500,25500,215,31000,1,1001,255 255 255,0,171,2,0,3
30200,zbs_bossL_big02,1,300,2,27000,27000,220,32000,0,1002,255 255 255,0,172,0,0,3
30800,zbs_bossL_big07,1,300,2,30000,30000,220,32000,2,1004,255 255 255,0,178,0,100,3
1,zombi_host,8,70,4,70,70,140,0,0,0,255 255 255,0,101,0,0,1
2,zombi_host,12,70,4,70,70,310,0,0,0,128 128 64 ,0,101,0,0,1
3,zombi_origin,10,70,4,80,80,140,0,0,0,255 255 255,0,101,0,0,1
4,zombi_origin,15,70,4,80,80,320,0,0,0,128 128 64 ,0,101,0,0,1
5,zombi_host,13,70,4,85,85,140,0,0,0,255 255 255,0,101,0,0,1
6,zombi_host,17,70,4,85,85,320,0,0,0,128 128 64 ,0,101,0,0,1
7,zombi_origin,15,70,4,100,100,140,0,0,0,255 255 255,0,101,0,0,1
8,zombi_origin,20,70,4,100,100,320,0,0,0,128 128 64 ,0,101,0,0,1
9,zombi_host,18,70,3,100,100,155,0,0,0,255 255 255,0,101,0,0,1
10,zombi_host,22,70,3,100,100,320,0,0,0,128 128 64 ,0,101,0,0,1
11,zombi_origin,20,70,3,120,120,155,0,0,0,255 255 255,0,101,0,0,1
12,zombi_origin,25,70,3,120,120,320,0,0,0,128 128 64 ,0,101,0,0,1
13,zombi_host,23,70,3,115,115,160,0,0,0,255 255 255,0,101,0,0,1
14,zombi_host,27,70,3,115,115,320,0,0,0,128 128 64 ,0,101,0,0,1
15,zombi_origin,25,70,3,140,140,160,0,0,0,255 255 255,0,101,0,0,1
16,zombi_origin,30,70,3,140,140,320,0,0,0,128 128 64 ,0,101,0,0,1
17,zombi_host,28,70,3,130,130,160,0,0,0,255 255 255,0,101,0,0,1
18,zombi_host,32,70,3,130,130,320,0,0,0,128 128 64 ,0,101,0,0,1
19,zombi_origin,30,70,3,160,160,160,0,0,0,255 255 255,0,101,0,0,1
20,zombi_origin,35,70,3,160,160,320,0,0,0,128 128 64 ,0,101,0,0,1
21,zombi_host,33,70,3,145,145,160,0,0,0,255 255 255,0,101,0,0,1
22,zombi_host,37,70,3,145,145,320,0,0,0,128 128 64 ,0,101,0,0,1
23,zombi_origin,35,70,3,180,180,160,0,0,0,255 255 255,0,101,0,0,1
24,zombi_origin,40,70,3,180,180,320,0,0,0,128 128 64 ,0,101,0,0,1
25,zombi_host,38,70,3,160,160,160,0,0,0,255 255 255,0,101,0,0,1
26,zombi_host,42,70,3,160,160,320,0,0,0,128 128 64 ,0,101,0,0,1
27,zombi_origin,40,70,3,195,195,160,0,0,0,255 255 255,0,101,0,0,1
28,zombi_origin,45,70,3,200,200,320,0,0,0,128 128 64 ,0,101,0,0,1
29,zombi_host,43,70,3,180,180,160,0,0,0,255 255 255,0,101,0,0,1
30,zombi_host,47,70,3,175,175,320,0,0,0,128 128 64 ,0,101,0,0,1
31,zombi_origin,45,70,3,210,210,160,0,0,0,255 255 255,0,101,0,0,1
32,zombi_origin,50,70,3,220,220,320,0,0,0,128 128 64 ,0,101,0,0,1
33,speed_zombi_host,15,65,3,60,60,145,0,0,2,255 255 255,0,110,0,0,1
34,speed_zombi_host,15,65,3,60,60,350,0,0,2,128 128 64 ,0,110,0,0,1
35,speed_zombi_origin,20,65,3,65,65,145,0,0,2,255 255 255,0,101,0,0,1
36,speed_zombi_origin,20,65,3,65,65,350,0,0,2,128 128 64 ,0,101,0,0,1
37,speed_zombi_host,25,65,3,75,75,145,0,0,2,255 255 255,0,111,0,0,1
38,speed_zombi_host,25,65,3,75,75,350,0,0,2,128 128 64 ,0,111,0,0,1
39,speed_zombi_origin,30,65,2,80,80,145,0,0,2,255 255 255,0,111,0,0,1
40,speed_zombi_origin,30,65,2,80,80,350,0,0,2,128 128 64 ,0,111,0,0,1
41,speed_zombi_host,35,65,2,90,90,145,0,0,2,255 255 255,0,111,0,0,1
42,speed_zombi_host,35,65,2,90,90,350,0,0,2,128 128 64 ,0,111,0,0,1
43,speed_zombi_origin,40,65,2,95,95,145,0,0,2,255 255 255,0,111,0,0,1
44,speed_zombi_origin,40,65,2,95,95,350,0,0,2,128 128 64 ,0,111,0,0,1
45,speed_zombi_host,45,65,2,105,105,145,0,0,0,255 255 255,0,111,0,0,1
46,speed_zombi_host,45,65,2,105,105,350,0,0,0,128 128 64 ,0,111,0,0,1
47,speed_zombi_origin,50,65,2,110,110,145,0,0,0,255 255 255,0,111,0,0,1
48,speed_zombi_origin,50,65,2,110,110,350,0,0,0,128 128 64 ,0,111,0,0,1
49,speed_zombi_host,55,65,2,120,120,145,0,0,0,255 255 255,0,111,0,0,1
50,speed_zombi_host,55,65,2,120,120,350,0,0,0,128 128 64 ,0,111,0,0,1
51,speed_zombi_origin,60,65,2,125,125,145,0,0,0,255 255 255,0,111,0,0,1
52,speed_zombi_origin,60,65,2,125,125,350,0,0,0,128 128 64 ,0,111,0,0,1
53,speed_zombi_host,65,65,2,135,135,145,0,0,0,255 255 255,0,111,0,0,1
54,speed_zombi_host,65,65,2,135,135,350,0,0,0,128 128 64 ,0,111,0,0,1
55,speed_zombi_origin,70,65,2,140,140,145,0,0,0,255 255 255,0,111,0,0,1
56,speed_zombi_origin,70,65,2,140,140,350,0,0,0,128 128 64 ,0,111,0,0,1
57,speed_zombi_host,75,65,2,150,150,145,0,0,0,255 255 255,0,111,0,0,1
58,speed_zombi_host,75,65,2,150,150,350,0,0,0,128 128 64 ,0,111,0,0,1
59,speed_zombi_origin,80,65,2,155,155,145,0,0,0,255 255 255,0,111,0,0,1
60,speed_zombi_origin,80,65,2,155,155,350,0,0,0,128 128 64 ,0,111,0,0,1
61,speed_zombi_host,85,65,2,165,165,145,0,0,0,255 255 255,0,111,0,0,1
62,speed_zombi_host,85,65,2,165,165,350,0,0,0,128 128 64 ,0,111,0,0,1
63,speed_zombi_origin,90,65,2,170,170,145,0,0,0,255 255 255,0,111,0,0,1
64,speed_zombi_origin,90,65,2,170,170,350,0,0,0,128 128 64 ,0,111,0,0,1
65,heavy_zombi_host,15,70,4,150,150,120,0,0,0,255 255 255,0,121,0,0,1
66,heavy_zombi_host,15,100,3,150,150,295,0,0,3,128 128 64 ,0,121,0,0,1
67,heavy_zombi_origin,20,70,4,175,175,130,0,0,0,255 255 255,0,121,0,0,1
68,heavy_zombi_origin,20,100,3,175,175,295,0,0,3,128 128 64 ,0,121,0,0,1
69,heavy_zombi_host,20,70,4,185,185,130,0,0,0,255 255 255,0,121,0,0,1
70,heavy_zombi_host,20,100,3,185,185,295,0,0,3,128 128 64 ,0,121,0,0,1
71,heavy_zombi_origin,26,70,4,220,220,130,0,0,0,255 255 255,0,121,0,0,1
72,heavy_zombi_origin,26,100,3,230,230,295,0,0,3,128 128 64 ,0,121,0,0,1
73,heavy_zombi_host,25,70,4,220,220,130,0,0,0,255 255 255,0,121,0,0,1
74,heavy_zombi_host,25,100,3,220,220,295,0,0,3,128 128 64 ,0,121,0,0,1
75,heavy_zombi_origin,32,70,4,275,275,130,0,0,3,255 255 255,0,121,0,0,1
76,heavy_zombi_origin,32,100,3,265,265,295,0,0,3,128 128 64 ,0,121,0,0,1
77,heavy_zombi_host,30,70,4,255,255,130,0,0,3,255 255 255,0,121,0,0,1
78,heavy_zombi_host,30,100,3,255,255,295,0,0,3,128 128 64 ,0,121,0,0,1
79,heavy_zombi_origin,38,70,4,310,310,130,0,0,3,255 255 255,0,121,0,0,1
80,heavy_zombi_origin,38,100,3,300,300,295,0,0,3,128 128 64 ,0,121,0,0,1
81,heavy_zombi_host,35,70,4,290,290,130,0,0,3,255 255 255,0,121,0,0,1
82,heavy_zombi_host,35,100,3,290,290,295,0,0,3,128 128 64 ,0,121,0,0,1
83,heavy_zombi_origin,44,70,4,345,345,130,0,0,3,255 255 255,0,121,0,0,1
84,heavy_zombi_origin,44,100,3,335,335,295,0,0,3,128 128 64 ,0,121,0,0,1
85,heavy_zombi_host,40,70,4,325,325,130,0,0,3,255 255 255,0,121,0,0,1
86,heavy_zombi_host,40,100,3,325,325,295,0,0,3,128 128 64 ,0,121,0,0,1
87,heavy_zombi_origin,50,70,4,380,380,130,0,0,3,255 255 255,0,121,0,0,1
88,heavy_zombi_origin,50,100,3,370,370,295,0,0,3,128 128 64 ,0,121,0,0,1
89,heavy_zombi_host,45,70,4,360,360,130,0,0,3,255 255 255,0,121,0,0,1
90,heavy_zombi_host,45,100,3,360,360,295,0,0,3,128 128 64 ,0,121,0,0,1
91,heavy_zombi_origin,56,70,4,415,415,130,0,0,3,255 255 255,0,121,0,0,1
92,heavy_zombi_origin,56,100,3,405,405,295,0,0,3,128 128 64 ,0,121,0,0,1
93,heavy_zombi_host,50,70,4,395,395,130,0,0,3,255 255 255,0,121,0,0,1
94,heavy_zombi_host,50,100,3,395,395,295,0,0,3,128 128 64 ,0,121,0,0,1
95,heavy_zombi_origin,62,70,4,450,450,130,0,0,3,255 255 255,0,121,0,0,1
96,heavy_zombi_origin,62,100,3,440,440,295,0,0,3,128 128 64 ,0,121,0,0,1
97,pc_zombi_host,10,60,5,70,70,275,0,0,0,255 255 255,0,131,0,0,1
98,pc_zombi_host,10,60,4,70,70,335,0,0,0,128 128 64 ,0,131,0,0,1
99,pc_zombi_origin,15,70,5,80,80,275,0,0,0,255 255 255,0,131,0,0,1
100,pc_zombi_origin,15,70,4,80,80,340,0,0,0,128 128 64 ,0,131,0,0,1
101,pc_zombi_host,15,60,5,85,85,275,0,0,0,255 255 255,0,131,0,0,1
102,pc_zombi_host,15,60,4,85,85,335,0,0,0,128 128 64 ,0,131,0,0,1
103,pc_zombi_origin,23,70,5,100,100,275,0,0,0,255 255 255,0,131,0,0,1
104,pc_zombi_origin,23,70,4,100,100,340,0,0,4,128 128 64 ,0,131,0,0,1
105,pc_zombi_host,20,60,5,100,100,275,0,0,4,255 255 255,0,131,0,0,1
106,pc_zombi_host,20,60,4,100,100,335,0,0,4,128 128 64 ,0,131,0,0,1
107,pc_zombi_origin,31,70,5,120,120,275,0,0,4,255 255 255,0,131,0,0,1
108,pc_zombi_origin,31,70,4,120,120,340,0,0,4,128 128 64 ,0,131,0,0,1
109,pc_zombi_host,25,60,5,115,115,275,0,0,0,255 255 255,0,131,0,0,1
110,pc_zombi_host,25,60,4,115,115,335,0,0,4,128 128 64 ,0,131,0,0,1
111,pc_zombi_origin,39,70,5,140,140,275,0,0,0,255 255 255,0,131,0,0,1
112,pc_zombi_origin,39,70,4,140,140,340,0,0,4,128 128 64 ,0,131,0,0,1
113,pc_zombi_host,30,60,5,130,130,275,0,0,0,255 255 255,0,131,0,0,1
114,pc_zombi_host,30,60,4,130,130,335,0,0,4,128 128 64 ,0,131,0,0,1
115,pc_zombi_origin,47,70,5,160,160,275,0,0,0,255 255 255,0,131,0,0,1
116,pc_zombi_origin,47,70,4,160,160,340,0,0,4,128 128 64 ,0,131,0,0,1
117,pc_zombi_host,35,60,5,145,145,275,0,0,0,255 255 255,0,131,0,0,1
118,pc_zombi_host,35,60,4,145,145,335,0,0,4,128 128 64 ,0,131,0,0,1
119,pc_zombi_origin,55,70,5,180,180,275,0,0,0,255 255 255,0,131,0,0,1
120,pc_zombi_origin,55,70,4,180,180,340,0,0,4,128 128 64 ,0,131,0,0,1
121,pc_zombi_host,40,60,5,160,160,275,0,0,0,255 255 255,0,131,0,0,1
122,pc_zombi_host,40,60,4,160,160,335,0,0,4,128 128 64 ,0,131,0,0,1
123,pc_zombi_origin,63,70,5,200,200,275,0,0,0,255 255 255,0,131,0,0,1
124,pc_zombi_origin,63,70,4,200,200,340,0,0,4,128 128 64 ,0,131,0,0,1
125,pc_zombi_host,45,60,5,175,175,275,0,0,0,255 255 255,0,131,0,0,1
