waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
50,9999,0,0,0,9999,1,43
50,9999,1,0,0,9999,1,193
50,9999,3,0,0,9999,1,194
50,9999,5,0,0,9999,1,195
50,9999,7,0,0,9999,1,196
1,1,0,21600,3,1,1,
1,2,0,21600,3,2,1,
1,3,0,21600,3,7,1,
1,4,0,21600,3,8,1,
1,5,0,21600,3,1,1,
1,6,0,21600,3,1,1,
1,7,0,21600,4,2,1,
1,8,0,21600,4,7,1,
1,9,0,21600,4,8,1,
1,10,0,21600,4,2,1,
1,11,0,21600,4,1,1,
1,12,0,21600,4,2,1,
1,13,0,21600,4,7,1,
1,14,0,21600,4,8,1,
2,7,0,21600,4,1,1,
2,8,0,21600,4,1,1,
2,9,0,21600,4,2,1,
2,10,0,21600,4,7,1,
2,11,0,21600,4,8,1,
2,12,0,21600,4,2,1,
2,13,0,21600,4,1,1,
2,14,0,21600,4,2,1,
2,15,0,21600,2,7,1,
2,16,0,21600,2,8,1,
2,17,0,21600,2,1,1,
2,18,0,21600,2,1,1,
2,19,0,21600,2,2,1,
2,20,0,21600,2,7,1,
2,21,0,21600,2,8,1,
2,22,0,21600,2,2,1,
2,23,0,21600,2,1,1,
2,24,0,21600,2,2,1,
2,25,0,21600,2,7,1,
2,26,0,21600,2,8,1,
2,27,0,21600,2,1,1,
2,28,0,21600,2,1,1,
3,29,0,21600,0,33,1,
3,30,0,21600,0,35,1,
4,9999,0,0,0,9999,1,43
4,9999,1,0,0,9999,1,197
4,33,0,21600,0,100,1,
4,34,0,21600,0,100,1,
5,19,0,21600,3,1,1,
5,20,0,21600,3,2,1,
5,21,0,21600,3,7,1,
5,22,0,21600,3,8,1,
5,23,0,21600,3,1,1,
5,24,0,21600,3,1,1,
5,31,0,21600,3,2,1,
5,32,0,21600,3,7,1,
5,35,0,21600,3,8,1,
5,36,0,21600,3,2,1,
5,37,0,21600,2,1,1,
5,38,0,21600,0,32,1,
6,31,0,21600,3,7,1,
6,32,0,21600,3,8,1,
6,35,0,21600,3,1,1,
6,36,0,21600,3,1,1,
6,37,0,21600,3,2,1,
6,38,0,21600,3,7,1,
7,35,0,21600,3,3,1,
7,36,0,21600,3,4,1,
7,37,0,21600,3,9,1,
7,38,0,21600,3,10,1,
7,39,0,21600,4,1,1,
7,40,0,21600,4,2,1,
7,41,0,21600,4,7,1,
7,42,0,21600,4,8,1,
7,43,0,21600,3,13,1,
7,44,0,21600,3,14,1,
7,45,0,21600,3,2,1,
7,46,0,21600,3,1,1,
8,9999,0,0,0,9999,1,43
8,9999,1,0,0,9999,1,199
8,39,0,21600,3,2,1,
8,40,0,21600,3,7,1,
8,41,0,21600,3,8,1,
8,42,0,21600,3,13,1,
8,43,0,21600,3,14,1,
8,44,0,21600,6,19,1,
8,45,0,21600,3,1,1,
8,46,0,21600,3,2,1,
8,47,0,21600,1,2,1,
8,48,0,21600,0,32,1,
9,47,0,21600,2,3,1,
9,48,0,21600,2,4,1,
9,49,0,21600,3,9,1,
9,50,0,21600,3,10,1,
10,47,0,21600,2,3,1,
10,48,0,21600,2,4,1,
10,49,0,21600,6,21,1,
10,50,0,21600,6,22,1,
10,51,0,21600,3,3,1,
10,52,0,21600,3,4,1,
10,53,0,21600,3,9,1,
10,54,0,21600,3,10,1,
11,51,0,21600,4,15,1,
11,52,0,21600,4,16,1,
11,53,0,21600,6,21,1,
11,54,0,21600,6,22,1,
11,55,0,21600,3,3,1,
11,56,0,21600,3,4,1,
11,57,0,21600,3,9,1,
11,58,0,21600,3,10,1,
12,55,0,21600,4,15,1,
12,56,0,21600,4,16,1,
12,57,0,21600,6,21,1,
12,58,0,21600,6,22,1,
12,59,0,21600,3,3,1,
12,60,0,21600,3,4,1,
12,61,0,21600,3,9,1,
12,62,0,21600,3,10,1,
13,59,0,21600,4,15,1,
13,60,0,21600,4,16,1,
13,61,0,21600,6,21,1,
13,62,0,21600,6,22,1,
13,63,0,21600,3,3,1,
13,64,0,21600,3,4,1,
13,65,0,21600,3,9,1,
13,66,0,21600,3,10,1,
13,67,0,21600,4,15,1,
13,68,0,21600,4,16,1,
14,65,0,21600,6,21,1,
14,66,0,21600,6,22,1,
14,67,0,21600,3,3,1,
14,68,0,21600,3,4,1,
14,69,0,21600,3,9,1,
14,70,0,21600,3,10,1,
14,71,0,21600,4,15,1,
14,72,0,21600,4,16,1,
15,69,0,21600,3,21,1,
15,70,0,21600,3,22,1,
15,71,0,21600,3,3,1,
15,72,0,21600,3,4,1,
15,73,0,21600,3,9,1,
15,74,0,21600,3,10,1,
15,75,0,21600,4,15,1,
15,76,0,21600,4,16,1,
15,77,0,21600,6,21,1,
15,78,0,21600,6,22,1,
16,73,0,21600,3,3,1,
16,74,0,21600,3,4,1,
16,75,0,21600,3,9,1,
16,76,0,21600,3,10,1,
16,79,0,21600,4,15,1,
16,80,0,21600,4,16,1,
16,81,0,21600,6,21,1,
16,82,0,21600,6,22,1,
17,79,0,21600,3,3,1,
17,80,0,21600,3,4,1,
17,83,0,21600,3,9,1,
17,84,0,21600,3,10,1,
17,85,0,21600,4,15,1,
17,86,0,21600,4,16,1,
18,83,0,21600,6,21,1,
18,84,0,21600,6,22,1,
18,85,0,21600,3,3,1,
18,86,0,21600,3,4,1,
18,87,0,21600,3,9,1,
18,88,0,21600,3,10,1,
18,89,0,21600,4,15,1,
18,90,0,21600,4,16,1,
18,91,0,21600,6,21,1,
18,92,0,21600,6,22,1,
19,87,0,21600,3,3,1,
19,88,0,21600,3,4,1,
19,89,0,21600,3,9,1,
19,90,0,21600,3,10,1,
19,91,0,21600,4,15,1,
19,92,0,21600,4,16,1,
19,93,0,21600,6,21,1,
19,94,0,21600,6,22,1,
19,95,0,21600,3,3,1,
19,96,0,21600,3,4,1,
19,105,0,21600,3,9,1,
19,106,0,21600,3,10,1,
20,9999,0,0,0,9999,1,43
20,9999,1,0,0,9999,1,197
20,97,0,21600,3,20,1,
20,98,0,21600,3,20,1,
20,99,0,21600,3,20,1,
