waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
50,9999,5,0,0,9999,1,334
50,9999,9,0,0,9999,1,335
1,1,0,10,5,1,1,
1,2,0,10,6,2,1,
1,3,0,10,6,2,1,
1,4,0,10,5,9,1,
1,5,0,10,6,10,1,
1,6,0,10,6,17,1,
1,7,0,10,5,25,1,
1,8,0,10,5,26,1,
2,9999,1,0,0,9999,1,336
2,9,0,21600,6,1,1,
2,10,0,20,5,2,1,
2,11,0,21600,6,9,1,
2,12,0,20,5,10,1,
2,13,0,21600,3,17,1,
2,14,0,20,5,2,1,
2,15,0,21600,6,1,1,
2,16,1,21600,8,18,1,
2,17,3,20,5,25,1,
2,18,5,21600,6,26,1,
2,19,4,21600,5,1,1,
2,20,1,20,5,9,1,
2,21,1,21600,6,2,1,
2,22,0,21600,6,1,1,
3,19,0,21600,4,3,1,
3,20,0,21600,4,4,1,
3,21,0,21600,4,11,1,
3,22,0,21600,5,12,1,
3,23,0,21600,5,19,1,
3,24,0,21600,6,8,1,
3,25,0,21600,6,20,1,
3,26,0,21600,9,27,1,
3,27,0,21600,6,28,1,
3,28,0,21600,5,35,1,
3,29,0,21600,5,36,1,
3,30,0,21600,5,18,1,
3,31,1,21600,3,25,1,
3,32,1,21600,3,26,1,
3,33,0,21600,4,3,1,
4,9999,0,0,0,9999,1,337
4,27,0,21600,5,4,1,
4,28,1,21600,4,11,1,
4,29,3,21600,7,12,1,
4,30,0,21600,7,19,1,
4,31,0,21600,4,14,1,
4,32,0,21600,5,3,1,
4,33,0,21600,5,4,1,
4,34,0,21600,3,11,1,
4,35,0,21600,3,12,1,
4,36,0,21600,3,19,1,
4,54,3,0,0,504,1,
4,55,0,21600,3,8,1,
4,56,0,21600,4,7,1,
4,57,0,21600,4,26,1,
4,58,0,21600,3,19,1,
4,59,0,21600,3,1,1,
4,60,0,21600,0,13,1,
4,61,0,21600,0,8,1,
4,62,0,21600,0,32,1,
5,9999,2,0,0,9999,1,338
5,39,0,21600,0,19,1,
5,40,0,21600,0,25,1,
5,41,0,21600,0,1,1,
5,42,0,21600,0,26,1,
5,43,0,21600,0,2,1,
5,44,0,21600,3,2,1,
5,45,0,21600,3,19,1,
5,46,0,21600,4,7,1,
5,47,0,21600,4,26,1,
5,48,0,21600,3,19,1,
5,49,0,21600,3,1,1,
5,50,0,21600,5,2,1,
5,51,0,21600,5,8,1,
5,52,0,21600,3,2,1,
5,53,0,21600,3,8,1,
6,54,1,0,0,502,1,
6,55,0,21600,3,19,1,
6,56,0,21600,4,1,1,
6,57,0,21600,4,7,1,
6,58,0,21600,3,7,1,
6,59,0,21600,5,13,1,
6,60,0,21600,3,19,1,
6,61,0,21600,3,26,1,
6,62,0,21600,3,9,1,
6,51,0,21600,3,10,1,
6,52,0,21600,3,21,1,
6,53,0,21600,6,22,1,
6,79,0,0,0,504,1,
7,9999,0,0,0,9999,1,339
7,9999,3,0,0,9999,1,359
7,9999,6,0,0,9999,1,340
7,9999,9,0,0,9999,1,341
7,59,5,3000,0,106,1,
7,60,5,3000,4,107,1,
7,61,5,3000,4,108,1,
7,62,5,3000,3,109,1,
7,63,5,3000,3,100,1,
7,64,5,3000,4,102,1,
7,65,5,3000,4,104,1,
7,66,5,3000,3,100,1,
7,67,5,3000,3,103,1,
7,68,5,3000,5,101,1,
7,69,5,3000,5,105,1,
7,70,5,3000,4,106,1,
7,71,5,3000,4,107,1,
7,72,5,3000,6,108,1,
7,80,5,3000,6,109,1,
7,81,5,3000,4,100,1,
7,82,5,3000,4,101,1,
7,76,5,3000,3,105,1,
7,77,5,3000,3,106,1,
7,78,5,3000,3,107,1,
8,80,0,21600,4,3,1,
8,81,0,21600,4,4,1,
8,82,0,21600,5,7,1,
8,83,0,21600,5,8,1,
8,84,0,21600,3,3,1,
8,85,0,21600,3,4,1,
8,86,0,21600,4,7,1,
8,87,0,21600,5,8,1,
8,88,0,21600,5,4,1,
8,89,0,21600,4,26,1,
9,9999,4,0,0,9999,1,342
9,9999,10,0,0,9999,1,343
9,9999,240,0,0,9999,1,344
9,9999,15,0,0,9999,1,345
9,83,10,3000,4,108,1,
9,84,10,3000,5,109,1,
9,85,10,3000,3,100,1,
9,86,10,3000,6,102,1,
9,90,10,3000,6,104,1,
9,91,5,3000,3,100,1,
9,92,6,3000,5,103,1,
9,93,6,3000,8,101,1,
9,94,6,3000,5,105,1,
9,95,6,3000,8,106,1,
9,96,6,3000,3,107,1,
9,97,5,3000,3,108,1,
9,98,5,3000,4,109,1,
9,99,90,0,0,503,1,
9,100,5,3000,3,101,1,
9,101,5,3000,5,105,1,
9,102,5,3000,3,106,1,
9,103,5,3000,3,107,1,
9,104,5,3000,3,108,1,
9,105,20,0,0,501,1,
9,106,180,0,0,500,1,
9,107,0,0,0,23,1,
9,108,0,0,0,25,1,
9,109,0,0,0,15,1,
10,110,0,21600,4,7,1,
10,111,0,21600,3,25,1,
10,112,0,21600,3,11,1,
10,113,1,21600,0,16,1,
10,114,5,21600,0,7,1,
10,115,0,21600,4,3,1,
10,116,0,21600,4,26,1,
10,117,0,21600,3,9,1,
10,118,0,21600,3,10,1,
10,119,0,21600,3,9,1,
11,120,0,21600,3,3,1,
11,121,0,21600,3,17,1,
11,122,0,21600,3,2,1,
11,123,0,21600,4,13,1,
11,124,0,21600,6,19,1,
11,125,0,21600,4,2,1,
11,126,0,21600,0,25,1,
11,127,0,21600,4,3,1,
11,128,0,21600,4,26,1,
11,129,0,21600,3,9,1,
11,130,0,21600,3,10,1,
11,131,0,21600,6,21,1,
11,132,0,21600,6,15,1,
12,131,0,21600,3,3,1,
12,132,0,21600,3,4,1,
12,133,0,21600,3,15,1,
12,134,0,21600,3,16,1,
12,135,0,21600,6,22,1,
12,136,0,21600,6,28,1,
12,137,0,21600,3,10,1,
12,138,0,21600,3,21,1,
