temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
통로 화염방사 장거리(1회전차) rushPower는 rangeModifier(멀어질수록 감쇠율 작은 값이면 멀수록 약해짐),1000,88,1,1,8.733333333,zbs_attack_flame,1.6,25,0,0,44,1,0,1000,0,100,10,-1,0,0,0.9
통로 화염방사 중거리(2회전차),1000,89,1,1,8.733333333,zbs_attack_flame,1.6,30,0,0,32,1,0,1000,0,100,10,-1,0,0,0.88
통로 화염방사 단거리(3회전차),1000,90,1,1,8.733333333,zbs_attack_flame,1.6,40,0,0,26,1,0,1000,0,100,10,-1,0,0,0.85
통로 레이저 장거리(1회전차) rushPower는 아래로 내리는 각도,1000,91,1,1,8.733333333,zbs_attack_lazer,1.3,30,0,0,44,1,0,1000,0,100,10,-1,0,0,1.8
통로 레이저 중거리(2회전차),1000,92,1,1,8.733333333,zbs_attack_lazer,1.3,40,0,0,32,1,0,1000,0,100,10,-1,0,0,3
통로 레이저 단거리(3회전차),1000,93,1,1,8.733333333,zbs_attack_lazer,1.3,50,0,0,26,1,0,1000,0,100,10,-1,0,0,4
전방펀치,1000,83,4,10,3.366666667,zbs_attack1,1.1,300,90,5,10,3,0,1000,0,100,10,-1,300,100,0
회전펀치,1000,84,4,10,3.366666667,zbs_attack2,1,250,180,5,10,3,0,1000,0,100,10,-1,300,100,0
화염방사,1000,85,1,10,8.733333333,zbs_attack_flame,1.6,65,0,0,25,3,0,1000,0,100,10,-1,0,0,0.85
레이저,1000,86,1,10,8.733333333,zbs_attack_lazer,1.3,70,0,0,30,1,0,1000,0,100,15,-1,0,0,3.5
점프젯,1000,87,3,10,4.366666667,zbs_attack_jump1,1.666666667,500,0,0,13,1,0,1000,0,100,15,-1,300,200,0
죽었을때 표시할 메시지,1000,94,0,0,0,,0,0,0,0,0,0,0,1000,0,0,0,593,0,0,0
