id,x,y,z,standAttack
1,483.642242,968.468323,170.031250,1
1,516.068726,1074.103516,170.031250,1
1,453.699768,851.767944,170.031250,1
1,346.889771,693.682434,170.031250,1
2,518.994019,1234.701050,170.031250,1
2,80.150742,802.314392,170.031250,1
2,80.756912,1101.895752,180.579224,1
2,46.385914,929.975891,193.884125,0
3,335.406433,480.074829,182.031250,0
3,-10.550406,443.968750,170.031250,1
3,-164.505554,436.968750,170.031250,1
4,-253.979202,399.579956,170.031250,1
4,-269.968750,266.257355,170.031250,1
4,-247.968750,102.158882,170.031250,1
6,-524.083618,-327.423767,175.531097,1
6,-690.332336,-380.005341,170.031250,1
6,-336.016663,-181.887070,170.031250,1
6,-838.837341,-393.750610,170.031250,1
7,-570.273315,-274.336090,178.755692,0
7,-529.195129,-16.031250,170.031250,1
7,-844.579285,11.989779,191.706970,0
7,-673.287720,-16.233957,180.781662,1
9,-808.571350,-317.423401,170.031250,1
10,14.523172,12.110710,170.031250,1
11,116.911285,216.735992,170.031250,1
12,419.592712,957.000916,170.031250,0
13,-72.709045,-177.832367,170.031250,1
14,-64.254631,221.489761,176.766220,1
15,269.214508,683.184326,170.031250,1
16,60.031250,-157.055634,170.031250,0
17,-128.327393,399.191650,170.031250,1
17,25.419344,395.269226,170.031250,1
17,263.888947,424.355713,170.031250,0
18,-213.021439,366.437988,170.031250,1
18,-230.669693,232.898178,170.031250,1
18,-207.800430,70.123192,170.031250,1
19,-868.936462,-455.118561,170.031250,1
19,-744.835571,-426.434875,170.031250,1
19,-615.180054,-376.886627,170.031250,1
19,-375.857361,-264.061249,170.031250,1
20,424.214386,724.149231,170.031250,1
20,455.372772,1016.462036,170.031250,0
20,465.455780,1199.012085,170.031250,0
20,512.125244,886.617188,170.031250,1
21,-535.902649,375.357391,218.031250,1
21,-535.968750,257.891541,218.031250,1
21,-535.968750,516.381836,218.031250,1
22,-139.466446,735.990845,223.754517,1
22,-247.676544,735.968750,218.031250,1
22,-352.068787,735.969299,218.031250,1
23,266.664307,119.559906,183.186935,0
24,206.085434,13.843882,171.249283,0
31,-711.921570,-1000.031250,330.031250,1
31,-792.196228,-1000.001892,330.031250,1
31,-320.019409,-1199.968750,330.031250,0
31,-880.879456,-1135.806274,330.031250,0
32,1012.779846,669.037231,370.031250,0
32,1099.735962,715.479797,370.031250,0
32,976.031250,768.757874,370.031250,1
32,947.320740,628.875671,370.031250,1
41,385.845520,662.237915,170.031250,1
41,501.069092,834.778992,170.031250,1
41,529.998657,937.025452,170.031250,1
41,399.689301,882.363342,170.031250,0
42,278.680634,312.343079,170.031250,0
42,92.445160,398.397705,170.031250,1
42,-51.176537,403.464233,170.031250,1
43,-219.751984,295.024323,170.031250,1
43,-217.726196,148.285278,170.031250,1
43,-208.949493,1.776149,170.031250,1
44,-299.613892,-218.729996,170.031250,1
44,-524.830322,-377.239746,170.031250,1
44,-673.780945,-430.242920,170.031250,1
44,-805.120605,-432.528870,170.031250,1
45,512.031250,1017.553955,170.031250,1
45,463.875214,902.777710,170.031250,1
45,379.874329,754.187378,170.031250,1
45,512.141785,1124.080566,170.031250,1
46,44.044132,1017.294312,194.790619,0
46,81.088203,868.500366,180.450989,1
46,503.691620,1290.741577,170.031250,1
46,80.010719,714.246582,170.031250,1
47,-90.492432,436.968750,170.031250,1
47,61.842907,443.883820,172.702728,1
47,335.968750,367.923004,170.031250,0
48,-535.968750,315.501190,218.031250,1
48,-535.999695,463.816193,218.031250,1
48,-535.997681,568.260620,218.031250,1
49,-253.968750,333.735901,170.031250,1
49,-269.978027,192.172668,170.031250,1
49,-247.968750,33.122044,170.031250,1
50,-196.601059,735.968750,221.700180,1
50,-300.147736,735.968750,218.031250,1
50,-405.463928,735.968750,218.031250,1
51,-401.909454,-220.214951,170.031250,1
51,-627.018738,-328.031250,170.031250,1
51,-780.123291,-380.031250,170.031250,1
51,-913.231384,-413.769623,170.031250,1
52,-710.865112,-323.346344,170.031250,0
52,-552.733582,63.968750,218.031250,0
52,-750.653870,13.917130,192.453049,0
52,-907.686340,-16.031250,180.860123,1
61,952.001526,1280.469849,586.031250,0
61,952.031250,1167.421387,586.031250,0
61,952.000427,1495.968750,586.031250,0
61,952.006775,1394.152222,586.031250,0
62,562.029175,87.398804,566.031250,0
62,562.199097,-12.924455,566.031250,0
62,562.362732,196.397110,566.031250,0
62,562.330017,-124.322144,566.031250,0
63,-37.866352,-296.003967,638.031250,0
63,-135.724945,-297.820557,638.031250,0
63,69.304390,-296.315613,638.031250,0
63,182.650024,-296.001373,638.031250,0
64,-191.968750,-980.031250,578.031250,0
64,-191.968750,-1114.850952,578.031250,0
64,-191.968750,-1051.107666,578.031250,0
64,-191.968750,-1189.468872,578.031250,0
65,-599.102905,-1905.110962,570.031250,1
65,-494.863190,-1905.810303,570.031250,1
65,-705.167969,-1904.399170,570.031250,1
65,-391.277985,-1904.159180,570.031250,1
66,-1269.156982,-944.031250,510.031250,1
66,-1319.175659,-944.031250,510.031250,1
66,-1387.503784,-944.031250,510.031250,1
66,-1216.031250,-944.031250,510.031250,1
