id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,specialty,searchInterval,attackSpread,bombDamage,bombCoolTime,flinchAvoidRatio
1,bot_light,3,1400,1.5,150,100,200,200,0,0,255 255 255,0,1,0,0.5,13,L,0.05,6,25,20,25
2,bot_heavy,3,1400,0.2,1500,1000,140,1000,1,0,255 255 255,0,2,0,1,16,H,0.05,7,0,15,5
3,bot_sniper,25,4000,8,100,100,170,300,0,0,255 255 255,0,3,0,0.5,14,S,0.05,1.6,0,0,10
4,bot_rocket,150,4000,8,200,200,160,300,0,0,255 255 255,0,4,0,0.5,15,R,0.05,3,0,0,10
5,bot_light,5,1400,1.5,250,150,200,250,0,0,255 255 255,0,1,0,0.55,13,L,0.05,5.5,35,20,25
6,bot_heavy,5,1400,0.2,2000,2000,140,1500,1,0,255 255 255,0,2,0,1.2,16,H,0.05,6.5,0,15,5
7,bot_sniper,30,4000,8,150,120,170,350,0,0,255 255 255,0,3,0,0.55,14,S,0.05,1.4,0,0,10
8,bot_rocket,200,4000,8,300,300,160,350,0,0,255 255 255,0,4,0,0.55,15,R,0.05,2,0,0,10
9,bot_light,7,1400,1.5,450,200,210,300,0,0,255 255 255,0,1,0,0.6,13,L,0.05,5,45,20,25
10,bot_heavy,7,1400,0.2,4000,3000,140,2000,1,0,255 255 255,0,2,0,1.5,16,H,0.05,6,0,15,5
11,bot_sniper,35,4000,7,200,140,170,400,0,0,255 255 255,0,3,0,0.6,14,S,0.05,1.2,0,0,10
12,bot_rocket,250,4000,8,400,400,160,400,0,0,255 255 255,0,4,0,0.6,15,R,0.05,2,0,0,10
13,bot_light,6,1400,1.5,150,100,210,550,0,0,255 255 255,0,1,0,0,13,L,0.05,7,55,20,25
14,bot_heavy,6,1400,0.3,2000,1500,140,1500,1,0,255 255 255,0,2,0,0,16,H,0.05,9,0,15,5
15,bot_sniper,30,4000,7,200,100,170,550,0,0,255 255 255,0,3,0,0,14,S,0.05,1.2,0,0,10
16,bot_rocket,70,4000,8,200,200,160,550,0,0,255 255 255,0,4,0,0,15,R,0.05,2,0,0,10
99,bot_rocket,60,1400,10,300,200,150,400,0,0,255 255 255,0,4,0,0.5,15,R,0.05,3,0,0,10
100,bot_heavy,13,1400,0.1,80000,80000,150,5000,1,0,255 255 255,0,2,0,50,11,H,0.05,6,0,40,5
101,bot_sniper,15,4000,8,120,60,180,450,0,0,255 255 255,0,3,0,0.2,14,S,0.05,2,0,0,10
102,bot_light,7,4000,1.5,320,250,220,400,0,0,255 255 255,0,1,0,0.5,13,L,0.05,7,55,20,25
103,bot_heavy,8,4000,0.1,3000,3000,150,650,1,0,255 255 255,0,2,0,0.5,16,H,0.05,7,0,15,5
104,bot_sniper,25,1400,3,300,120,170,550,0,0,255 255 255,0,3,0,0.5,14,S,0.05,0.5,0,0,10
105,bot_rocket,60,1400,6,300,300,160,550,0,0,255 255 255,0,4,0,0.5,15,R,0.05,4,0,0,10
30000,comanche,0,0,0,700000,600000,0,0,2,0,255 255 255,1,5,0,100,12,,0.05,1,0,0,0
