temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
Flying,1009,293,80,1,99999,zbs_fly_f,0,1.5,0,0,0,0,0,1000,95,100,0,-1,0,0,0
FastFlying,1009,294,20,1,99999,zbs_fly_f2,0,3,0,0,0,0,0,1000,95,100,0,-1,1,1,0
Gun,1009,295,80,10,3,zbs_attack_gun_start,1,45,0,0,0,0,0,1000,95,100,0,-1,0,0,0
ScratchGun,1009,300,0,8,99999,zbs_fly_f2,0,45,0,0,0,0,0,1000,0,100,0,-1,0,0,0
FlyingDrone,1009,296,20,1,99999,idle,0,1,0,0,0,0,0,1000,0,100,0,-1,0,0,0
FastFlyingDrone,1009,297,15,1,99999,idle,0,1,0,0,0,0,0,1000,0,100,0,-1,0,0,0
스폰,1001,441,255,0,2.03,intro,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
유탄난사,1001,442,30,4,3.7,randomfire,0,95,0,0,6,4,0,10000,0,100,6,-1,0,0,0
유탄연사,1001,443,30,3,2.53,combofire,0,180,0,0,6,3,0,10000,0,100,8,-1,0,0,0
돌격,1001,444,30,4,1,run,0,160,0,0,0,0,0,10000,0,100,10000,-1,500,300,700
다리공격,1001,445,30,3,2.7,legattack,0,200,65,36,12,5,0,10000,0,100,10000,-1,500,300,700
죽음,1001,446,255,0,5.03,deth,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,100
그로기,1000,447,255,1,0,idle,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
돌진 후 찍기,1000,448,1,1,0,idle,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
연속베기,1000,449,2,1,0,idle,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
검기날리기,1000,450,1,1,0,idle,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
에너지방출,1000,451,1,8,0,idle,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
에너지빔,1000,452,1,20,0,idle,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
공중날기,1000,453,1,8,0,idle,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
다연발미사일,1000,454,1,1,0,idle,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
집중포화,1000,455,1,1,0,idle,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
낙하공격,1000,456,1,1,0,idle,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
