asa,min x,min y,max x,max y,
0,2632,-1368,2744,-1256,망루1_1
0,1480,-1368,1592,-1256,망루1_2
0,1504,-1824,1568,-1760,안테나1
0,2504,-2456,2616,-2408,콘크리트정제소1
0,1828,-1964,1916,-1844,작업대
0,1960,-1424,2008,-1392,발전기1
0,1768,-2320,1816,-2288,발전기2
0,2664,-2128,2712,-2096,발전기3
0,2600,-1680,2648,-1648,발전기4
0,-3072,1280,-1792,2496,보스지역
0,-2368,-896,-1792,160,보스지역 아래쪽 원유저장고
0,-896,-3072,-384,-2560,감염구역1
0,-3328,-2048,-2880,-1472,감염구역2
0,2624,1536,3456,2624,감염구역4
0,1920,-1984,2256,-1472,쉘터
0,1088,-2816,1408,-2448,도로끝 트럭으로 막힌곳
0,3072,288,3328,1536,컨테이너더미
0,2976,128,3328,288,컨테이너더미2
0,-3968,-896,-3488,2944,서쪽 산
0,-3968,-1280,-3328,-896,서쪽 산
0,-2304,2944,768,3584,북쪽 산
0,-2312,-1168,-1816,-928,탱크1
0,-864,432,-344,672,탱크2
0,576,1376,832,1888,탱크3
0,192,-1456,656,-1280,추차된 정유차
0,1440,-848,2224,-672,추차된 정유차(쉘터쪽)
0,1312,672,1536,992,파괴된 오브젝트
0,1312,-128,1904,48,파괴된 오브젝트
0,1344,-192,1472,-128,파괴된 오브젝트
0,1472,-576,1536,-128,쉘터 위쪽 벽
0,1472,-640,1984,-576,쉘터 위쪽 벽
0,2112,-640,2816,-576,쉘터 위쪽 벽
0,912,1456,1040,1984,파이프
0,912,2464,1040,3008,파이프
0,912,1984,968,2152,파이프
0,912,2224,968,2248,파이프
0,812,1920,912,2048,파이프
0,880,-1744,1084,-1504,계단
0,-2352,-1632,-2000,-1464,계단
