temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
포보스 등장,1000,166,255,360,1,zbs_walk,0.2,0,0,3,9,-1,0,1000,99,100,0,975,0,0,0
충격파임,1000,0,50,6,2.5,zbs_attack_shockwave,2,320,0,3,9,3,0,10,80,100,5,-1,250,250,0
전방 공격임,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,65,90,3,8,5,0,15,80,100,4,-1,500,300,0
러쉬,1000,2,40,6,2.5,zbs_attack_mahadash,0.88,75,0,0,0,0,6,20,80,100,0,-1,800,400,1000
충격파임,1000,0,50,6,2.5,zbs_attack_shockwave,2,450,0,3,10,3,0,10,60,79,5,-1,250,250,0
전방 공격임,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,100,90,3,7,5,0,15,60,79,4,-1,500,300,0
러쉬,1000,2,40,6,2.5,zbs_attack_mahadash,0.88,155,0,0,0,0,6,20,60,79,0,-1,800,400,1100
충격파임,1000,0,50,6,2.5,zbs_attack_shockwave,2,500,0,3,10,3,0,10,40,59,5,-1,250,250,0
전방 공격임,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,115,90,3,7,5,0,15,40,59,4,-1,500,300,0
러쉬,1000,2,40,6,2.5,zbs_attack_mahadash,0.88,255,0,0,0,0,6,20,40,59,0,-1,800,400,1200
충격파임,1000,0,50,3,2.5,zbs_attack_shockwave,2,500,0,3,10,3,0,10,20,39,5,-1,250,250,0
전방 공격임,1000,1,50,3,1.2,zbs_attack_justiceSwing,0.5,115,90,3,7,5,0,15,20,39,4,-1,500,300,0
러쉬,1000,2,40,4,2.5,zbs_attack_mahadash,0.88,300,0,0,0,0,6,20,20,39,0,-1,800,400,1300
충격파임,1000,0,40,6,2.5,zbs_attack_shockwave,2,500,0,3,12,3,0,10,0,19,5,-1,250,250,0
전방 공격임,1000,1,50,3,1.2,zbs_attack_justiceSwing,0.5,150,90,3,7,5,0,15,0,19,4,-1,500,300,0
러쉬,1000,2,50,3,2.5,zbs_attack_mahadash,0.88,425,0,0,0,0,6,20,0,19,0,-1,800,400,1400
포보스 등장,1001,166,255,360,1,zbs_walk,0.2,0,0,3,9,-1,0,1000,99,100,0,977,0,0,0
충격파임,1001,0,50,6,2.5,zbs_attack_shockwave,2,500,0,3,10,3,0,10,80,100,6,-1,250,250,0
전방 공격임,1001,1,60,3,1.2,zbs_attack_justiceSwing,0.5,65,90,3,8,3,0,15,80,100,5,-1,500,300,0
러쉬,1001,2,40,6,2.5,zbs_attack_mahadash,0.88,75,0,0,0,0,6,20,80,100,0,-1,800,400,1000
충격파임,1001,0,50,6,2.5,zbs_attack_shockwave,2,450,0,3,11,3,0,10,60,79,6,-1,250,250,0
전방 공격임,1001,1,60,3,1.2,zbs_attack_justiceSwing,0.5,100,90,3,9,3,0,15,60,79,5,-1,500,300,0
러쉬,1001,2,40,6,2.5,zbs_attack_mahadash,0.88,155,0,0,0,0,6,20,60,79,0,-1,800,400,1100
충격파임,1001,0,50,6,2.5,zbs_attack_shockwave,2,500,0,3,11,3,0,10,40,59,6,-1,250,250,0
전방 공격임,1001,1,60,3,1.2,zbs_attack_justiceSwing,0.5,115,90,3,9,3,0,15,40,59,5,-1,500,300,0
러쉬,1001,2,40,6,2.5,zbs_attack_mahadash,0.88,255,0,0,0,0,6,20,40,59,0,-1,800,400,1200
충격파임,1001,0,50,3,2.5,zbs_attack_shockwave,2,500,0,3,11,3,0,10,20,39,6,-1,250,250,0
전방 공격임,1001,1,50,3,1.2,zbs_attack_justiceSwing,0.5,115,90,3,9,3,0,15,20,39,5,-1,500,300,0
러쉬,1001,2,40,4,2.5,zbs_attack_mahadash,0.88,300,0,0,0,0,6,20,20,39,0,-1,800,400,1300
충격파임,1001,0,40,6,2.5,zbs_attack_shockwave,2,500,0,3,11,3,0,10,0,19,6,-1,250,250,0
전방 공격임,1001,1,50,3,1.2,zbs_attack_justiceSwing,0.5,150,90,3,9,3,0,15,0,19,5,-1,500,300,0
러쉬,1001,2,50,3,2.5,zbs_attack_mahadash,0.88,425,0,0,0,0,6,20,0,19,0,-1,800,400,1400
휘두르기약100-75,1002,3,3,3,2.7,zbs_attack1,0.93,80,90,5,9,4,0,15,75,100,5,-1,400,250,0
휘두르기약75-50,1002,3,2,3,2.7,zbs_attack1,0.93,100,90,5,9,4,0,15,50,74,5,-1,500,250,0
휘두르기강50-25,1002,3,2,3,2.7,knife_attack1,0.66,120,120,5,11,4,0,15,25,49,5,-1,600,280,0
휘두르기강25-0,1002,3,2,3,2.7,knife_attack1,0.66,140,120,5,11,4,0,15,0,24,5,-1,700,290,0
휘두르기2약100-75,1002,4,3,3,2,zbs_attack2,0.26,65,120,5,7,4,0,15,75,100,5,-1,400,250,0
휘두르기2약75-50,1002,4,2,3,2,zbs_attack2,0.26,100,120,5,7,4,0,15,50,74,5,-1,500,250,0
휘두르기2강50-25,1002,4,2,3,2,knife_attack2,0.23,90,180,5,9,4,0,15,25,49,5,-1,600,280,0
휘두르기2강25-0,1002,4,2,3,2,knife_attack2,0.23,120,180,5,9,4,0,15,0,24,5,-1,700,290,0
리프어택약100-75,1002,5,1,10,4,zbs_attack3,0.5,80,0,5,10,0,12,1000,75,100,0,-1,600,200,30
리프어택약75-50,1002,5,1,10,4,zbs_attack3,0.5,110,0,5,11,0,12,1000,50,74,0,-1,650,200,30
리프어택걍50-25,1002,5,1,10,4,knife_attack3,0.5,140,0,5,14,0,12,1000,25,49,0,-1,700,200,30
리프어택걍25-0,1002,5,1,10,4,knife_attack3,0.5,175,0,5,16,0,12,1000,0,24,0,-1,750,200,30
리프어택약99,1002,5,255,999999,4,zbs_attack3,0.5,50,0,5,10,0,0,1000,90,99,0,-1,800,200,30
블랙홀약100-75,1002,6,1,10,6,zbs_attack_hole,5,95,0,5,10,0,12,1000,75,100,0,-1,650,250,250
블랙홀약75-50,1002,6,1,10,6,zbs_attack_hole,5,120,0,5,11,0,12,1000,50,74,0,-1,600,250,300
블랙홀강50-25,1002,6,1,10,6,knife_attack_hole,5,175,0,5,14,0,12,1000,25,49,0,-1,700,250,380
블랙홀강25-0,1002,6,1,10,6,knife_attack_hole,5,225,0,5,16,0,12,1000,0,24,0,-1,800,250,450
블랙홀약99,1002,6,254,999999,6,zbs_attack_hole,5,50,0,5,10,0,0,1000,90,99,0,-1,800,200,400
폭격약100-75,1002,7,1,20,11,zbs_attack_bomb,3,30,0,0,5,0,12,1000,75,100,0,-1,200,150,0
폭격약75-50,1002,7,1,20,11,zbs_attack_bomb,3,60,0,0,6,0,12,1000,50,74,0,-1,200,150,0
폭격강50-25,1002,7,1,20,11,knife_attack_bomb,3,110,0,0,8,0,12,1000,25,49,0,-1,200,150,0
폭격강25-0,1002,7,1,20,11,knife_attack_bomb,3,160,0,0,9,0,12,1000,0,24,0,-1,200,150,0
레버넌트 등장,1003,35,255,999999,14,zbs_walk,0,0,0,0,0,0,0,1000,99,100,0,-1,0,0,0
스매쉬 약,1003,36,3,15,2.36,zbs_attack1,0.8,55,35,5,10,4,0,15,50,100,0,-1,500,250,0
스매쉬 강,1003,36,3,15,2.36,zbs_attack1,0.8,120,35,5,10,4,0,15,0,50,0,-1,500,250,0
스톰프 약,1003,37,5,20,2.7,zbs_attack4,0.3,66,0,5,8,3,0,15,50,100,5,-1,800,350,0
스톰프 강,1003,37,5,20,2.7,zbs_attack4,0.3,150,0,5,8,3,0,15,0,50,5,-1,800,350,0
대쉬 약,1003,38,3,20,3,zbs_dash_ready,0,95,0,5,0,1,0,1000,50,100,10,-1,700,300,1000
대쉬 강,1003,38,3,20,3,zbs_dash_ready,0,180,0,5,0,1,0,1000,0,50,10,-1,700,300,1000
파이어볼 1 약,1003,39,3,18,5,zbs_fireball1,0.6,22,0,5,7,1,0,1000,50,100,15,-1,250,200,20
파이어볼 1 강,1003,39,3,18,5,zbs_fireball1,0.6,50,0,5,7,1,0,1000,0,50,15,-1,250,200,20
파이어볼 2 약,1003,40,5,22,6.35,zbs_fireball2,0.6,45,0,5,7,1,0,1000,50,100,15,-1,250,200,20
파이어볼 2 강,1003,40,5,22,6.35,zbs_fireball2,0.6,90,0,5,7,1,0,1000,0,50,15,-1,250,200,20
외형 변화,1003,42,255,999999,9.2,zbs_burning1,3,0,0,0,0,0,0,1000,40,50,0,-1,0,0,4.5
폭주,1003,43,255,999999,10.7,zbs_burning2,4.5,0,0,0,0,0,0,1000,80,90,0,-1,0,0,4
