temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
에이전트B_추적보스스폰,1001,437,255,0,3,jump_end,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
에이전트B_근접공격1,1001,427,100,3,2.37,skill2,1,80,180,3,5,4,0,9999,0,100,2,-1,0,0,0
에이전트B_근접공격2,1001,428,100,3,2.53,skill3,1,105,90,3,10,4,0,9999,0,100,2,-1,0,0,0
에이전트B_수류탄투척,1001,429,100,3,3.53,skill4,1.75,120,0,0,5,0,0,9999,0,100,9999,-1,0,0,0
에이전트B_추적보스스폰,1002,437,255,0,3,jump_end,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
에이전트B_근접공격1,1002,427,100,3,2.37,skill2,1,80,180,3,5,4,0,9999,0,100,2,-1,0,0,0
에이전트B_근접공격2,1002,428,100,3,2.53,skill3,1,105,90,3,10,4,0,9999,0,100,2,-1,0,0,0
에이전트B_수류탄투척,1002,429,100,3,3.53,skill4,1.75,120,0,0,5,0,0,9999,0,100,9999,-1,0,0,0
에이전트B_폭탄굴리기,1002,433,100,7,3.37,skill8,1.73,300,0,0,7,0,0,9999,0,100,9999,-1,0,0,0
에이전트B_추적보스스폰,1003,437,255,0,3,jump_end,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
에이전트B_근접공격1,1003,427,100,3,2.37,skill2,1,80,180,3,5,4,0,9999,0,100,2,-1,0,0,0
에이전트B_근접공격2,1003,428,100,3,2.53,skill3,1,105,90,3,10,4,0,9999,0,100,2,-1,0,0,0
에이전트B_수류탄투척,1003,429,100,3,3.53,skill4,1.75,120,0,0,5,0,0,9999,0,100,9999,-1,0,0,0
에이전트B_지뢰투척,1003,431,100,7,3.03,skill5,1.8,240,0,0,3,0,0,9999,0,100,9999,-1,0,0,0
에이전트B_폭탄굴리기,1003,433,100,7,3.37,skill8,1.73,300,0,0,7,0,0,9999,0,100,9999,-1,0,0,0
에이전트B_추적보스스폰,1004,437,255,0,3,jump_end,0,0,0,0,0,0,0,10000,0,100,9999,-1,0,0,0
에이전트B_근접공격1,1004,427,100,3,2.37,skill2,1,80,180,3,5,4,0,9999,0,100,2,-1,0,0,0
에이전트B_근접공격2,1004,428,100,3,2.53,skill3,1,105,90,3,10,4,0,9999,0,100,2,-1,0,0,0
에이전트B_지뢰투척,1004,431,100,3,3.03,skill5,1.8,240,0,0,3,0,0,9999,0,100,9999,-1,0,0,0
에이전트B_폭탄굴리기,1004,433,100,7,3.37,skill8,1.73,300,0,0,7,0,0,9999,0,100,9999,-1,0,0,0
보안시스템_스폰,1000,414,255,0,10,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
보안시스템_동력원 폭주,1000,415,255,60,3,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
보안시스템_회전 레이저,1000,416,50,20,1,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
보안시스템_레이저 공격,1000,417,50,10,2,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
보안시스템_광역 공격,1000,418,25,30,3,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
보안시스템_요격 폭탄,1000,419,35,10,3,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
보안시스템_유도 미사일,1000,420,60,7,2,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
보안시스템_페이즈 전환,1000,421,255,0,0,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
보안시스템_펄스 공격,1000,422,50,5,2,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
보안시스템_캐논 공격,1000,423,0,0,1,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
보안시스템_이동,1000,424,100,3,0,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
보안시스템_사망,1000,425,255,0,0,idle,0,0,0,0,0,0,0,10000,0,100,10000,-1,0,0,0
