temp,id,type,우선순위(ratio),cooltime,동시사용 스킬 정보(aniTime),미사용(aniSeq),공격 tick(damageDelay),damage,미사용(damageDegree),메가에너지포 양쪽 사이 거리 (damageHeight),스플래시 범위(damageDist),지속시간(forceAttackTime),미사용(startDistMin),미사용(startDistMax),발사체 체력(startHealthMin),startHealthMax,미사용(approachDist),startMsg,포격수(kickSide),반파시 포격 횟수(kickUp),발사체 속력(rushPower)
눈레이저,1000,394,60,60,503,"""""",0,2000,0,17.78,21,7,0,0,0,60,0,-1,0,0,1500
발찍기,1000,395,50,5,503,"""""",2,1000,0,0,5,2,0,0,0.25,70,0,-1,600,200,1
XT300,1000,396,40,90,7,"""""",0,0,0,0,0,0,0,0,0,100,0,-1,2,1,2
팔 포격,1000,397,1,5,503,"""""",0.05,100,0,0,3,2,0,0,10,100,0,-1,5,2,100
어깨 미사일,1000,398,10,10,83,"""""",0,100,0,0,5,0,0,0,10,100,0,-1,5,2,1900
팔 미사일,1000,399,10,10,99,"""""",0,100,0,0,5,0,0,0,10,100,0,-1,4,2,2200
날개 미사일,1000,400,20,20,499,"""""",0,100,0,0,5,0,0,0,10,90,0,-1,20,10,3000
날개 레이저,1000,401,20,20,195,"""""",0.1,20,0,0,0,10,0,0,0,90,0,-1,7,3,200
드론,1000,402,30,30,323,"""""",0.5,10,0,0,0,20,0,0,10,80,0,-1,10,5,2500
XT300_미사일,1010,403,255,5,0,NULL,0.5,10,0,0,5,3,0,40,0,100,0,-1,0,0,0.1
XT300_기관총,1010,404,255,3,0,NULL,0.1,2,0,0,30,100,0,40,0,100,10,-1,0,0,0.05
